frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
0,300,0.03,u007,250000.0,230597.99304840306,-37926.68483709593,268524.67788549897,168524.677885499,62073.3127893645,1.4084225175015064e-08,0.9999999859157749,0.20443168506260462,1,0.20443168506260462,0.3558595304295,0.3016265789253576,0.097194893862753
1,400,0.04,u007,250000.0,305167.4191333415,-37686.219625386475,342853.638758728,242853.638758728,62313.77872753095,6.782202521815606e-09,0.9999999932177974,0.20488838464886916,1,0.20488838464886916,0.3530446764265193,0.30003890595593824,0.0951505213070691
2,500,0.05,u007,250000.0,375370.81181387365,-37560.099782346064,412930.9115962197,312930.9115962197,62439.89893941654,4.0847271676192065e-09,0.9999999959152728,0.21435477473677345,1,0.21435477473677345,0.3526683594910483,0.3080020758221173,0.09364730108534386
3,600,0.06,u007,250000.0,348269.3533493285,-37609.981532672035,385879.3348820005,285879.3348820005,62390.01706813628,4.894343597072748e-09,0.9999999951056564,0.21320963627724593,1,0.21320963627724593,0.35276551659844474,0.30740364408885157,0.09419400781160565
4,700,0.07,u007,250000.0,276150.0740331282,-37599.42320290393,313749.49723603216,213749.49723603216,62400.57492574665,8.75487143892073e-09,0.9999999912451285,0.21299274406682636,1,0.21299274406682636,0.3525532081391464,0.3088849069688132,0.09589216290198685
5,800,0.08,u007,250000.0,214979.9857541473,-37398.562735554966,252378.54848970225,152378.54848970225,62601.434639403655,1.72271051313011e-08,0.9999999827728949,0.20954956940906627,1,0.20954956940906627,0.35198375608034743,0.30727554019414777,0.09772597078508151
6,900,0.09,u007,250000.0,198808.09319382816,-37259.57923974982,236067.67243357797,136067.67243357797,62740.41782053656,2.160479006807492e-08,0.9999999783952099,0.2080204588198688,1,0.2080204588198688,0.3534344845333423,0.3063201956966699,0.09829973687680109
7,1000,0.1,u007,250000.0,222168.01566507109,-37181.1882755895,259349.20394066058,159349.20394066058,62818.80921420033,1.5752887605469112e-08,0.9999999842471123,0.20533779459584833,1,0.20533779459584833,0.35525379188680384,0.3028219974481385,0.09748420285229016
8,1100,0.11,u007,250000.0,275490.4710740111,-37109.6075044017,312600.0785784128,212600.07857841282,62890.390614131466,8.849793509124737e-09,0.9999999911502064,0.201283823081279,1,0.201283823081279,0.35610748354960586,0.2971900025785373,0.09590617949725827
9,1200,0.12,u007,250000.0,343648.00189669523,-37079.60708434382,380727.608981039,280727.608981039,62920.39149078747,5.0756273073382374e-09,0.9999999949243727,0.20470677186564692,1,0.20470677186564692,0.3560075443837204,0.2989984420534563,0.0942916701878094
