frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,1100,0.11,p033,0.196,211374.66443564216,-39080.57979729393,250455.2442329361,250455.2442329361,-39080.58139438566,6.376754901893378e-09,0.9999999936232451,0.20279025708136317,1,0.3005481693593664,0.09775791227800323
1,1200,0.12,p033,0.196,189659.4229118858,-39042.97847956521,228702.401391451,228702.401391451,-39042.980228563014,7.6474832022555e-09,0.9999999923525168,0.20661902513327948,1,0.30516744673868873,0.09854842160540925
2,1300,0.13,p033,0.196,169878.80128887473,-38961.25340315772,208840.05469203246,208840.05469203246,-38961.2553184991,9.171331361024215e-09,0.9999999908286686,0.20880822815252853,1,0.3081483736746962,0.09934014552216767
3,1400,0.14,p033,0.196,149527.64287752737,-39011.414486874855,188539.05736440222,188539.05736440222,-39011.41660845115,1.125271487101287e-08,0.9999999887472851,0.20414753043557884,1,0.3043793207030546,0.10023179026747578
4,1500,0.15,p033,0.196,119487.92895574126,-38948.46436701613,158436.3933227574,158436.3933227574,-38948.46689168856,1.593492687801401e-08,0.9999999840650731,0.21031545969597426,1,0.31215365953369656,0.10183819983772228
5,1600,0.16,p033,0.196,126555.20493359244,-38965.94607779791,165521.15101139035,165521.15101139035,-38965.948494407465,1.460000409458928e-08,0.9999999853999959,0.2107548456868184,1,0.31219730070458096,0.10144245501776256
6,1700,0.17,p033,0.196,165958.6981264824,-38942.39473087166,204901.09285735406,204901.09285735406,-38942.39668303302,9.527334865477854e-09,0.9999999904726651,0.20207046396007466,1,0.3015753496705904,0.09950488571051574
7,1800,0.18,p033,0.196,197609.17944406174,-38937.167451033514,236546.34689509525,236546.34689509525,-38937.16914203405,7.148706959725359e-09,0.999999992851293,0.20630365053307034,1,0.30456463518007454,0.0982609846470042
8,1900,0.19,p033,0.196,215959.59434445485,-38945.41703717763,254905.01138163247,254905.01138163247,-38945.418606389605,6.156065546214506e-09,0.9999999938439345,0.21050329768193515,1,0.3081299800503252,0.09762668236839007
9,2000,0.2,p033,0.196,211412.56499307873,-38937.53283027481,250350.09782335354,250350.09782335354,-38937.53442803731,6.38211244963216e-09,0.9999999936178876,0.20611617212205888,1,0.3038895069808121,0.0977733348587532
10,2100,0.21,p033,0.196,164252.93248322755,-38978.961891245795,203231.89437447334,203231.89437447334,-38978.96385944079,9.684478718963163e-09,0.9999999903155212,0.2084029708418157,1,0.30799456349653426,0.09959159265471855
11,2200,0.22,p033,0.196,137515.83370504316,-38962.80501531609,176478.63872035925,176478.63872035925,-38962.80728187933,1.2843272167994968e-08,0.9999999871567278,0.206406641431838,1,0.30725563706988807,0.10084899563805004
12,2300,0.23,p033,0.196,127357.59706791883,-38957.0161561741,166314.61322409293,166314.61322409293,-38957.01856125436,1.4461027486589728e-08,0.9999999855389725,0.19747303001260985,1,0.2988250022276567,0.10135197221504684
13,2400,0.24,p033,0.196,132092.59828222796,-38850.69724582214,170943.2955280501,170943.2955280501,-38850.69958577934,1.3688499000963361e-08,0.999999986311501,0.2024191653374074,1,0.3035380879743977,0.1011189226369903
14,2500,0.25,p033,0.196,154053.9870222944,-38949.59963059178,193003.58665288618,193003.58665288618,-38949.60170309211,1.0738143874089445e-08,0.9999999892618561,0.2061022117126186,1,0.30615220214282,0.1000499904302014
15,2600,0.26,p033,0.196,203463.01183431057,-38863.69223664011,242326.70407095068,242326.70407095068,-38863.69388730424,6.811730124400839e-09,0.9999999931882699,0.20025103804050004,1,0.2982951046319389,0.0980440665914389
16,2700,0.27,p033,0.196,208185.3619994947,-38754.03120247167,246939.39320196636,246939.39320196636,-38754.032822302324,6.559628284996677e-09,0.9999999934403717,0.20836627026518725,1,0.3062680094984763,0.09790173923328907
17,2800,0.28,p033,0.196,183506.2148372873,-38766.668205754686,222272.88304304198,222272.88304304198,-38766.67000534441,8.096307846372497e-09,0.9999999919036922,0.20795875581592688,1,0.306765570509079,0.0988068146931521
18,2900,0.29,p033,0.196,172433.3972237047,-38716.51798837897,211149.91521208367,211149.91521208367,-38716.51988276759,8.971770548704683e-09,0.9999999910282295,0.1980269249002032,1,0.2972470977300213,0.09922017282981807
19,3000,0.3,p033,0.196,138974.12345966345,-38599.86853131358,177573.99199097703,177573.99199097703,-38599.870783895676,1.2685315076144121e-08,0.999999987314685,0.20110165852360967,1,0.3018669901605292,0.10076533163691953
