frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,2100,0.21,p047,0.176,-38953.35195822714,19844.91009949814,-58798.26205772528,-58798.26205772528,-38953.35876114851,0.9999998843006653,1.1569933466848425e-07,-0.05827142809181854,0,0.1281241229357558,0.18639555102757435
1,2200,0.22,p047,0.176,-38897.89954272218,9729.061926008348,-48626.96146873053,-48626.96146873053,-38897.90776861005,0.9999998308369507,1.6916304940162163e-07,-0.05805333805479568,0,0.12900215347014848,0.18705549152494416
2,2300,0.23,p047,0.176,-38982.62991076455,5184.351998693455,-44166.981909458,-44166.981909458,-38982.63896730182,0.9999997949478736,2.05052126445171e-07,-0.05704614686600967,0,0.1295699463926457,0.18661609325865539
3,2400,0.24,p047,0.176,-38805.21451658642,6276.872856285569,-45082.08737287199,-45082.08737287199,-38805.223389288294,0.9999998031879422,1.968120577622301e-07,-0.0554557547412079,0,0.13055405923510116,0.18600981397630906
4,2500,0.25,p047,0.176,-38820.89696938198,18774.461815027666,-57595.35878440965,-57595.35878440965,-38820.9039143852,0.9999998794173405,1.205826595240822e-07,-0.055250322840748045,0,0.13117707035022155,0.1864273931909696
5,2600,0.26,p047,0.176,-38832.95614251148,13492.191011791729,-52325.14715430321,-52325.14715430321,-38832.96378701825,0.999999853903812,1.4609618798067103e-07,-0.0547854034732522,0,0.1308504066594861,0.1856358101327383
6,2700,0.27,p047,0.176,-38749.56909986006,4608.775229737774,-43358.344329597836,-43358.344329597836,-38749.57832530262,0.9999997872280695,2.1277193057445132e-07,-0.056720148189756264,0,0.12995306325218003,0.1866732114419363
7,2800,0.28,p047,0.176,-38784.894281856046,3205.2414972299302,-41990.13577908598,-41990.13577908598,-38784.903807900715,0.9999997731362338,2.2686376627278904e-07,-0.05694374903516208,0,0.12908986957413515,0.18603361860929724
8,2900,0.29,p047,0.176,-38825.408353235835,3400.2595533809217,-42225.667906616756,-42225.667906616756,-38825.417826144854,0.9999997756600372,2.2433996277326784e-07,-0.058643112105837364,0,0.12787512162571404,0.1865182337315514
9,3000,0.3,p047,0.176,-38676.939183126466,12528.469992899481,-51205.40917602595,-51205.40917602595,-38676.94699479999,0.9999998474444153,1.525555847203819e-07,-0.05737050531007662,0,0.1283174107475631,0.1856879160576397
10,3100,0.31,p047,0.176,-38589.11506138023,18039.75363766603,-56628.86869904626,-56628.86869904626,-38589.122124914415,0.9999998752662276,1.2473377247745887e-07,-0.05713368149843154,0,0.12881846407511555,0.18595214557354708
11,3200,0.32,p047,0.176,-38571.7852514128,8092.282514571358,-46664.06776598416,-46664.06776598416,-38571.79382331717,0.9999998163061723,1.8369382764893416e-07,-0.055526414572290184,0,0.13005043228591806,0.18557684685820824
12,3300,0.33,p047,0.176,-38586.323512748146,2889.9129053840006,-41476.236418132146,-41476.236418132146,-38586.333156822475,0.9999997674796299,2.32520370124778e-07,-0.05497038683387623,0,0.13062994833737082,0.18560033517124705
13,3400,0.34,p047,0.176,-38638.67207719738,7608.210110710614,-46246.88218790799,-46246.88218790799,-38638.68072642747,0.999999812977082,1.8702291809669092e-07,-0.05549539085418226,0,0.13115704696764702,0.18665243782182928
14,3500,0.35000000000000003,p047,0.176,-38417.48626802515,12656.788595924765,-51074.27486394992,-51074.27486394992,-38417.494099755306,0.9999998466600304,1.5333996955524398e-07,-0.05640821540185437,0,0.1298604882305904,0.18626870363244477
15,3600,0.36,p047,0.176,-38495.590132710786,9337.694751868636,-47833.28488457942,-47833.28488457942,-38495.598495087135,0.9999998251766852,1.7482331482465696e-07,-0.058012156582279706,0,0.12884072767133162,0.18685288425361132
16,3700,0.37,p047,0.176,-38566.237680411694,6385.928264800139,-44952.16594521183,-44952.16594521183,-38566.24657875758,0.9999998020486405,1.9795135952627163e-07,-0.058412294467024284,0,0.12839371519166323,0.18680600965868752
17,3800,0.38,p047,0.176,-38443.61150171587,6101.080419796199,-44544.69192151207,-44544.69192151207,-38443.620481459635,0.9999997984105455,2.0158945440718057e-07,-0.05874204843261441,0,0.12843448719011055,0.18717653562272496
18,3900,0.39,p047,0.176,-38379.13273480095,5936.034450069215,-44315.167184870166,-44315.167184870166,-38379.141761054125,0.9999997963169255,2.0368307451779089e-07,-0.058378789938969305,0,0.12880307694816873,0.18718186688713803
19,4000,0.4,p047,0.176,-38401.63960106511,3130.753625091311,-41532.39322615642,-41532.39322615642,-38401.64923209949,0.9999997681079955,2.3189200448747727e-07,-0.05736089328769742,0,0.12921235746769355,0.18657325075539097
