frame,step,time_ps,window_id,lambda,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,donor_h,h_acceptor
0,0,0.0,w001,0.25,-37653.42115302202,-36551.009641887,-1102.4115111350184,-1102.4115111350184,-37653.42115302202,1.0,0.0,0.11305511638422967,0.24955376227946632
1,0,0.0,w001,0.25,-36232.723989421,-36358.136235324164,125.41224590316415,125.41224590316415,-36358.136235324164,0.0,1.0,0.10668113364912142,0.2487002996942316
2,0,0.0,w001,0.25,-36668.68649897815,-36376.662426751165,-292.0240722269882,-292.0240722269882,-36668.686498978146,1.0,0.0,0.11135704969266308,0.26333068885955224
3,0,0.0,w001,0.25,-37314.59276034667,-35494.841620293024,-1819.751140053646,-1819.751140053646,-37314.59276034667,1.0,0.0,0.10874674735784595,0.2785701202521856
4,0,0.0,w001,0.25,-37682.20442836976,-33682.4600400951,-3999.7443882746593,-3999.7443882746593,-37682.20442836976,1.0,0.0,0.10987856352880111,0.280964858168884
5,0,0.0,w001,0.25,-36888.89255745617,-36223.93402498096,-664.9585324752115,-664.9585324752115,-36888.89255745617,1.0,0.0,0.10990954591655072,0.27604669200140813
6,0,0.0,w001,0.25,-36304.49740797473,-36142.204014449184,-162.29339352554962,-162.29339352554962,-36304.49740797473,1.0,0.0,0.10876648616546065,0.27230347524741233
7,0,0.0,w001,0.25,-37238.608128746666,-36181.72757528709,-1056.880553459574,-1056.880553459574,-37238.608128746666,1.0,0.0,0.1112577451338274,0.27223950776474326
8,0,0.0,w001,0.25,-37471.109439255204,-32181.67182019322,-5289.437619061984,-5289.437619061984,-37471.109439255204,1.0,0.0,0.1067472989316723,0.26665353879697606
9,0,0.0,w001,0.25,-37122.40507058063,-35915.20615102447,-1207.1989195561619,-1207.1989195561619,-37122.40507058063,1.0,0.0,0.11295901334712577,0.2601131369224875
10,0,0.0,w001,0.25,-36148.329923344034,-36044.19827508958,-104.1316482544571,-104.1316482544571,-36148.329923344034,1.0,0.0,0.10629896232094908,0.24513219953530171
11,0,0.0,w001,0.25,-36362.9670495106,-35690.968967505825,-671.9980820047713,-671.9980820047713,-36362.9670495106,1.0,0.0,0.11335821289118338,0.23820777268426122
12,0,0.0,w001,0.25,-37454.43409326085,-34225.69400867072,-3228.7400845901284,-3228.7400845901284,-37454.43409326085,1.0,0.0,0.10714069018021086,0.2313595430481307
13,0,0.0,w001,0.25,-37116.26014791289,-34836.338823624,-2279.9213242888945,-2279.9213242888945,-37116.26014791289,1.0,0.0,0.1123736186299612,0.2399654844909484
14,0,0.0,w001,0.25,-36187.109321098294,-35619.856658815894,-567.2526622824007,-567.2526622824007,-36187.109321098294,1.0,0.0,0.10812033698304054,0.25648198012342033
15,0,0.0,w001,0.25,-35856.02017356161,-35576.543933289635,-279.4762402719716,-279.4762402719716,-35856.0201735616,1.0,0.0,0.1105474333756043,0.27782767397855584
16,0,0.0,w001,0.25,-36617.128828943816,-35317.484878578965,-1299.6439503648508,-1299.6439503648508,-36617.12882894381,1.0,0.0,0.10956091655596474,0.2842808669534952
17,0,0.0,w001,0.25,-37371.239886067335,-31056.230256063413,-6315.009630003922,-6315.009630003922,-37371.23988606733,1.0,0.0,0.1094385147316222,0.28251746060423455
18,0,0.0,w001,0.25,-36644.17947823467,-35215.94279603286,-1428.2366822018084,-1428.2366822018084,-36644.17947823467,1.0,0.0,0.1112684475037673,0.2739526149314926
19,0,0.0,w001,0.25,-35956.19353713674,-35736.54505069616,-219.64848644058657,-219.64848644058657,-35956.19353713674,1.0,0.0,0.10840626565495179,0.2613178655683963
