frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,1100,0.11,p024,0.088,-38864.84325826148,-10425.834749714675,-28439.0085085468,-28439.0085085468,-38864.85732344248,0.999999505426953,4.945730469052556e-07,-0.07198470467679124,0,0.12187660040262491,0.19386130507941615
1,1200,0.12,p024,0.088,-38838.68566526243,-10477.030647843261,-28361.655017419165,-28361.655017419165,-38838.69976880472,0.9999995027254841,4.97274515898205e-07,-0.07034290317107213,0,0.1199029615876505,0.19024586475872263
2,1300,0.13,p024,0.088,-38789.114015556785,-19196.104066397646,-19593.00994915914,-19593.00994915914,-38789.13443097964,0.9999989580273594,1.0419726406696306e-06,-0.07212217792129737,0,0.12332113315575659,0.19544331107705396
3,1400,0.14,p024,0.088,-38785.05012646096,-19307.57205733884,-19477.478069122124,-19477.478069122124,-38785.07066297893,0.9999989456296865,1.0543703134469062e-06,-0.07303033463964487,0,0.12085306644251556,0.19388340108216043
4,1500,0.15,p024,0.088,-38722.83792298101,-14646.656416218262,-24076.181506762747,-24076.181506762747,-38722.85453689979,0.9999993099447335,6.900552664834692e-07,-0.07262497716472774,0,0.12262466144243961,0.19524963860716735
5,1600,0.16,p024,0.088,-38650.41584504291,-16199.779606190219,-22450.63623885269,-22450.63623885269,-38650.433661895775,0.9999992064000149,7.93599985116078e-07,-0.07075159598168315,0,0.12379533991703418,0.19454693589871733
6,1700,0.17,p024,0.088,-38631.717820775055,-19567.18442726537,-19064.533393509686,-19064.533393509686,-38631.73880212044,0.9999988994590755,1.1005409245035125e-06,-0.07002682885809683,0,0.12262952972862776,0.19265635858672459
7,1800,0.18,p024,0.088,-38675.278746546304,-13332.58030869902,-25342.698437847284,-25342.698437847284,-38675.294530175335,0.9999993771930241,6.228069758806853e-07,-0.07301877505727374,0,0.12292903541627438,0.19594781047354812
8,1900,0.19,p024,0.088,-38601.14379311443,-2715.4703934497666,-35885.673399664665,-35885.673399664665,-38601.15493962049,0.9999996893886034,3.106113965478663e-07,-0.07334684312149735,0,0.11680756034422353,0.19015440346572088
9,2000,0.2,p024,0.088,-38720.17597043334,-17040.348681322765,-21679.827289110573,-21679.827289110573,-38720.19442074912,0.9999991489653431,8.51034656856875e-07,-0.07251516205571065,0,0.1250823087734411,0.19759747082915174
10,2100,0.21,p024,0.088,-38696.53715607012,-21923.93480466868,-16772.602351401438,-16772.602351401438,-38696.56100445231,0.9999985781386885,1.4218613114680423e-06,-0.070582198062703,0,0.11768005704779474,0.18826225511049774
11,2200,0.22,p024,0.088,-38615.71762857746,-11612.71657626942,-27003.001052308042,-27003.001052308042,-38615.732441737666,0.9999994514260129,5.48573987124712e-07,-0.07331619775954047,0,0.12295607806884505,0.19627227582838552
12,2300,0.23,p024,0.088,-38545.3950602141,-5998.299478175119,-32547.09558203898,-32547.09558203898,-38545.40735009256,0.9999996223973611,3.776026388790932e-07,-0.07323727543880665,0,0.11853181701392926,0.1917690924527359
13,2400,0.24,p024,0.088,-38529.18086563688,-18373.321620128147,-20155.859245508735,-20155.859245508735,-38529.20071096331,0.9999990154085169,9.845914831219105e-07,-0.0703867391045567,0,0.12298789047058895,0.19337462957514565
14,2500,0.25,p024,0.088,-38657.49437594286,-21920.521582185553,-16736.972793757304,-16736.972793757304,-38657.518275093185,0.9999985720785729,1.4279214270440654e-06,-0.06999083636334077,0,0.1218198677082458,0.19181070407158657
15,2600,0.26,p024,0.088,-38519.52775941705,-11400.213657004642,-27119.314102412405,-27119.314102412405,-38519.5425090446,0.9999994561215135,5.438784864142399e-07,-0.07319890576433655,0,0.12001107863518548,0.19320998439952203
16,2700,0.27,p024,0.088,-38587.781344703515,-10224.568718780385,-28363.21262592313,-28363.21262592313,-38587.79544747129,0.9999995027800996,4.972199003083766e-07,-0.07342105330757819,0,0.12318861832633414,0.19660967163391233
17,2800,0.28,p024,0.088,-38517.23629656894,-22681.25957125725,-15835.976725311688,-15835.976725311688,-38517.26155546954,0.9999984049723956,1.5950276044951472e-06,-0.0696824876796772,0,0.12001070307803778,0.18969319075771499
18,2900,0.29,p024,0.088,-38476.57295964891,-16192.053736613045,-22284.519223035866,-22284.519223035866,-38476.590909314946,0.9999991945243718,8.05475628140595e-07,-0.07191377407412075,0,0.12431067505283672,0.19622444912695747
19,3000,0.3,p024,0.088,-38548.3781708171,-3329.674794820923,-35218.70337599618,-35218.70337599618,-38548.38952841499,0.9999996775125297,3.224874703389169e-07,-0.07520525614422795,0,0.11928958503842342,0.19449484118265137
