frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
0,120,0.012,u001,0.0,-29898.396563684582,-8097.868009898877,-21800.528553785705,-21800.528553785705,-29898.41491184813,0.9999991583629444,8.416370556596497e-07,-0.11341787574403332,0,-0.11341787574403332,0.14946869169033788,0.10792140950525718,0.2213392852492905
1,140,0.014,u001,0.0,-29684.50595169671,-8266.895331400658,-21417.61062029605,-21417.61062029605,-29684.524627900057,0.9999991279993314,8.720006685059012e-07,-0.10659509330085135,0,-0.10659509330085135,0.14945218144790343,0.11036141812226685,0.2169565114231182
2,160,0.016,u001,0.0,-29680.117950562253,-7589.2516449137365,-22090.866305648517,-22090.866305648517,-29680.136057578366,0.9999991803405905,8.196594094012077e-07,-0.10921262099216764,0,-0.10921262099216764,0.14911439105995422,0.10817716450845713,0.21738978550062477
3,180,0.018000000000000002,u001,0.0,-29899.448958860317,-6333.325789502161,-23566.123169358158,-23566.123169358158,-29899.46593236542,0.9999992797508299,7.202491700275537e-07,-0.11679954838725454,0,-0.11679954838725454,0.14855065922274877,0.10392045438587305,0.2207200027731276
4,200,0.02,u001,0.0,-30225.184511401952,-5445.10973634725,-24780.0747750547,-24780.0747750547,-30225.20065339277,0.9999993485907556,6.514092444342978e-07,-0.11922699040237335,0,-0.11922699040237335,0.14787888352779371,0.103236730151109,0.22246372055348235
5,220,0.022,u001,0.0,-30650.186746912692,-5043.513251374308,-25606.673495538384,-25606.673495538384,-30650.202367831047,0.9999993899676466,6.100323534097285e-07,-0.11445874610253785,0,-0.11445874610253785,0.14703169846877978,0.10720321382784574,0.2216619599303836
6,240,0.024,u001,0.0,-31067.18087231044,-4177.3820757342555,-26889.798796576186,-26889.798796576186,-31067.195747831887,0.9999994467974602,5.532025397769758e-07,-0.11068995930873746,0,-0.11068995930873746,0.14611840226177358,0.11122448653663053,0.22191444584536799
7,260,0.026000000000000002,u001,0.0,-31386.441077144827,-2479.311765779964,-28907.129311364864,-28907.129311364864,-31386.454914555114,0.9999995213154205,4.786845795301531e-07,-0.11604968636121897,0,-0.11604968636121897,0.14520662772634613,0.11041197188627706,0.22646165824749603
8,280,0.028,u001,0.0,-31646.585506769294,-219.6321034194234,-31426.95340334987,-31426.95340334987,-31646.598234692134,0.9999995950001145,4.0499988551712107e-07,-0.12749709590528324,0,-0.12749709590528324,0.14435795215145922,0.10601107713974967,0.2335081730450329
9,300,0.03,u001,0.0,-31791.32094038148,1878.796563013173,-33670.11750339465,-33670.11750339465,-31791.332820347707,0.9999996471661304,3.528338695657496e-07,-0.13535076605743374,0,-0.13535076605743374,0.14363049655919985,0.10353216305584097,0.23888292911327472
