frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,donor_h,h_acceptor
0,220,0.022,u009,-21500.0,-40199.674164136115,-9356.076701067575,-30843.597463068538,-30843.597463068538,-40199.687132786494,0.9999995795354454,4.2046455461797194e-07,0.10897361118723174,0.3160580491468692
1,240,0.024,u009,-21500.0,-40272.50112074688,-11754.999554440987,-28517.50156630589,-28517.50156630589,-40272.51514721418,0.9999995081457795,4.918542204634946e-07,0.11274785619198521,0.31914457629159393
2,260,0.026000000000000002,u009,-21500.0,-40289.23989285617,-14512.959721014717,-25776.28017184145,-25776.28017184145,-40289.25541098976,0.999999397969187,6.020308129794927e-07,0.11293579911384632,0.3189038046708811
3,280,0.028,u009,-21500.0,-40255.91782498081,-16845.421497428608,-23410.496327552202,-23410.496327552202,-40255.934911321165,0.9999992701429662,7.298570338098997e-07,0.1095093913200001,0.31528779252950123
4,300,0.03,u009,-21500.0,-40177.42074664739,-18392.672406639438,-21784.74834000795,-21784.74834000795,-40177.43910810177,0.9999991571431929,8.428568071261466e-07,0.10637169869837468,0.311126557645655
5,320,0.032,u009,-21500.0,-40096.78796763695,-19469.181746960887,-20627.60622067606,-20627.60622067606,-40096.80735910776,0.9999990599280331,9.400719669927504e-07,0.10686588318372395,0.3088390602575774
6,340,0.034,u009,-21500.0,-40008.97553587612,-20084.282738470163,-19924.692797405954,-19924.692797405954,-40008.995611447725,0.999998992429577,1.0075704229839388e-06,0.11044799451001446,0.30838286075045646
7,360,0.036000000000000004,u009,-21500.0,-39921.44899602947,-20014.13463996273,-19907.314356066738,-19907.314356066738,-39921.46908912636,0.9999989906696617,1.0093303383085228e-06,0.11306985449063736,0.3074329918342267
8,380,0.038,u009,-21500.0,-39847.08716351764,-19182.066270481937,-20665.0208930357,-20665.0208930357,-39847.10651987964,0.9999990633290018,9.366709982083776e-07,0.11178406126667395,0.30421895310697905
9,400,0.04,u009,-21500.0,-39757.04983764417,-17707.682415990876,-22049.367421653293,-22049.367421653293,-39757.06797873925,0.99999917725235,8.227476500644038e-07,0.10797046726389281,0.29982546213429734
10,420,0.042,u009,-21500.0,-39670.268055702116,-16031.547222196543,-23638.720833505573,-23638.720833505573,-39670.2849770794,0.9999992841679897,7.158320102784721e-07,0.10578259617578481,0.29741326302232585
11,440,0.044,u009,-21500.0,-39601.60960322769,-14353.317314002414,-25248.292289225275,-25248.292289225275,-39601.62544587338,0.9999993725268376,6.274731624289487e-07,0.10771260818471157,0.2989880916412745
12,460,0.046,u009,-21500.0,-39550.56039159355,-12885.804954475396,-26664.755437118154,-26664.755437118154,-39550.575392660256,0.9999994374203108,5.625796891672863e-07,0.11148797241239602,0.3029668633789439
13,480,0.048,u009,-21500.0,-39546.055179594325,-11863.793918333802,-27682.261261260523,-27682.261261260523,-39546.06962927339,0.9999994780172092,5.21982790713249e-07,0.11277389972494742,0.3061718406643926
14,500,0.05,u009,-21500.0,-39572.54032298983,-11889.863451335837,-27682.676871653992,-27682.676871653992,-39572.55477245196,0.9999994780328826,5.219671174172547e-07,0.11043189194307214,0.3072981456136973
15,520,0.052000000000000005,u009,-21500.0,-39613.733967480366,-12984.96956188721,-26628.764405593156,-26628.764405593156,-39613.748988822255,0.9999994358985376,5.641014624857554e-07,0.10710614669477696,0.3078045651944989
16,540,0.054,u009,-21500.0,-39669.822532583756,-14713.365480048711,-24956.457052535043,-24956.457052535043,-39669.838560489574,0.9999993577660005,6.422339995371118e-07,0.1066187158837451,0.3105441164191131
17,560,0.056,u009,-21500.0,-39713.539819317855,-16486.062221007516,-23227.47759831034,-23227.47759831034,-39713.55704028822,0.9999992585959987,7.414040013031808e-07,0.10941232471937314,0.3156255515462881
18,580,0.058,u009,-21500.0,-39746.704592550734,-17792.241703642183,-21954.46288890855,-21954.46288890855,-39746.72281206583,0.9999991701238627,8.298761372538266e-07,0.11240038555661012,0.32053222004093235
19,600,0.06,u009,-21500.0,-39765.872741066785,-18365.93920506438,-21399.933536002405,-21399.933536002405,-39765.891432697295,0.9999991265581349,8.734418650568898e-07,0.11244625497449952,0.3228760504136261
20,620,0.062,u009,-21500.0,-39752.307653807096,-18057.58119221693,-21694.726461590166,-21694.726461590166,-39752.326091451876,0.9999991501338599,8.498661401290519e-07,0.10971045122289036,0.3227616459495183
21,640,0.064,u009,-21500.0,-39730.84113956901,-17204.919768269574,-22525.92137129944,-22525.92137129944,-39730.858896875274,0.999999211695807,7.8830419303344e-07,0.10748471170471141,0.3224608913264184
22,660,0.066,u009,-21500.0,-39702.072245333606,-15686.534738149307,-24015.5375071843,-24015.5375071843,-39702.08890120577,0.9999993064552875,6.935447126044103e-07,0.10781216621531844,0.3234197815290678
23,680,0.068,u009,-21500.0,-39670.22516595722,-13566.768666830503,-26103.456499126718,-26103.456499126718,-39670.24048958937,0.999999412966089,5.870339109814715e-07,0.11025778032522736,0.32550232124414663
24,700,0.07,u009,-21500.0,-39649.73980464887,-11302.408424915691,-28347.331379733176,-28347.331379733176,-39649.75391531754,0.9999995022228217,4.977771782543883e-07,0.11196332700042215,0.3264183248802465
25,720,0.07200000000000001,u009,-21500.0,-39623.08365973798,-9548.06952194627,-30075.01413779171,-30075.01413779171,-39623.09695980897,0.9999995577704746,4.422295253880826e-07,0.11101482393129562,0.32449090908716854
26,740,0.074,u009,-21500.0,-39585.899030718014,-9089.655777681766,-30496.24325303625,-30496.24325303625,-39585.91214708204,0.9999995699026718,4.3009732825227687e-07,0.10846530956835077,0.320659699925248
27,760,0.076,u009,-21500.0,-39556.179728471914,-10459.28964430331,-29096.890084168605,-29096.890084168605,-39556.19347563905,0.9999995275387128,4.724612871487288e-07,0.10705855029530541,0.31743885365056806
