frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,donor_h,h_acceptor
0,2200,0.22,u009,-20750.0,-38925.83557273407,-8355.234594297654,-30570.600978436414,-30570.600978436414,-38925.84865719482,0.9999995719924,4.280075999729682e-07,0.10623761080103143,0.2615928180226447
1,2400,0.24,u009,-20750.0,-38952.07115813918,-13660.428532140824,-25291.642625998356,-25291.642625998356,-38952.08697363032,0.999999374675991,6.253240090181578e-07,0.10811364430439865,0.26479835494046133
2,2600,0.26,u009,-20750.0,-38856.403890820715,-11891.629329892137,-26964.774560928578,-26964.774560928578,-38856.41872498071,0.9999994498695461,5.501304539134999e-07,0.1109008861726289,0.2525621479056481
3,2800,0.28,u009,-20750.0,-38794.06162973383,-7553.919067550887,-31240.14256218294,-31240.14256218294,-38794.07443376746,0.9999995901419748,4.0985802518545e-07,0.11185654683422913,0.2640775869953027
4,3000,0.3,u009,-20750.0,-38927.39328917887,-13171.204176184052,-25756.18911299482,-25756.18911299482,-38927.40881941734,0.9999993970295968,6.029704032184391e-07,0.10988216142805748,0.26029914331206944
5,3200,0.32,u009,-20750.0,-38830.942486857675,-11397.340242285514,-27433.60224457216,-27433.60224457216,-38830.95706750895,0.9999994685118039,5.314881961759887e-07,0.10954312175167207,0.2505223572825167
6,3400,0.34,u009,-20750.0,-38758.330883738,-7327.935778215033,-31430.39510552297,-31430.39510552297,-38758.343610267104,0.9999995950888064,4.0491119357444205e-07,0.10792219432091808,0.25225191346215403
7,3600,0.36,u009,-20750.0,-38655.727739841706,-12072.1957402002,-26583.531999641506,-26583.531999641506,-38655.74278674268,0.999999433977248,5.660227520576377e-07,0.10689142491100781,0.2679614735339478
8,3800,0.38,u009,-20750.0,-38536.166979396075,-11130.704605747393,-27405.462373648683,-27405.462373648683,-38536.18157501871,0.9999994674197833,5.325802167055471e-07,0.11151955986484546,0.2553355870853427
9,4000,0.4,u009,-20750.0,-38541.42384786825,-7850.682447678788,-30690.741400189465,-30690.741400189465,-38541.436881109286,0.9999995753367508,4.246632491766711e-07,0.11308767884567825,0.26087174498731047
10,4200,0.42,u009,-20750.0,-38511.42880858801,-7935.352507422154,-30576.076301165856,-30576.076301165856,-38511.441890705704,0.9999995721456745,4.2785432546876834e-07,0.10851788041586694,0.26275021487390393
11,4400,0.44,u009,-20750.0,-38448.77850108172,-8670.040839237161,-29778.737661844556,-29778.737661844556,-38448.79193347849,0.9999995489269959,4.510730040041544e-07,0.1066892147246691,0.26477892626036653
12,4600,0.46,u009,-20750.0,-38393.38394541337,-8071.407481372851,-30321.97646404052,-30321.97646404052,-38393.39713715984,0.999999564944752,4.350552480492098e-07,0.10955335893082063,0.26892666852382574
13,4800,0.48,u009,-20750.0,-38383.32170753728,-12938.036136038427,-25445.285571498855,-25445.285571498855,-38383.33742753192,0.9999993822048028,6.177951972774487e-07,0.11235288631126589,0.27671893906759376
14,5000,0.5,u009,-20750.0,-38397.96540025913,-7836.994760038739,-30560.97064022039,-30560.97064022039,-38397.978488843044,0.9999995717226113,4.2827738871986654e-07,0.10989228772455167,0.27260484709996946
15,5200,0.52,u009,-20750.0,-38449.941807020106,-7558.428896977217,-30891.51291004289,-30891.51291004289,-38449.95475555498,0.999999580838787,4.1916121296114994e-07,0.10715531227586435,0.2637935954384086
16,5400,0.54,u009,-20750.0,-38410.996117001196,-13145.767241483874,-25265.22887551732,-25265.22887551732,-38411.01194902675,0.9999993733678092,6.266321907477668e-07,0.10883579242050394,0.2745007625196567
17,5600,0.56,u009,-20750.0,-38280.00582444135,-7664.856000711065,-30615.149823730288,-30615.149823730288,-38280.01888986261,0.9999995732371005,4.2676289946363966e-07,0.11044779810724187,0.2532662517018581
18,5800,0.58,u009,-20750.0,-38446.57357195232,-10920.848516362574,-27525.725055589748,-27525.725055589748,-38446.588103805276,0.9999994720634033,5.279365966615046e-07,0.11014757872587563,0.26166073264889517
19,6000,0.6,u009,-20750.0,-38166.41880580972,-13121.767626123241,-25044.65117968648,-25044.65117968648,-38166.43477727373,0.9999993622812502,6.377187497519365e-07,0.10761765652296526,0.2702123324202415
20,6200,0.62,u009,-20750.0,-38124.06928703215,-8223.047507523414,-29901.021779508737,-29901.021779508737,-38124.082664495436,0.9999995526088903,4.47391109714701e-07,0.10939395261769318,0.25092288669513946
21,6400,0.64,u009,-20750.0,-38024.50696368457,-13704.795524759858,-24319.711438924714,-24319.711438924714,-38024.52341123702,0.9999993236955034,6.76304496682878e-07,0.11076638126650631,0.2625195717624966
22,6600,0.66,u009,-20750.0,-38006.452556858334,-12797.551073922456,-25208.90148293588,-25208.90148293588,-38006.46842425932,0.9999993705643611,6.294356388880651e-07,0.10868447391357904,0.2764861702356503
23,6800,0.68,u009,-20750.0,-37779.10538716265,-6485.947255393781,-31293.15813176887,-31293.15813176887,-37779.11816950424,0.9999995915295257,4.084704743334555e-07,0.10685578615161262,0.2601284580351948
24,7000,0.7000000000000001,u009,-20750.0,-37817.26982146868,-13676.316558522056,-24140.953262946627,-24140.953262946627,-37817.28639081129,0.999999313642685,6.863573149273883e-07,0.11014970470318172,0.2564085836819841
25,7200,0.72,u009,-20750.0,-37616.52109697324,-14331.263842082495,-23285.25725489075,-23285.25725489075,-37616.53827521184,0.999999262270841,7.377291589838464e-07,0.11404140081058597,0.2699135137120066
26,7400,0.74,u009,-20750.0,-37724.536756988586,-11638.862880531437,-26085.67387645715,-26085.67387645715,-37724.55209106686,0.9999994121654547,5.878345452070555e-07,0.10896088744068341,0.2505588590100572
27,7600,0.76,u009,-20750.0,-37637.605819662975,-13544.946153174067,-24092.659666488908,-24092.659666488908,-37637.62242221869,0.9999993108883345,6.891116655083351e-07,0.10476181316675147,0.24664309746606333
28,7800,0.78,u009,-20750.0,-37701.04555092924,-11500.199800128,-26200.845750801236,-26200.845750801236,-37701.060817603095,0.9999994173220127,5.826779873041588e-07,0.10550342861522419,0.2582795814863208
29,8000,0.8,u009,-20750.0,-37606.0325046627,-3867.593382411491,-33738.439122251206,-33738.439122251206,-37606.044360571555,0.9999996485936861,3.5140631393648647e-07,0.11006496925286423,0.2640160157995293
30,8200,0.8200000000000001,u009,-20750.0,-37657.77348235453,-13870.580461151374,-23787.19302120316,-23787.19302120316,-37657.79029811404,0.9999992930760802,7.069239199020139e-07,0.11262436032744474,0.2600866414030997
31,8400,0.84,u009,-20750.0,-37472.16647542128,-15285.845219962968,-22186.321255458315,-22186.321255458315,-37472.18450453347,0.9999991873784446,8.126215553239113e-07,0.11021234559237814,0.255631913304604
32,8600,0.86,u009,-20750.0,-37575.38320553291,-5829.5633368048875,-31745.819868728024,-31745.819868728024,-37575.395805612,0.9999996030951745,3.969048253948948e-07,0.10794900676713357,0.26174229274894906
33,8800,0.88,u009,-20750.0,-37473.93092612148,-9644.12967277621,-27829.80125334527,-27829.80125334527,-37473.945299195504,0.9999994835371246,5.16462875355117e-07,0.10824206374585245,0.2411245602900808
34,9000,0.9,u009,-20750.0,-37515.365192924946,-9654.250239804125,-27861.11495312082,-27861.11495312082,-37515.37954984478,0.9999994846973976,5.153026023108076e-07,0.10915448123879884,0.2615820595419136
35,9200,0.92,u009,-20750.0,-37415.344953410386,-9300.568020217557,-28114.77693319283,-28114.77693319283,-37415.35918079688,0.99999949395394,5.060460599448646e-07,0.10805444689769468,0.25629049565498485
36,9400,0.9400000000000001,u009,-20750.0,-37521.82094314566,-11050.94619418602,-26470.874748959643,-26470.874748959643,-37521.83605408459,0.9999994291491379,5.70850862191552e-07,0.10828441156415239,0.23821721143246127
37,9600,0.96,u009,-20750.0,-37401.14561910517,-12135.58809256021,-25265.55752654496,-25265.55752654496,-37401.16145092479,0.9999993733841115,6.266158885104289e-07,0.11036501066337832,0.2614168698845058
38,9800,0.98,u009,-20750.0,-37445.02553808331,-2820.4231480944436,-34624.60238998887,-34624.60238998887,-37445.03709055869,0.999999666350893,3.336491070649039e-07,0.11114020313918593,0.24961216834038288
39,10000,1.0,u009,-20750.0,-37354.72179926373,-8292.23608980613,-29062.4857094576,-29062.4857094576,-37354.73556270484,0.9999995264194463,4.735805536615345e-07,0.11002544000301273,0.24562143596249789
40,10200,1.02,u009,-20750.0,-37268.70243602662,-8055.303976777213,-29213.39845924941,-29213.39845924941,-37268.71612836759,0.9999995312997167,4.6870028319601076e-07,0.10684089324662784,0.2543311374201383
41,10400,1.04,u009,-20750.0,-37276.97029205266,-5806.22903232777,-31470.74125972489,-31470.74125972489,-37276.9830022661,0.999999596126349,4.038736509670571e-07,0.10795490360305349,0.2450156063675738
42,10600,1.06,u009,-20750.0,-37215.974185556755,-11055.823885111313,-26160.150300445443,-26160.150300445443,-37215.98947597985,0.9999994155077458,5.844922540965136e-07,0.11260722075443995,0.25334183298253854
43,10800,1.08,u009,-20750.0,-37144.9619354617,-11187.974586739118,-25956.987348722585,-25956.987348722585,-37144.97734556138,0.9999994063224218,5.936775781534287e-07,0.11123020552966069,0.2551818103356668
44,11000,1.1,u009,-20750.0,-37190.49831758876,-10638.431993609556,-26552.066323979205,-26552.066323979205,-37190.51338232113,0.9999994326349184,5.67365081582949e-07,0.10823767714351332,0.25520677361987765
45,11200,1.12,u009,-20750.0,-37047.30966746388,-14780.935338849726,-22266.374328614154,-22266.374328614154,-37047.3276317571,0.9999991932110741,8.06788925944435e-07,0.10944512464630547,0.26301289595765187
46,11400,1.1400000000000001,u009,-20750.0,-37062.91779733694,-13002.226612741768,-24060.69118459517,-24060.69118459517,-37062.93442195177,0.9999993090559313,6.909440687374868e-07,0.1101291661970413,0.253403197513949
47,11600,1.16,u009,-20750.0,-37144.26400469712,-7267.683766398142,-29876.58023829898,-29876.58023829898,-37144.277393104276,0.9999995518765852,4.4812341482014517e-07,0.10727982644034208,0.2661199604114562
48,11800,1.18,u009,-20750.0,-37027.38144712063,-16745.842071935593,-20281.539375185035,-20281.539375185035,-37027.40116947028,0.9999990275732562,9.72426743850452e-07,0.10736396275767295,0.2644582886305044
49,12000,1.2,u009,-20750.0,-36954.58454046209,-14081.767869149742,-22872.81667131235,-22872.81667131235,-36954.60202845668,0.9999992354256978,7.645743022033358e-07,0.11162852685236511,0.24087516817454918
50,12200,1.22,u009,-20750.0,-36940.20988087161,-13561.463865231868,-23378.746015639743,-23378.746015639743,-36940.226990416624,0.9999992681592094,7.318407906353741e-07,0.11351322772310055,0.2616517415639534
51,12400,1.24,u009,-20750.0,-37049.694761368766,-11555.805984570761,-25493.888776798005,-25493.888776798005,-37049.710451393825,0.9999993845581627,6.154418373260917e-07,0.10816951698979854,0.2509876288343935
52,12600,1.26,u009,-20750.0,-36776.44036060228,-14887.882202794048,-21888.558157808235,-21888.558157808235,-36776.45863497482,0.9999991651189681,8.34881031919199e-07,0.10481729267796719,0.2462745377359691
53,12800,1.28,u009,-20750.0,-36912.81744519371,-14552.758340903121,-22360.059104290587,-22360.059104290587,-36912.835334219766,0.9999991999575069,8.000424931986494e-07,0.11012037965887711,0.2737647152520664
54,13000,1.3,u009,-20750.0,-36769.683145398565,-14006.561431263952,-22763.121714134613,-22763.121714134613,-36769.70071766726,0.9999992280390277,7.719609722567355e-07,0.11485746088084473,0.2570380667372288
55,13200,1.32,u009,-20750.0,-36910.53006195629,-9727.457822163298,-27183.072239792993,-27183.072239792993,-36910.5447769885,0.999999458669861,5.413301390477798e-07,0.11164203694301951,0.2641975656881877
56,13400,1.34,u009,-20750.0,-36827.69371920507,-11396.983012521407,-25430.71070668366,-25430.71070668366,-36827.70944820915,0.9999993814964587,6.185035412165085e-07,0.10605515754421514,0.2780554270004515
57,13600,1.36,u009,-20750.0,-36758.697163347155,-11923.054348635225,-24835.64281471193,-24835.64281471193,-36758.71326922142,0.9999993515024554,6.484975444975838e-07,0.10665926093549713,0.28510841117061475
58,13800,1.3800000000000001,u009,-20750.0,-36746.95556823129,-10921.717415007908,-25825.238153223385,-25825.238153223385,-36746.971056946546,0.9999994002496092,5.99750390795073e-07,0.11032339235624976,0.2761303601708055
59,14000,1.4000000000000001,u009,-20750.0,-36737.23196713507,-9320.62428448652,-27416.60768264855,-27416.60768264855,-36737.24655682435,0.9999994678527002,5.321472998365273e-07,0.11178034765656787,0.29406704728013083
60,14200,1.42,u009,-20750.0,-36776.96384874199,-6243.4019407335145,-30533.561908008473,-30533.561908008473,-36776.976949074975,0.9999995709533729,4.290466271150706e-07,0.1111020529141583,0.2890968605667533
61,14400,1.44,u009,-20750.0,-36702.18555342665,-9990.574463215045,-26711.611090211605,-26711.611090211605,-36702.20052817956,0.9999994393922529,5.606077471131954e-07,0.1090182179600306,0.29519292461204777
62,14600,1.46,u009,-20750.0,-36648.38366613837,-11311.495685686124,-25336.887980452244,-25336.887980452244,-36648.39945338703,0.9999993769073378,6.230926622441402e-07,0.1069370442372268,0.2797742368429396
63,14800,1.48,u009,-20750.0,-36624.277692773205,-14060.750991955516,-22563.52670081769,-22563.52670081769,-36624.295420484435,0.9999992143212535,7.856787465621018e-07,0.10882257070629263,0.27977116196040397
64,15000,1.5,u009,-20750.0,-36628.187772380275,-5893.241254584689,-30734.946517795586,-30734.946517795586,-36628.20078687602,0.9999995765574307,4.23442569341681e-07,0.11288208322148906,0.2757407643169994
65,15200,1.52,u009,-20750.0,-36476.83136812589,-9618.705922104797,-26858.12544602109,-26858.12544602109,-36476.84626118978,0.9999994454919275,5.545080724589369e-07,0.1115404698204027,0.27651459660544614
66,15400,1.54,u009,-20750.0,-36520.63254854616,-6732.66605856971,-29787.966489976447,-29787.966489976447,-36520.64597678134,0.9999995492064528,4.5079354721311304e-07,0.10589990729901765,0.2585894775890944
