frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
0,300,0.03,u001,-25000.0,-35125.67098313072,-12216.765448271444,-22908.90553485928,-147908.90553485928,-35125.673687497925,0.9999999817159955,1.828400453263157e-08,-0.16341290989787965,0,-0.16341290989787965,0.15144775954381526,0.11477566598499551,0.27818857588287516
1,400,0.04,u001,-25000.0,-34954.57875252444,-15486.004791115764,-19468.573961408674,-144468.5739614087,-34954.58152129263,0.9999999808348071,1.9165192877146353e-08,-0.16769930608012823,0,-0.16769930608012823,0.15507519382585574,0.11341355447142043,0.28111286055154866
2,500,0.05,u001,-25000.0,-35088.67103234497,-886.6547577306465,-34202.016274614325,-159202.01627461432,-35088.673544875914,0.9999999842179708,1.5782029183508683e-08,-0.17505170112083118,0,-0.17505170112083118,0.14471590515854627,0.11197919259380923,0.2870308937146404
3,600,0.06,u001,-25000.0,-33964.52643917734,7831.04021041831,-41795.56664959565,-166795.56664959565,-33964.52883732258,0.9999999856222488,1.4377751267335981e-08,-0.16759749028785398,0,-0.16759749028785398,0.14128800535312414,0.11068054845827308,0.27827803874612705
4,700,0.07,u001,-25000.0,-34372.90421941308,-15309.913025425023,-19062.99119398806,-144062.99119398807,-34372.90699597623,0.9999999807267432,1.92732568238263e-08,-0.1707020864575949,0,-0.1707020864575949,0.15577943688412585,0.1083915599794241,0.279093646437019
5,800,0.08,u001,-25000.0,-34804.141666276824,-11256.10626440794,-23548.035401868885,-148548.0354018689,-34804.14435900845,0.9999999818729913,1.8127008671875444e-08,-0.15728339939610503,0,-0.15728339939610503,0.15030164480934033,0.10778099789645657,0.2650643972925616
6,900,0.09,u001,-25000.0,-34772.154799094336,2467.606838960911,-37239.76163805525,-162239.76163805526,-34772.15726458116,0.9999999848034371,1.5196562896946375e-08,-0.15459676405881195,0,-0.15459676405881195,0.1426700000424656,0.10735476561395035,0.2619515296727623
7,1000,0.1,u001,-25000.0,-34764.242518623236,-13083.850242973118,-21680.39227565012,-146680.3922756501,-34764.245245640705,0.9999999814084396,1.8591560402292373e-08,-0.14792264600766278,0,-0.14792264600766278,0.15121623612120697,0.10694031685722952,0.2548629628648923
8,1100,0.11,u001,-25000.0,-34936.94496294807,-12345.493611297228,-22591.451351650845,-147591.45135165085,-34936.94767313209,0.9999999816372568,1.8362743214872523e-08,-0.13375253576268697,0,-0.13375253576268697,0.14987931000500015,0.10830967030251397,0.24206220606520093
9,1200,0.12,u001,-25000.0,-34995.243631952406,-1229.2997181472301,-33765.943913805175,-158765.94391380518,-34995.246151384374,0.9999999841311566,1.5868843294963852e-08,-0.12681696613301888,0,-0.12681696613301888,0.14328346893777494,0.10775364001983762,0.2345706061528565
