frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,donor_h,h_acceptor
0,30000,3.0,u021,-33400.0,-34356.706468966644,1071.7362421974249,-35428.44271116407,-35428.44271116407,-34356.717759326646,0.9999996813195291,3.186804709010005e-07,0.11360670345706328,0.2546636944076508
1,40000,4.0,u021,-33400.0,-34034.887681873515,3911.0966316358827,-37945.9843135094,-37945.9843135094,-34034.89822317047,0.9999997222027235,2.7779727651555675e-07,0.11191370805884648,0.3323887954932907
2,50000,5.0,u021,-33400.0,-33692.07179160198,-2722.57295582036,-30969.49883578162,-30969.49883578162,-33692.08470753049,0.9999995829471503,4.1705284969939527e-07,0.10560431899112961,0.3211985109506594
3,60000,6.0,u021,-33400.0,-33583.42047110287,5394.068808943761,-38977.48928004663,-38977.48928004663,-33583.43073343382,0.9999997367114779,2.6328852215096177e-07,0.10418290000586908,0.24869732343407527
4,70000,7.0,u021,-33400.0,-33348.65247524239,5557.670389261155,-38906.32286450354,-38906.32286450354,-33348.662756344915,0.9999997357473969,2.642526031326753e-07,0.11408386570038875,0.270570201079388
5,80000,8.0,u021,-33400.0,-33433.570083821454,9489.81364620864,-42923.383730030095,-42923.383730030095,-33433.57940274924,0.9999997828940096,2.1710599040769551e-07,0.11205073683318337,0.24900207708834693
6,90000,9.0,u021,-33400.0,-33503.482436962455,1200.0748749152408,-34703.557311877696,-34703.557311877696,-33503.49396315453,0.9999996678673511,3.32132648883654e-07,0.10992192756891626,0.24690674948534544
7,100000,10.0,u021,-33400.0,-33473.74168575468,-2688.4450870536966,-30785.29659870098,-30785.29659870098,-33473.75467896492,0.9999995779413969,4.220586030667661e-07,0.110375631317891,0.26516842683299485
8,110000,11.0,u021,-33400.0,-33608.37637051361,-3741.4510479530727,-29866.925322560535,-29866.925322560535,-33608.38976324876,0.9999995515868141,4.4841318597166335e-07,0.10755998583727325,0.325551175417835
9,120000,12.0,u021,-33400.0,-33549.73242182963,-3158.4014796911215,-30391.330942138506,-30391.330942138506,-33549.74558347192,0.9999995669281176,4.330718822997959e-07,0.10515298119213125,0.2585078711245762
10,130000,13.0,u021,-33400.0,-33424.912375230604,1759.1960403082485,-35184.10841553885,-35184.10841553885,-33424.9237439959,0.9999996768780435,3.2312195658024123e-07,0.10869456450295269,0.306581360556346
11,140000,14.0,u021,-33400.0,-33171.4186528025,-582.7086301886011,-32588.7100226139,-32588.7100226139,-33171.430926987305,0.9999996233611104,3.7663888968753056e-07,0.11161183228943611,0.34000480203512895
12,150000,15.0,u021,-33400.0,-33393.628833226016,-4833.81693317098,-28559.811900055036,-28559.811900055036,-33393.64283891363,0.9999995096020265,4.903979734516284e-07,0.11037001945764012,0.31959437078222014
13,160000,16.0,u021,-33400.0,-33238.402578742505,4967.707429700677,-38206.11000844318,-38206.11000844318,-33238.41304826924,0.9999997259725997,2.740274003265597e-07,0.10837563995208879,0.31251531175953573
14,170000,17.0,u021,-33400.0,-33332.25344580365,-6540.169847423473,-26792.08359838018,-26792.08359838018,-33332.26837557855,0.9999994427548644,5.572451355351227e-07,0.11096482519295364,0.2727555693025956
15,180000,18.0,u021,-33400.0,-33218.710327542416,1164.4898236967274,-34383.20015123914,-34383.20015123914,-33218.721961126925,0.9999996616493931,3.3835060686548957e-07,0.10786086904708475,0.3182339865143359
