frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,1100,0.11,p022,-0.024,-38609.473484541,8892.734531323105,-47502.208015864104,-47502.208015864104,-38609.48190520071,0.9999998227312565,1.7726874340651122e-07,-0.08717980365677118,0,0.12238141514507843,0.2095612188018496
1,1200,0.12,p022,-0.024,-38615.318219695444,4437.5744481407455,-43052.89266783619,-43052.89266783619,-38615.327510590636,0.9999997841982127,2.1580178727331756e-07,-0.08776769081967478,0,0.12371493329462568,0.21148262411430047
2,1300,0.13,p022,-0.024,-38582.837763182295,-7929.075942211377,-30653.761820970918,-30653.761820970918,-38582.85081214614,0.9999995743115376,4.2568846236878954e-07,-0.08960568108790186,0,0.1225848842619761,0.21219056534987796
3,1400,0.14,p022,-0.024,-38473.05976949583,-7369.735388098372,-31103.324381397455,-31103.324381397455,-38473.072629852155,0.9999995865282586,4.1347174140060616e-07,-0.08780236386835504,0,0.12062226934398075,0.20842463321233579
4,1500,0.15,p022,-0.024,-38431.56100807976,4261.9172364267,-42693.47824450646,-42693.47824450646,-38431.57037719019,0.9999997805494727,2.1945052736116466e-07,-0.09495883431779109,0,0.11757518535924519,0.21253401967703628
5,1600,0.16,p022,-0.024,-38432.613754429534,980.2754416735843,-39412.88919610312,-39412.88919610312,-38432.62390339108,0.999999742496515,2.5750348497943776e-07,-0.09024035728295696,0,0.11473477762111656,0.2049751349040735
6,1700,0.17,p022,-0.024,-38475.591276589694,-4409.202670810308,-34066.388605779386,-34066.388605779386,-38475.60301836446,0.9999996553269321,3.4467306792018704e-07,-0.1014155068618581,0,0.11243164076976067,0.21384714763161877
7,1800,0.18,p022,-0.024,-38428.42245811704,4243.859097857872,-42672.281555974914,-42672.281555974914,-38428.431831881404,0.9999997803314025,2.19668597534195e-07,-0.09609598864277358,0,0.11118849741779116,0.20728448606056474
8,1900,0.19,p022,-0.024,-38425.74940329796,10276.257451286714,-48702.00685458467,-48702.00685458467,-38425.757616510484,0.9999998313578786,1.686421213786815e-07,-0.10205017654289879,0,0.10893043380726157,0.21098061035016036
9,2000,0.2,p022,-0.024,-38498.7185217255,-1396.6802945479576,-37102.038227177545,-37102.038227177545,-38498.72930280123,0.9999997094211,2.90578900108418e-07,-0.0965131445805444,0,0.10866343408534142,0.20517657866588582
10,2100,0.21,p022,-0.024,-38512.12886536389,-8250.171767349995,-30261.957098013896,-30261.957098013896,-38512.14208327389,0.999999563217329,4.367826710316436e-07,-0.10205991812196151,0,0.10807603634844277,0.21013595447040428
11,2200,0.22,p022,-0.024,-38446.6046031157,3382.1107817925513,-41828.71538490825,-41828.71538490825,-38446.61416592213,0.9999997713818851,2.2861811493912754e-07,-0.098758624520811,0,0.10773026084014795,0.20648888536095894
12,2300,0.23,p022,-0.024,-38443.29548805699,-1481.7951782869932,-36961.500309769996,-36961.500309769996,-38443.30631012534,0.999999707207177,2.92792822986776e-07,-0.10040765927657963,0,0.10981694942998724,0.21022460870656687
13,2400,0.24,p022,-0.024,-38383.10795544091,-7431.373169854691,-30951.734785586217,-30951.734785586217,-38383.120878782225,0.9999995824682973,4.175317026566816e-07,-0.09476642334469451,0,0.11271282496314095,0.20747924830783546
14,2500,0.25,p022,-0.024,-38371.170861231396,1515.0774730141566,-39886.24833424555,-39886.24833424555,-38371.18088974789,0.9999997485722054,2.514277945842025e-07,-0.09196540685329155,0,0.11636921311391332,0.20833461996720487
15,2600,0.26,p022,-0.024,-38367.19348028288,3163.5876354739594,-41530.781115756836,-41530.781115756836,-38367.20311169111,0.9999997680899924,2.3191000769751113e-07,-0.09206939614261951,0,0.1212103738449151,0.21327976998753462
16,2700,0.27,p022,-0.024,-38325.405055530166,-6790.625170198939,-31534.779885331227,-31534.779885331227,-38325.417739932614,0.9999995977649982,4.022350016952281e-07,-0.08727758037886864,0,0.12354429647533839,0.21082187685420703
17,2800,0.28,p022,-0.024,-38347.608503450436,-15493.4036162415,-22854.204887208936,-22854.204887208936,-38347.6260056867,0.9999992341799004,7.658200995575015e-07,-0.08985113369383832,0,0.12378355528265933,0.21363468897649765
18,2900,0.29,p022,-0.024,-38357.557489791216,-6412.82563059064,-31944.731859200576,-31944.731859200576,-38357.570011412776,0.9999996080226374,3.9197736262375216e-07,-0.08704185564597647,0,0.12207481732830483,0.2091166729742813
19,3000,0.3,p022,-0.024,-38292.009014251904,20558.205880906113,-58850.21489515802,-58850.21489515802,-38292.01581116767,0.9999998845048533,1.1549514666864269e-07,-0.08925978746848234,0,0.11999065912157808,0.20925044659006042
