frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,1100,0.11,p035,0.22,222260.79474552532,-39015.02619637214,261275.82094189746,261275.82094189746,-39015.0277273213,5.859513263484217e-09,0.9999999941404867,0.2276650454367929,1,0.32511428063227393,0.09744923519548103
1,1200,0.12,p035,0.22,212936.0109301981,-38916.96501086571,251852.9759410638,251852.9759410638,-38916.966599093896,6.306171917991321e-09,0.9999999936938281,0.2244354120940722,1,0.32219051652110287,0.09775510442703067
2,1300,0.13,p035,0.22,176607.53470959797,-38911.71960577287,215519.25431537084,215519.25431537084,-38911.72146175553,8.611678925518618e-09,0.9999999913883211,0.22924007293851287,1,0.3283559391594915,0.09911586622097865
3,1400,0.14,p035,0.22,154020.10127324492,-38893.68506247943,192913.78633572435,192913.78633572435,-38893.68713594449,1.0748143264294185e-08,0.9999999892518567,0.22652579423940622,1,0.3266152750299035,0.1000894807904973
4,1500,0.15,p035,0.22,128689.04774985297,-38863.12812335385,167552.1758732068,167552.1758732068,-38863.13051066987,1.424819429107771e-08,0.9999999857518057,0.21888802654929257,1,0.3202250190668182,0.10133699251752565
5,1600,0.16,p035,0.22,124593.45793645634,-38827.48016476989,163420.93810122623,163420.93810122623,-38827.48261243662,1.497768087332929e-08,0.9999999850223191,0.22841338588791107,1,0.33001801641852124,0.10160463053061017
6,1700,0.17,p035,0.22,144946.36109967044,-38808.15832284439,183754.51942251483,183754.51942251483,-38808.16049966158,1.1846332470533127e-08,0.9999999881536675,0.22440616395384172,1,0.3249189846107028,0.10051282065686107
7,1800,0.18,p035,0.22,194173.7043154404,-38831.844740516506,233005.54905595692,233005.54905595692,-38831.846457213804,7.3676240108788704e-09,0.9999999926323759,0.2275371262945402,1,0.32595557001543385,0.09841844372089366
8,1900,0.19,p035,0.22,230102.6083542245,-38750.41487029978,268853.0232245243,268853.0232245243,-38750.41635810153,5.533885072406264e-09,0.9999999944661149,0.2241659548697089,1,0.3213477036020368,0.0971817487323279
9,2000,0.2,p035,0.22,245840.60175549952,-38845.36457874579,284685.9663342453,284685.9663342453,-38845.36598380275,4.9354626496800336e-09,0.9999999950645373,0.23329585902737565,1,0.3300206320063331,0.09672477297895743
10,2100,0.21,p035,0.22,231154.0250242713,-38808.00403486338,269962.02905913466,269962.02905913466,-38808.005516553225,5.488512033746673e-09,0.9999999945114879,0.22275854466237324,1,0.31991692126037263,0.09715837659799939
11,2200,0.22,p035,0.22,164937.90538677046,-38763.531726113986,203701.43711288445,203701.43711288445,-38763.53368977217,9.639883613576927e-09,0.9999999903601164,0.2278066529829622,1,0.3274383707140565,0.09963171773109432
12,2300,0.23,p035,0.22,141789.49618580032,-38789.345709007146,180578.84189480747,180578.84189480747,-38789.347924106056,1.2266657800630298e-08,0.9999999877333422,0.2266827477445426,1,0.3273976806340331,0.10071493288949046
13,2400,0.24,p035,0.22,139901.23232866972,-38882.937963731616,178784.17029240134,178784.17029240134,-38882.94020106613,1.251416414937978e-08,0.9999999874858359,0.22021992229272802,1,0.3210072672725667,0.10078734497983864
14,2500,0.25,p035,0.22,133317.95853221058,-38847.73187876196,172165.69041097254,172165.69041097254,-38847.7342021052,1.3494809436576105e-08,0.9999999865051905,0.23556494632044941,1,0.33675548713762504,0.10119054081717563
15,2600,0.26,p035,0.22,172369.63743691475,-38863.63330123355,211233.2707381483,211233.2707381483,-38863.635194874616,8.96469115607701e-09,0.9999999910353088,0.2214428491665536,1,0.3207353188712263,0.09929246970467269
16,2700,0.27,p035,0.22,198978.53064310152,-38785.5742559646,237764.10489906612,237764.10489906612,-38785.57593830432,7.075667274314412e-09,0.9999999929243327,0.22295770754134056,1,0.32121778055180783,0.09826007301046727
17,2800,0.28,p035,0.22,200316.48722528815,-38752.456959941715,239068.94418522986,239068.94418522986,-38752.45863309922,6.998640000865919e-09,0.99999999300136,0.23689105269417426,1,0.3351364222101594,0.0982453695159851
18,2900,0.29,p035,0.22,204598.83601346958,-38689.07000498427,243287.90601845385,243287.90601845385,-38689.07164912681,6.7580117057985944e-09,0.9999999932419883,0.22338740636535603,1,0.3214458908615432,0.09805848449618715
19,3000,0.3,p035,0.22,194717.8755896941,-38635.23754758513,233353.11313727923,233353.11313727923,-38635.239261725525,7.345693164850786e-09,0.9999999926543068,0.22179764184968354,1,0.3202130398558626,0.09841539800617904
