frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
0,300,0.03,u004,50000.0,-32320.82177095847,-2136.453403861892,-30184.36836709658,-80184.36836709658,-32320.826759461637,0.9999999377870944,6.221290560493031e-08,-0.14926813501861141,0,-0.14926813501861141,0.14572521905232344,0.11329977076293803,0.2625679057815494
1,400,0.04,u004,50000.0,-32048.64342545359,-8444.621511922644,-23604.021913530945,-73604.02191353095,-32048.648859938825,0.9999999261659309,7.383406908090251e-08,-0.15097779340372794,0,-0.15097779340372794,0.14982925842935155,0.11191550345637855,0.2628932968601065
2,500,0.05,u004,50000.0,-32018.383178030483,-11545.591903279104,-20472.791274751376,-70472.79127475138,-32018.388853979464,0.9999999194590143,8.054098560306144e-08,-0.17274999119708695,0,-0.17274999119708695,0.15436014334028797,0.11152550857414506,0.284275499771232
3,600,0.06,u004,50000.0,-31266.166478182462,7785.432325821423,-39051.59880400389,-89051.59880400388,-31266.17096996009,0.9999999495598368,5.044016321287259e-08,-0.18864742989206715,0,-0.18864742989206715,0.1430194932163489,0.11023362338895284,0.29888105328102
4,700,0.07,u004,50000.0,-31809.533564226316,4304.239988621484,-36113.7735528478,-86113.7735528478,-31809.538209243732,0.9999999460595358,5.394046420637011e-08,-0.19357567789883506,0,-0.19357567789883506,0.1445492566612193,0.10893004845354846,0.30250572635238354
5,800,0.08,u004,50000.0,-32224.699129403412,-8345.511061124955,-23879.188068278458,-73879.18806827845,-32224.704543647676,0.9999999267149029,7.328509715742726e-08,-0.16836445307628015,0,-0.16836445307628015,0.15065913180561044,0.11009318370032875,0.2784576367766089
6,900,0.09,u004,50000.0,-32147.543235148896,-8319.701595256185,-23827.84163989271,-73827.84163989271,-32147.54865315871,0.9999999266129295,7.338707053161642e-08,-0.16248057096202817,0,-0.16248057096202817,0.15049771713725438,0.11146438679844962,0.2739449577604778
7,1000,0.1,u004,50000.0,-32326.13017012612,-4747.198602777766,-27578.931567348358,-77578.93156734835,-32326.13532616482,0.9999999335381667,6.64618332590905e-08,-0.15994639796106866,0,-0.15994639796106866,0.1475578882011401,0.11144623253137911,0.2713926304924478
8,1100,0.11,u004,50000.0,-32394.127722935365,227.36034011153515,-32621.4880630469,-82621.4880630469,-32394.132564290638,0.9999999414032013,5.859679869102408e-08,-0.1627377255731064,0,-0.1627377255731064,0.1450118706417025,0.11160445374667227,0.27434217931977867
9,1200,0.12,u004,50000.0,-32254.12060981614,-6097.2819809463945,-26156.838628869744,-76156.83862886974,-32254.125862134635,0.9999999310328807,6.896711929327282e-08,-0.1558005883157203,0,-0.1558005883157203,0.14831332987177673,0.11090228310529184,0.2667028714210121
