gap_kj_mol,free_energy_kj_mol,probability,counts
-59875.0,,0.0,0
-59625.0,,0.0,0
-59375.0,,0.0,0
-59125.0,,0.0,0
-58875.0,,0.0,0
-58625.0,,0.0,0
-58375.0,,0.0,0
-58125.0,,0.0,0
-57875.0,,0.0,0
-57625.0,,0.0,0
-57375.0,,0.0,0
-57125.0,,0.0,0
-56875.0,,0.0,0
-56625.0,,0.0,0
-56375.0,,0.0,0
-56125.0,,0.0,0
-55875.0,,0.0,0
-55625.0,,0.0,0
-55375.0,,0.0,0
-55125.0,,0.0,0
-54875.0,,0.0,0
-54625.0,,0.0,0
-54375.0,,0.0,0
-54125.0,,0.0,0
-53875.0,,0.0,0
-53625.0,,0.0,0
-53375.0,,0.0,0
-53125.0,,0.0,0
-52875.0,,0.0,0
-52625.0,,0.0,0
-52375.0,,0.0,0
-52125.0,,0.0,0
-51875.0,,0.0,0
-51625.0,,0.0,0
-51375.0,,0.0,0
-51125.0,,0.0,0
-50875.0,,0.0,0
-50625.0,,0.0,0
-50375.0,,0.0,0
-50125.0,,0.0,0
-49875.0,,0.0,0
-49625.0,,0.0,0
-49375.0,,0.0,0
-49125.0,,0.0,0
-48875.0,4.985023013835422,0.0031475087604997784,1
-48625.0,,0.0,0
-48375.0,5.402605870447182,0.002662322933432327,1
-48125.0,5.60324749147423,0.0024565556437593883,1
-47875.0,,0.0,0
-47625.0,5.9883521007059155,0.002105112190876289,1
-47375.0,4.443922415592699,0.003910021011659452,2
-47125.0,4.623113720047188,0.00363898045332546,2
-46875.0,,0.0,0
-46625.0,3.9542741417846514,0.004758091224628526,3
-46375.0,4.117670388688156,0.0044563932321554705,3
-46125.0,7.016174644334026,0.0013941802898750654,1
-45875.0,3.7113096106157624,0.005244883198276822,4
-45625.0,7.317084224568649,0.0012357395587410227,1
-45375.0,5.73092692766545,0.0023339743305202713,2
-45125.0,4.139706591042849,0.004417196681887958,4
-44875.0,7.730293618795944,0.0010470856502494098,1
-44625.0,6.129064950877773,0.0019896442955240944,2
-44375.0,4.522894273705777,0.0037881671856544942,4
-44125.0,5.35834578792522,0.002709985378474559,3
-43875.0,6.482735430076881,0.00172662149370558,2
-43625.0,5.579585227315755,0.0024799703673735415,3
-43375.0,5.683046737310121,0.0023792090009992248,3
-43125.0,4.052860342124287,0.004573700446462776,6
-42875.0,5.158335001461088,0.002936237893564759,4
-42625.0,3.8519768822118685,0.004957285729535376,7
-42375.0,2.5925147013668575,0.008213561537996078,12
-42125.0,7.142273012948092,0.0013254510424026804,2
-41875.0,3.20388190079308,0.006428136768857132,10
-41625.0,5.004573592428342,0.003122935078247725,5
-41375.0,4.617274384674664,0.0036475094147571116,6
-41125.0,5.135315565043594,0.002963460895122189,5
-40875.0,4.73968550650355,0.0034728271500217463,6
-40625.0,3.065834021540235,0.006793927531821106,12
-40375.0,3.571730771626971,0.005546744753105103,10
-40125.0,5.347917645948357,0.002721338795549351,5
-39875.0,4.552091795458427,0.003744083251234473,7
-39625.0,4.258768793007924,0.00421130378999995,8
-39375.0,3.5005830424975457,0.0057072363676243945,11
-39125.0,3.5332255854027146,0.0056330343401452656,11
-38875.0,2.960929773505029,0.007085752938820303,14
-38625.0,3.1717347056212404,0.006511519164511094,13
-38375.0,3.194513059528056,0.0064523265210306045,13
-38125.0,4.131463200388778,0.004431818959115715,9
-37875.0,2.419303222026196,0.008804196440643473,18
-37625.0,4.162221984768054,0.004377503837927073,9
-37375.0,2.587148037261395,0.008231252350264045,17
-37125.0,2.908103874732385,0.007237417596799684,15
-36875.0,2.19688410333948,0.009625328859187507,20
-36625.0,2.2009870081011442,0.00960950929776065,20
-36375.0,2.920563169668471,0.007201356622739102,15
-36125.0,3.93198199996481,0.004800805321928794,10
-35875.0,2.46410590379938,0.008647469452014353,18
-35625.0,2.754535054077344,0.007697005853047185,16
-35375.0,2.910697620067518,0.007229895658900299,15
-35125.0,2.1870175724435743,0.009663477919169357,20
-34875.0,2.5851811419316206,0.008237745612865504,17
-34625.0,1.8230441228894936,0.01118164315493363,23
-34375.0,1.5083339735853567,0.0126852918340525,26
-34125.0,2.870866965061607,0.007346272389221682,15
-33875.0,2.2713766355142972,0.00934212185571404,19
-33625.0,1.6786006632644899,0.011848270961428311,24
-33375.0,2.123288469127104,0.009913556008206282,20
-33125.0,1.9916632959881433,0.010450738852079384,21
-32875.0,1.6490004093606885,0.011989711663441495,24
-32625.0,1.746077454692811,0.011532048334686025,23
-32375.0,1.247012049543093,0.014086391785848109,28
-32125.0,1.3301616854914649,0.013624557568625146,27
-31875.0,1.5155587764760448,0.012648602298399224,25
-31625.0,1.3181606584598171,0.013690267431848173,27
-31375.0,0.5280834272808121,0.018792039290149696,37
-31125.0,1.0484342758596732,0.015253677142992486,30
-30875.0,0.45754158173266113,0.01933107911905413,38
-30625.0,0.14954631275574037,0.021871662275967697,43
-30375.0,1.0495327575705389,0.015246961055970565,30
-30125.0,0.7410914703723179,0.01725387475144081,34
-29875.0,0.8210983160710565,0.016709231798996783,33
-29625.0,0.0,0.023223068804879152,46
-29375.0,1.24745896373671,0.014083868133280188,28
-29125.0,0.3071874075613419,0.02053215690244837,41
-28875.0,1.3619312522197635,0.013452126522295584,27
-28625.0,0.8758964428588545,0.01634614957839029,33
-28375.0,0.35063976549651876,0.02017757612779229,41
-28125.0,0.7630668776891447,0.01710253380429959,35
-27875.0,0.854622201505089,0.016486162293761465,34
-27625.0,0.17607750371043807,0.02164025583448334,45
-27375.0,0.49173500665297176,0.019067888795240552,40
-27125.0,0.920079689785414,0.016059152869542244,34
-26875.0,0.41691685807079715,0.019648497816905294,42
-26625.0,0.56331100955774,0.018528504384946937,40
-26375.0,1.2244010287893001,0.014214664535651551,31
-26125.0,1.1709374765504919,0.014522629721479576,32
-25875.0,1.3578854914660425,0.013473963269991566,30
-25625.0,0.9993950721020184,0.015556534880109406,35
-25375.0,0.95499206859302,0.015835944309683703,36
-25125.0,1.1230828707542209,0.014803940427321811,34
-24875.0,1.460255823502047,0.012932171310620503,30
-24625.0,1.569048652593855,0.012380246863725507,29
-24375.0,2.9245224691866323,0.007189934874045851,17
-24125.0,1.6144963996252883,0.012156716908763202,29
-23875.0,1.907706436590848,0.010808486833634152,26
-23625.0,3.6559652454185887,0.005362557264616126,13
-23375.0,2.7270049324330827,0.007782428568910713,19
-23125.0,2.7427408448850414,0.0077334864860268615,19
-22875.0,2.390743570672729,0.008905581940790943,22
-22625.0,3.0453139360284283,0.006850049417982922,17
-22375.0,3.205600913116271,0.006423708244710974,16
-22125.0,3.3731031421532958,0.006006502309157692,15
-21875.0,6.117235276788472,0.001999102812174329,5
-21625.0,3.7348391883138756,0.005195639832134005,13
-21375.0,3.9324766742541435,0.004799853326352612,12
-21125.0,4.382107054150522,0.004008130854070478,10
-20875.0,6.102654123085115,0.0020108231889736754,5
-20625.0,6.6474726851593005,0.0016162718121454135,4
-20375.0,6.075600443721342,0.002032751344276799,5
-20125.0,6.056710152678541,0.002048204351869484,5
-19875.0,7.308269376385873,0.0012401143159799,3
-19625.0,5.552885837708146,0.0025066585377104093,6
-19375.0,7.251464108167056,0.0012686803219412,3
-19125.0,8.228445146957519,0.0008575274195807796,2
-18875.0,7.17858052453262,0.0013062975584603798,3
-18625.0,7.135886211779486,0.0013288492333260664,3
-18375.0,8.100280188448725,0.0009027408213713327,2
-18125.0,8.048949610048574,0.0009215106410090959,2
-17875.0,,0.0,0
-17625.0,9.661866389002725,0.00048269419969081736,1
-17375.0,9.597031317566763,0.0004954052999450639,1
-17125.0,,0.0,0
-16875.0,,0.0,0
-16625.0,9.374475932768604,0.0005416393728119674,1
-16375.0,,0.0,0
-16125.0,,0.0,0
-15875.0,,0.0,0
-15625.0,9.010174906344979,0.0006268150728410446,1
-15375.0,,0.0,0
-15125.0,,0.0,0
-14875.0,,0.0,0
-14625.0,,0.0,0
-14375.0,,0.0,0
-14125.0,,0.0,0
-13875.0,,0.0,0
-13625.0,,0.0,0
-13375.0,,0.0,0
-13125.0,,0.0,0
-12875.0,,0.0,0
-12625.0,,0.0,0
-12375.0,,0.0,0
-12125.0,,0.0,0
-11875.0,,0.0,0
-11625.0,,0.0,0
-11375.0,,0.0,0
-11125.0,,0.0,0
-10875.0,,0.0,0
-10625.0,,0.0,0
-10375.0,,0.0,0
-10125.0,,0.0,0
-9875.0,,0.0,0
-9625.0,,0.0,0
-9375.0,,0.0,0
-9125.0,,0.0,0
-8875.0,,0.0,0
-8625.0,,0.0,0
-8375.0,,0.0,0
-8125.0,,0.0,0
-7875.0,,0.0,0
-7625.0,,0.0,0
-7375.0,,0.0,0
-7125.0,,0.0,0
-6875.0,,0.0,0
-6625.0,,0.0,0
-6375.0,,0.0,0
-6125.0,,0.0,0
-5875.0,,0.0,0
-5625.0,,0.0,0
-5375.0,,0.0,0
-5125.0,,0.0,0
-4875.0,,0.0,0
-4625.0,,0.0,0
-4375.0,,0.0,0
