frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,1100,0.11,p025,0.1,-38817.753401667986,-8254.828425667278,-30562.924976000708,-30562.924976000708,-38817.76648941496,0.9999995717773815,4.282226184204596e-07,-0.07100984884191652,0,0.12016556880153006,0.1911754176434466
1,1200,0.12,p025,0.1,-38811.60333873742,-13131.184265416465,-25680.419073320954,-25680.419073320954,-38811.61891479777,0.9999993934662277,6.065337723737407e-07,-0.06890018890404499,0,0.12384430460791611,0.1927444935119611
2,1300,0.13,p025,0.1,-38755.786009546835,-16810.35199861985,-21945.434010926983,-21945.434010926983,-38755.804236557866,0.9999991694408621,8.305591379098587e-07,-0.07001121649262644,0,0.12341576424339025,0.1934269807360167
3,1400,0.14,p025,0.1,-38728.43800968764,-19386.324703042075,-19342.113306645566,-19342.113306645566,-38728.45868992904,0.9999989308201824,1.0691798175144207e-06,-0.07012921985346572,0,0.12206235278966186,0.19219157264312758
4,1500,0.15,p025,0.1,-38586.04068354238,-16369.332219123928,-22216.70846441845,-22216.70846441845,-38586.05868799504,0.9999991895998677,8.104001322783994e-07,-0.07045998742859379,0,0.1229297014176506,0.19338968884624438
5,1600,0.16,p025,0.1,-38694.00280246523,-15533.300704806403,-23160.702097658825,-23160.702097658825,-38694.02007308596,0.9999992543147052,7.456852947895776e-07,-0.07024292497172235,0,0.12276393710265132,0.19300686207437368
6,1700,0.17,p025,0.1,-38650.11990113175,-19534.26722723787,-19115.85267389388,-19115.85267389388,-38650.1408261498,0.9999989053602478,1.094639752230453e-06,-0.07109520737608918,0,0.1225279438837528,0.19362315125984197
7,1800,0.18,p025,0.1,-38564.86485364774,-11377.803560513421,-27187.06129313432,-27187.06129313432,-38564.87956652087,0.9999994588287037,5.411712963310222e-07,-0.06973953205343994,0,0.12365929564504002,0.19339882769847996
8,1900,0.19,p025,0.1,-38550.15679189618,-1305.1713466259243,-37244.98544527026,-37244.98544527026,-38550.167531593885,0.9999997116473163,2.883526837860195e-07,-0.0691537477097995,0,0.12097973133773422,0.19013347904753372
9,2000,0.2,p025,0.1,-38628.159425894584,-17147.405685846024,-21480.75374004856,-21480.75374004856,-38628.17804719894,0.9999991331183115,8.668816885437636e-07,-0.0708557527545956,0,0.12459988994068513,0.19545564269528073
10,2100,0.21,p025,0.1,-38596.37461920534,-22452.532054289884,-16143.842564915452,-16143.842564915452,-38596.39939641587,0.9999984652269507,1.5347730493164846e-06,-0.07102643835327249,0,0.11954590745128615,0.19057234580455865
11,2200,0.22,p025,0.1,-38569.495461918035,-9895.35158577899,-28674.143876139045,-28674.143876139045,-38569.50941176104,0.999999513504937,4.864950630123488e-07,-0.06875704287343168,0,0.12422455271341204,0.19298159558684372
12,2300,0.23,p025,0.1,-38606.03358977006,-9140.56227885274,-29465.471310917317,-29465.471310917317,-38606.047164975134,0.9999995392847301,4.607152698787864e-07,-0.06928137929024718,0,0.12402858441581675,0.19330996370606393
13,2400,0.24,p025,0.1,-38581.288335176825,-23021.134969559644,-15560.153365617181,-15560.153365617181,-38581.31404182185,0.9999983479237328,1.6520762672334044e-06,-0.07141569080086209,0,0.12291946162029961,0.1943351524211617
14,2500,0.25,p025,0.1,-38536.23271651217,-18512.43404889817,-20023.798667614,-20023.798667614,-38536.25269272186,0.9999990023786114,9.97621388609815e-07,-0.07095828763431275,0,0.12156746335075425,0.192525750985067
15,2600,0.26,p025,0.1,-38513.75576045105,-6712.827988999052,-31800.927771452,-31800.927771452,-38513.76833869546,0.9999996044695757,3.9553042430195973e-07,-0.0676595858843059,0,0.12524511630283414,0.19290470218714004
16,2700,0.27,p025,0.1,-38472.30027525875,-16330.321277549636,-22141.978997709113,-22141.978997709113,-38472.31834047657,0.9999991841204281,8.158795719026557e-07,-0.06834596582686932,0,0.1227672293680384,0.19111319519490771
17,2800,0.28,p025,0.1,-38491.403122443124,-20519.11134339805,-17972.291779045074,-17972.291779045074,-38491.4253788982,0.9999987616270518,1.2383729481313388e-06,-0.07188895184984595,0,0.1195119785987872,0.19140093044863316
18,2900,0.29,p025,0.1,-38394.74530652171,-12827.508899979584,-25567.236406542128,-25567.236406542128,-38394.76095153508,0.9999993880842667,6.11915733306212e-07,-0.07205044853003784,0,0.12346069572560311,0.19551114425564095
19,3000,0.3,p025,0.1,-38517.49727888967,-9946.922286522255,-28570.574992367416,-28570.574992367416,-38517.51127930108,0.9999995099714414,4.900285586750819e-07,-0.0688389797633545,0,0.12063901812608939,0.1894779978894439
