frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,220,0.011,u002,-20000.0,-28753.931430284196,-6731.138797256019,-22022.792633028177,-22022.792633028177,-28753.94959327001,0.9999991752655463,8.247344537304357e-07,-0.19089482099046678,0,0.26759165763963555,0.45848647863010233
1,240,0.012,u002,-20000.0,-29917.294890607038,-12725.791826404486,-17191.503064202552,-17191.503064202552,-29917.318157883732,0.9999986465864195,1.353413580484908e-06,-0.18412756963455354,0,0.2335683306046578,0.4176959002392113
2,260,0.013000000000000001,u002,-20000.0,-31269.074949188886,-9194.67201391919,-22074.402935269696,-22074.402935269696,-31269.09306970942,0.9999991791175129,8.208824871513976e-07,-0.24721407949358926,0,0.1930418860762757,0.44025596556986496
3,280,0.014,u002,-20000.0,-32451.573542413098,-15080.980471142888,-17370.59307127021,-17370.59307127021,-32451.596569805894,0.99999867434971,1.3256502900405032e-06,-0.2741584958026001,0,0.12288074205217098,0.3970392378547711
4,300,0.015,u002,-20000.0,-32367.539996016916,-14150.674475879612,-18216.865520137304,-18216.865520137304,-32367.561953664757,0.9999987946557061,1.2053442939308212e-06,-0.27317928312633033,0,0.12954338124060366,0.402722664366934
5,320,0.016,u002,-20000.0,-30717.36668156748,-10258.61914992702,-20458.74753164046,-20458.74753164046,-30717.386233087782,0.9999990443460478,9.55653952139368e-07,-0.22109699820458978,0,0.20709358765185854,0.4281905858564483
6,340,0.017,u002,-20000.0,-30573.063307502132,-12805.683698123146,-17767.379609378986,-17767.379609378986,-30573.085820641492,0.9999987328979962,1.2671020038212966e-06,-0.1696499064650336,0,0.23792469426360055,0.40757460072863416
7,360,0.018000000000000002,u002,-20000.0,-30877.069581557676,-8713.37566252987,-22163.693919027806,-22163.693919027806,-30877.087629076097,0.9999991857183601,8.142816398382102e-07,-0.18902189495205726,0,0.24248780133245515,0.4315096962845124
8,380,0.019,u002,-20000.0,-33037.04934148703,-11554.76601633415,-21482.28332515288,-21482.28332515288,-33037.06796146551,0.9999991332417544,8.667582455657019e-07,-0.21968411139126626,0,0.18775757592578685,0.4074416873170531
9,400,0.02,u002,-20000.0,-34339.83868389935,-14108.79896060517,-20231.039723294176,-20231.039723294176,-34339.85845547879,0.999999022712571,9.772874289826206e-07,-0.26933652573904904,0,0.10354228222555907,0.3728788079646081
