frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,1100,0.11,p027,0.124,-38440.555901799904,-15909.883203288191,-22530.672698511713,-22530.672698511713,-38440.57365536147,0.9999992120282504,7.879717495717919e-07,-0.06423621878091133,0,0.12319268083528255,0.18742889961619388
1,1200,0.12,p027,0.124,-38480.77187263052,-11007.286995741772,-27473.484876888746,-27473.484876888746,-38480.78643211541,0.99999947005378,5.299462200181182e-07,-0.06438514274521143,0,0.12890196456556716,0.19328710731077858
2,1300,0.13,p027,0.124,-38463.64003223865,-17301.60727138084,-21162.032760857808,-21162.032760857808,-38463.65893399763,0.9999991068095666,8.931904333375762e-07,-0.07310421435904836,0,0.12119674371928137,0.19430095807832973
3,1400,0.14,p027,0.124,-38426.77422732444,-18856.04081675739,-19570.733410567045,-19570.733410567045,-38426.79466598526,0.9999989556539499,1.044346050027567e-06,-0.06962444174087924,0,0.1202022076129143,0.18982664935379354
4,1500,0.15,p027,0.124,-38314.936204225785,-21466.371565412934,-16848.56463881285,-16848.56463881285,-38314.959945087096,0.9999985909307461,1.4090692539436844e-06,-0.06449842260363448,0,0.12916504485469274,0.19366346745832722
5,1600,0.16,p027,0.124,-38362.74170806212,-22624.072941889317,-15738.668766172806,-15738.668766172806,-38362.76712313121,0.9999983851882654,1.6148117344960689e-06,-0.06703544666675462,0,0.12502224432414805,0.19205769099090267
6,1700,0.17,p027,0.124,-38405.41789127531,-11236.152234907815,-27169.265656367497,-27169.265656367497,-38405.43261378523,0.9999994581195475,5.418804525092469e-07,-0.07014201023441655,0,0.1197891628491104,0.18993117308352694
7,1800,0.18,p027,0.124,-38364.652581739385,-4647.229783448012,-33717.42279829137,-33717.42279829137,-38364.66444503812,0.9999996481554816,3.5184451846470566e-07,-0.07154456580476218,0,0.1251306543559326,0.19667522016069477
8,1900,0.19,p027,0.124,-38295.43650395243,-15586.23054253019,-22709.205961422238,-22709.205961422238,-38295.4541179408,0.9999992243691356,7.75630864369159e-07,-0.06506205920034952,0,0.12695824514914522,0.19202030434949474
9,2000,0.2,p027,0.124,-38276.35135526929,-16123.704476615269,-22152.64687865402,-22152.64687865402,-38276.3694117876,0.9999991849060308,8.150939692641579e-07,-0.06467537566608055,0,0.12123388093445416,0.1859092566005347
10,2100,0.21,p027,0.124,-38445.76182027394,-8495.857011257118,-29949.90480901682,-29949.90480901682,-38445.77517590309,0.999999554068124,4.4593187598085393e-07,-0.07059830662661773,0,0.12004537517579261,0.19064368180241034
11,2200,0.22,p027,0.124,-38324.69462349717,-16447.750981462683,-21876.943642034486,-21876.943642034486,-38324.71290757159,0.9999991642322548,8.357677452885959e-07,-0.07004309770967257,0,0.12632097630211242,0.196364074011785
12,2300,0.23,p027,0.124,-38381.43544306836,-21492.351540518575,-16889.083902549784,-16889.083902549784,-38381.4591269722,0.9999985976837138,1.4023162861476202e-06,-0.06549264900131817,0,0.12314743250395456,0.18864008150527273
13,2400,0.24,p027,0.124,-38332.5026163423,-15376.450232073548,-22956.052384268754,-22956.052384268754,-38332.52004092775,0.9999992409601308,7.590398691803557e-07,-0.06321700192966166,0,0.12378069596451295,0.1869976978941746
14,2500,0.25,p027,0.124,-38269.915112594375,-6765.36564072789,-31504.549471866485,-31504.549471866485,-38269.92780916822,0.999999596992694,4.0300730602682577e-07,-0.06823865945857135,0,0.1260327788900256,0.19427143834859695
15,2600,0.26,p027,0.124,-38317.85102598049,-12791.97436264332,-25525.87666333717,-25525.87666333717,-38317.86669634354,0.9999993860996816,6.139003183025515e-07,-0.0717684212581802,0,0.12154554187530175,0.19331396313348195
16,2700,0.27,p027,0.124,-38240.19035001306,-17936.451674624608,-20303.73867538845,-20303.73867538845,-38240.21005079912,0.999999029698513,9.703014870465765e-07,-0.0639398977285646,0,0.1239825498988528,0.1879224476274174
17,2800,0.28,p027,0.124,-38182.29160614929,-21292.066549146868,-16890.22505700242,-16890.22505700242,-38182.31528845297,0.9999985978731962,1.4021268038288959e-06,-0.06235296150796904,0,0.12963788761379122,0.19199084912176026
18,2900,0.29,p027,0.124,-38168.799268125294,-20409.98504664132,-17758.814221483975,-17758.814221483975,-38168.821792123104,0.9999987316754151,1.2683245849132163e-06,-0.07272171344059421,0,0.12149943539361023,0.19422114883420444
19,3000,0.3,p027,0.124,-38220.710239509965,-11549.782632765331,-26670.927606744634,-26670.927606744634,-38220.725237105136,0.9999994376806639,5.62319336094852e-07,-0.06962192098151986,0,0.12284308968260237,0.19246501066412222
