frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,1100,0.11,p031,0.048,-38634.95597257771,18411.027892422484,-57045.98386500019,-57045.98386500019,-38634.96298446397,0.9999998770836426,1.2291635742567308e-07,-0.07593260803470189,0,0.12492892664691974,0.20086153468162163
1,1200,0.12,p031,0.048,-38511.69497292375,8491.493042696413,-47003.188015620166,-47003.188015620166,-38511.70348298327,0.9999998189472503,1.8105274973700958e-07,-0.06650602283044404,0,0.1254134508454381,0.19191947367588214
2,1300,0.13,p031,0.048,-38471.304665170406,-2465.6879696825927,-36005.61669548781,-36005.61669548781,-38471.31577454481,0.999999691454596,3.0854540400415686e-07,-0.07427666703919805,0,0.12506717419069313,0.19934384122989118
3,1400,0.14,p031,0.048,-38409.46177173368,1349.9716847635282,-39759.43345649721,-39759.43345649721,-38409.47183223666,0.9999997469657635,2.5303423650813173e-07,-0.07736938554216308,0,0.124240269058641,0.20160965460080407
4,1500,0.15,p031,0.048,-38384.61751423107,15352.209704005712,-53736.82721823678,-53736.82721823678,-38384.62495791476,0.9999998614789518,1.3852104818745659e-07,-0.07239676715196997,0,0.12327566036228191,0.19567242751425187
5,1600,0.16,p031,0.048,-38374.19476300411,7234.49249286452,-45608.68725586863,-45608.68725586863,-38374.203533261425,0.9999998077065035,1.9229349645932814e-07,-0.07185324618890156,0,0.1221499482243135,0.19400319441321506
6,1700,0.17,p031,0.048,-38381.03619961714,-50.9721378532995,-38330.06406176384,-38330.06406176384,-38381.04663528692,0.9999997277420649,2.7225793514107366e-07,-0.07844987286367126,0,0.11995123380742286,0.19840110667109412
7,1800,0.18,p031,0.048,-38355.27314401211,6746.865030041576,-45102.13817405369,-45102.13817405369,-38355.2820127695,0.9999998033628945,1.9663710554285174e-07,-0.08173468883483488,0,0.11854626132504466,0.20028095015987954
8,1900,0.19,p031,0.048,-38266.76310900811,18825.994268227514,-57092.757377235626,-57092.757377235626,-38266.77011514986,0.9999998772849596,1.227150403515509e-07,-0.07583012229876711,0,0.11732079873383426,0.19315092103260137
9,2000,0.2,p031,0.048,-38337.3928040342,4123.617222721485,-42461.010026755685,-42461.010026755685,-38337.4022244392,0.9999997781399732,2.2186002684998485e-07,-0.07859528222523036,0,0.11570670609488094,0.1943019883201113
10,2100,0.21,p031,0.048,-38337.85099806942,-2895.4525654845347,-35442.39843258489,-35442.39843258489,-38337.86228398376,0.9999996815704453,3.184295546687643e-07,-0.08541755564447406,0,0.11478371650991182,0.20020127215438588
11,2200,0.22,p031,0.048,-38348.74897246974,9474.901146038115,-47823.65011850785,-47823.65011850785,-38348.757336530805,0.9999998251062368,1.7489376319401728e-07,-0.08219226424636131,0,0.11399038834886926,0.19618265259523057
12,2300,0.23,p031,0.048,-38338.38294730548,10181.157673692476,-48519.540620997956,-48519.540620997956,-38338.391191405215,0.9999998300870777,1.6991292228762944e-07,-0.0805048007660265,0,0.11460701853891282,0.19511181930493932
13,2400,0.24,p031,0.048,-38297.41252818637,-1908.383870092075,-36389.02865809429,-36389.02865809429,-38297.42352050723,0.999999697922296,3.0207770401746714e-07,-0.08246676188463109,0,0.11408734182708516,0.19655410371171625
14,2500,0.25,p031,0.048,-38340.7873684068,1692.1582928869466,-40032.94566129375,-40032.94566129375,-38340.79736017468,0.9999997504114994,2.495885006448262e-07,-0.08169862986500605,0,0.11642136656085571,0.19811999642586176
15,2600,0.26,p031,0.048,-38260.197644385305,11544.629331998993,-49804.8269763843,-49804.8269763843,-38260.20567573407,0.9999998387436186,1.6125638135910947e-07,-0.07744380186085215,0,0.11878382594344092,0.19622762780429306
16,2700,0.27,p031,0.048,-38330.633194532886,8247.405817644525,-46578.03901217741,-46578.03901217741,-38330.64178226939,0.999999815626988,1.8437301191331912e-07,-0.07608791942475224,0,0.1214957317736062,0.19758365119835844
17,2800,0.28,p031,0.048,-38259.8477727946,-2920.039040410251,-35339.80873238435,-35339.80873238435,-38259.859091471364,0.9999996797189934,3.20281006549461e-07,-0.07582506411998287,0,0.12378153392117237,0.19960659804115524
18,2900,0.29,p031,0.048,-38289.28995552199,893.6868200619065,-39182.9767755839,-39182.9767755839,-38289.300164034175,0.9999997394657654,2.605342346306827e-07,-0.0682712300666192,0,0.12562966062630326,0.19390089069292246
19,3000,0.3,p031,0.048,-38240.05722796335,14790.409851873119,-53030.46707983647,-53030.46707983647,-38240.06477079609,0.999999857764206,1.4223579397620867e-07,-0.0734214180878077,0,0.1261654563307906,0.1995868744185983
