frame,step,time_ps,window_id,lambda,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
0,250,0.0125,w002,0.2,-31820.92769640775,-28505.446177028796,-3315.4815193789545,50038.35813695483,-112414.10708877852,0.2749021221914745,0.7250978778085255,-0.07846288780089276,0,-0.07846288780089276,0.19323518368996356,0.11737868895608557,0.19584157675697833
1,300,0.015,w002,0.2,-31736.879542505616,-29681.558980681883,-2055.3205618237334,51298.51909451005,-113246.63233912262,0.27041681826227,0.7295831817377301,-0.05031946339352386,0,-0.05031946339352386,0.1959634034843928,0.1310094515098232,0.18132891490334707
2,350,0.0175,w002,0.2,-31769.00839064672,-29811.501966666292,-1957.506423980427,51396.333232353354,-113350.14162611034,0.27007156052352954,0.7299284394764705,-0.056621250412300095,0,-0.056621250412300095,0.19861936423213,0.12545652708140476,0.18207777749370485
3,400,0.02,w002,0.2,-31701.14406722401,-29439.93380137544,-2261.210265848571,51092.62939048519,-113060.75812066554,0.27114491537857943,0.7288550846214206,-0.0681885839465674,0,-0.0681885839465674,0.19973610715327886,0.11747030989031823,0.18565889383688564
4,450,0.0225,w002,0.2,-31552.942285919307,-29973.67761566644,-1579.264670252869,51774.57498608091,-113410.41688322887,0.2687403881211439,0.7312596118788561,-0.046695040064325205,0,-0.046695040064325205,0.1988089875957001,0.12750452399898687,0.17419956406331208
5,500,0.025,w002,0.2,-31927.377405588715,-29096.387164107942,-2830.990241480773,50522.849414853,-112872.28053335584,0.2731694802115779,0.7268305197884222,-0.0754841627446934,0,-0.0754841627446934,0.19676878345832968,0.11439655385928245,0.18988071660397585
6,550,0.0275,w002,0.2,-31757.479718926243,-29967.027627142274,-1790.452091783969,51563.387564549805,-113460.59985123764,0.26948286672002886,0.7305171332799711,-0.039354388898299064,0,-0.039354388898299064,0.19522921171824864,0.1346280643606008,0.17398245325889986
7,600,0.03,w002,0.2,-31857.792769421332,-28861.841537282507,-2995.9512321388247,50357.888424194956,-112682.84576169749,0.27375826662414987,0.7262417333758502,-0.07260723961912764,0,-0.07260723961912764,0.19518533310464575,0.1178726149556369,0.19047985457476455
8,650,0.0325,w002,0.2,-31543.17329229294,-29265.740717595658,-2277.4325746972827,51076.4070816365,-112890.96409938493,0.27120236153178623,0.7287976384682138,-0.05385397948433754,0,-0.05385397948433754,0.1968765922661965,0.12501354716961657,0.1788675266539541
9,700,0.035,w002,0.2,-31515.629749123247,-29314.55753223277,-2201.072216890476,51152.76743944329,-112919.0821266027,0.2709320555901379,0.7290679444098621,-0.05446659918964267,0,-0.05446659918964267,0.19938205374032408,0.1252268620564175,0.17969346124606017
10,750,0.0375,w002,0.2,-31626.4852643682,-28886.71788235366,-2739.767382014539,50614.07227431923,-112637.70678096823,0.2728443925283569,0.7271556074716431,-0.07300259520309708,0,-0.07300259520309708,0.20180316501702233,0.11815196753568717,0.19115456273878426
11,800,0.04,w002,0.2,-31316.98982392995,-29833.597580981295,-1483.3922429486556,51870.44741338512,-113244.5881851748,0.26840396690887647,0.7315960330911235,-0.03896443627714796,0,-0.03896443627714796,0.2033088853908109,0.13447692249803417,0.17344135877518213
12,850,0.0425,w002,0.2,-31434.329985347762,-28805.809552812105,-2628.520432535657,50725.31922379811,-112526.46737452927,0.27244843641583627,0.7275515635841637,-0.07390471910278976,0,-0.07390471910278976,0.20319162589217893,0.11500451349679969,0.18890923259958944
13,900,0.045,w002,0.2,-31313.98313898092,-29511.565453380652,-1802.4176856002669,51551.42197073351,-113008.36245202442,0.2695249926703891,0.7304750073296109,-0.04797842106954228,0,-0.04797842106954228,0.2008301530767464,0.12822176801561497,0.17620018908515725
14,950,0.0475,w002,0.2,-31516.094154602288,-29009.852693558965,-2506.2414610433225,50847.59819529045,-112697.22237853357,0.2720138366019804,0.7279861633980196,-0.06109820844330281,0,-0.06109820844330281,0.19647920394743063,0.12471078252705499,0.1858089909703578
15,1000,0.05,w002,0.2,-31639.919913063677,-28480.83517150481,-3159.0847415588687,50194.7549147749,-112346.5461154049,0.27434169653600204,0.725658303463998,-0.07094322982093464,0,-0.07094322982093464,0.19202787248647415,0.12320214110164714,0.19414537092258177
16,1050,0.0525,w002,0.2,-31253.546150291568,-28938.28287979277,-2315.263270498799,51038.57638583497,-112573.76857026963,0.27133637145682454,0.7286636285431755,-0.03741348301177516,0,-0.03741348301177516,0.19038647508714618,0.14286509280914234,0.1802785758209175
17,1100,0.055,w002,0.2,-31419.22181986682,-28084.10171407157,-3335.1201057952494,50018.719550538524,-111998.16200662038,0.2749725696138179,0.7250274303861821,-0.07540387978258926,0,-0.07540387978258926,0.1931537256885674,0.1249130909374415,0.20031697072003077
18,1150,0.0575,w002,0.2,-31362.435450788842,-28602.993271694504,-2759.442179094338,50594.397477239436,-112359.3510177802,0.27291447623900533,0.7270855237609947,-0.0667735816564857,0,-0.0667735816564857,0.19905371764724095,0.12915866605078785,0.19593224770727355
19,1200,0.06,w002,0.2,-31194.672497603646,-29503.864405864537,-1690.808091739109,51663.03156459467,-112970.60174854536,0.2691323031139174,0.7308676968860826,-0.03900249375124806,0,-0.03900249375124806,0.20469274712655147,0.14236451821499613,0.1813670119662442
20,1250,0.0625,w002,0.2,-31377.618354982962,-28613.92800600842,-2763.690348974542,50590.14930735924,-112371.44517129892,0.27292961088410184,0.7270703891158982,-0.07697424335417286,0,-0.07697424335417286,0.20750283323087046,0.12153815410322072,0.19851239745739357
21,1300,0.065,w002,0.2,-31260.76293336102,-29130.09263042214,-2130.670302938881,51223.169353394886,-112715.55185543827,0.27068306678680226,0.7293169332131977,-0.058657203559411314,0,-0.058657203559411314,0.2063194381846521,0.12747961359361887,0.18613681715303018
22,1350,0.0675,w002,0.2,-31218.878469591276,-29344.159138597737,-1874.7193309935392,51479.120325340235,-112860.45244310077,0.26977966974707424,0.7302203302529258,-0.048157614785192315,0,-0.048157614785192315,0.20136694912679223,0.12863023951906968,0.176787854304262
23,1400,0.07,w002,0.2,-31447.602859985735,-28324.24463083242,-3123.358229153313,50230.48142718045,-112180.15658707151,0.27421382522115006,0.7257861747788499,-0.07465681418679307,0,-0.07465681418679307,0.19497488170921345,0.11485509256251428,0.18951190674930735
24,1450,0.0725,w002,0.2,-31133.082389511514,-28892.479457562204,-2240.60293194931,51113.236724384464,-112507.71695481063,0.2710719575808776,0.7289280424191225,-0.03892232133639534,0,-0.03892232133639534,0.19069122881933037,0.1358700669643268,0.17479238830072213
25,1500,0.075,w002,0.2,-31241.44789709309,-28036.754939766353,-3204.692957326737,50149.14669900703,-111914.981842989,0.27450501699549296,0.725494983004507,-0.06962047489309574,0,-0.06962047489309574,0.19132553429395613,0.12176253989376971,0.19138301478686545
26,1550,0.0775,w002,0.2,-31149.525324502607,-28590.04663973421,-2559.478684768397,50794.36097156537,-112291.90262011801,0.2722029704871096,0.7277970295128904,-0.06258989308084689,0,-0.06258989308084689,0.19643825747898136,0.1215237793555198,0.1841136724363667
27,1600,0.08,w002,0.2,-31033.749787319415,-29322.20487914791,-1711.544908171505,51642.294748162276,-112794.52392502475,0.26920522295232907,0.7307947770476709,-0.048932425032060134,0,-0.048932425032060134,0.20234560985012626,0.12565761948863582,0.17459004452069596
28,1650,0.0825,w002,0.2,-31246.661366996013,-28740.086893688476,-2506.574473307537,50847.26518302624,-112427.54716280365,0.27201501929837757,0.7279849807016224,-0.07434709895051352,0,-0.07434709895051352,0.20580468381925165,0.11581120861749623,0.19015830756800975
