frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,1100,0.11,p023,-0.016,-38533.62235285039,-6876.417211355234,-31657.205141495157,-31657.205141495157,-38533.63498819955,0.9999996008700384,3.991299616368238e-07,-0.0901537994901474,0,0.11384467493278697,0.20399847442293437
1,1200,0.12,p023,-0.016,-38549.76306527367,-9977.31432889271,-28572.44873638096,-28572.44873638096,-38549.777064766946,0.99999951003571,4.899642900291212e-07,-0.09775609617808266,0,0.11519806227719283,0.2129541584552755
2,1300,0.13,p023,-0.016,-38492.48635589963,-11780.637249396037,-26711.849106503592,-26711.849106503592,-38492.5013305191,0.9999994394022436,5.605977564937525e-07,-0.08922127500584713,0,0.115693632199816,0.20491490720566313
3,1400,0.14,p023,-0.016,-38497.04672240824,-6239.304339257855,-32257.742383150384,-32257.742383150384,-38497.0591225273,0.999999615592766,3.844072340997151e-07,-0.09375162874696809,0,0.11617048725699443,0.20992211600396252
4,1500,0.15,p023,-0.016,-38406.584900335234,-4348.342474677396,-34058.24242565784,-34058.24242565784,-38406.59664491844,0.999999655162032,3.448379679027447e-07,-0.09416231036254186,0,0.11733467050782112,0.21149698087036298
5,1600,0.16,p023,-0.016,-38400.698868147534,-5870.074052267562,-32530.62481587997,-32530.62481587997,-38400.71116424855,0.9999996220148925,3.779851075469409e-07,-0.0894484097761487,0,0.1162945504650464,0.2057429602411951
6,1700,0.17,p023,-0.016,-38420.877929991024,-6498.056990332319,-31922.820939658704,-31922.820939658704,-38420.89046020706,0.9999996074843691,3.9251563094255815e-07,-0.09660401462326072,0,0.11625797838917527,0.212861993012436
7,1800,0.18,p023,-0.016,-38498.983562761045,-4555.36912933187,-33943.614433429175,-33943.614433429175,-38498.995347005824,0.999999652829058,3.4717094199443466e-07,-0.09356377088174568,0,0.11620342448618452,0.2097671953679302
8,1900,0.19,p023,-0.016,-38487.42996771584,-4473.195820645109,-34014.23414707073,-34014.23414707073,-38487.44172749441,0.9999996542691396,3.457308603849185e-07,-0.09056771214031736,0,0.11627999588388896,0.20684770802420632
9,2000,0.2,p023,-0.016,-38426.50192626845,-9861.734547141474,-28564.767379126977,-28564.767379126977,-38426.51592952633,0.9999995097721621,4.902278378238201e-07,-0.09187702813081781,0,0.11678340020645882,0.20866042833727663
10,2100,0.21,p023,-0.016,-38406.39812164128,-9361.33747858074,-29045.06064306054,-29045.06064306054,-38406.411893339515,0.9999995258510442,4.741489557646972e-07,-0.08906166911636101,0,0.11663935651656859,0.2057010256329296
11,2200,0.22,p023,-0.016,-38407.723573506606,-6368.800967182819,-32038.922606323787,-32038.922606323787,-38407.73605831607,0.9999996103239835,3.896760164545654e-07,-0.09624572232258326,0,0.11552394485412325,0.2117696671767065
12,2300,0.23,p023,-0.016,-38453.76731648043,-5230.418847133726,-33223.3484693467,-33223.3484693467,-38453.77935620169,0.999999637612911,3.6238708894797966e-07,-0.09356632141093363,0,0.1142316538132149,0.20779797522414853
13,2400,0.24,p023,-0.016,-38465.530213170015,-5706.258624727227,-32759.27158844279,-32759.27158844279,-38465.542423449166,0.9999996272728465,3.7272715347480556e-07,-0.10035448672074133,0,0.11336051172831775,0.21371499844905908
14,2500,0.25,p023,-0.016,-38417.56497950535,-1712.5889454833523,-36704.976034021995,-36704.976034021995,-38417.575877207084,0.99999970310033,2.968996699603821e-07,-0.09172218114626085,0,0.11234693546642066,0.2040691166126815
15,2600,0.26,p023,-0.016,-38410.80919106232,-3852.757271834009,-34558.05191922831,-34558.05191922831,-38410.82076578496,0.9999996650646015,3.349353985271364e-07,-0.09694649444728504,0,0.11300232666190596,0.209948821109191
16,2700,0.27,p023,-0.016,-38411.36337325751,-9472.784753137501,-28938.57862012001,-28938.57862012001,-38411.37719562986,0.9999995223552847,4.776447152798902e-07,-0.09247249824469592,0,0.11411635449731508,0.206588852742011
17,2800,0.28,p023,-0.016,-38359.335549682175,-6723.377352573938,-31635.958197108237,-31635.958197108237,-38359.34819351732,0.9999996003337417,3.9966625831056035e-07,-0.0937365041759277,0,0.11452136537026976,0.20825786954619746
18,2900,0.29,p023,-0.016,-38302.57012726719,-1537.817218807846,-36764.75290845934,-36764.75290845934,-38302.581007250046,0.9999997040650198,2.95934980187873e-07,-0.09384396109246991,0,0.11574658931853886,0.20959055041100877
19,3000,0.3,p023,-0.016,-38254.749628082645,-4069.237068157032,-34185.51255992561,-34185.51255992561,-38254.76132894167,0.9999996577248624,3.422751375659061e-07,-0.08626064089831992,0,0.1168150132995624,0.20307565419788232
