frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
0,1100,0.11,p000,0.004,80560.97084001146,-39520.93372540834,120081.9045654198,120081.9045654198,-39520.937056468,2.773989543625177e-08,0.9999999722601045,0.06850755478712989,1,0.06850755478712989,0.35511019806608474,0.17247278843697203,0.10396523364984214
1,1200,0.12,p000,0.004,67187.69030559206,-39393.57814546826,106581.26845106031,106581.26845106031,-39393.58189847281,3.5212606719348116e-08,0.9999999647873933,0.06892225823873425,1,0.06892225823873425,0.3528912881618049,0.17398132278470999,0.10505906454597573
2,1300,0.13,p000,0.004,72992.72371769286,-39309.68515298492,112302.40887067778,112302.40887067778,-39309.68871479621,3.171624812781104e-08,0.9999999682837519,0.0707563510759348,1,0.0707563510759348,0.34997879065090864,0.17533321238677227,0.10457686131083747
3,1400,0.14,p000,0.004,89420.7179968071,-39389.13585544631,128809.8538522534,128809.8538522534,-39389.13896079872,2.4108033458425382e-08,0.9999999758919665,0.0648955249595341,1,0.0648955249595341,0.350396643849609,0.16820255698447845,0.10330703202494435
4,1500,0.15,p000,0.004,89865.24756364044,-39244.354839729145,129109.60240336959,129109.60240336959,-39244.35793787199,2.3996222120459265e-08,0.9999999760037779,0.06332765487248358,1,0.06332765487248358,0.3465991212623884,0.16660756532455256,0.10327991045206898
5,1600,0.16,p000,0.004,85787.4126157641,-39213.71021645653,125001.12283222063,125001.12283222063,-39213.7134164277,2.5599538100440355e-08,0.999999974400462,0.0635846216549533,1,0.0635846216549533,0.34472390200064756,0.1671608402636164,0.10357621860866312
6,1700,0.17,p000,0.004,80209.86176092483,-39205.72636196806,119415.58812289289,119415.58812289289,-39205.72971161441,2.8050325895367934e-08,0.9999999719496742,0.06774511189470243,1,0.06774511189470243,0.34601897990367303,0.17174230916186126,0.10399719726715882
7,1800,0.18,p000,0.004,77975.36881722868,-39210.915885261114,117186.2847024898,117186.2847024898,-39210.91929862975,2.912771274177217e-08,0.9999999708722873,0.06283891725701828,1,0.06283891725701828,0.3505915398007705,0.16700597941110426,0.10416706215408598
8,1900,0.19,p000,0.004,85199.58045875418,-39115.658398108586,124315.23885686276,124315.23885686276,-39115.66161573495,2.588279784943026e-08,0.9999999741172021,0.06256392094864684,1,0.06256392094864684,0.3534428223249344,0.1662110515084216,0.10364713055977477
9,2000,0.2,p000,0.004,100669.88643662343,-39182.29894708205,139852.18538370548,139852.18538370548,-39182.30180724466,2.0451324966863638e-08,0.999999979548675,0.06354159466855021,1,0.06354159466855021,0.35676467940421586,0.16613337861332433,0.10259178394477413
10,2100,0.21,p000,0.004,81465.19677279578,-39245.27381874903,120710.47059154481,120710.47059154481,-39245.27713246314,2.7451752204754598e-08,0.9999999725482478,0.06954898202990234,1,0.06954898202990234,0.35541200169736675,0.1734819106168191,0.10393292858691677
11,2200,0.22,p000,0.004,62705.07876240069,-39065.792358989565,101770.87112139026,101770.87112139026,-39065.79628938714,3.8620061149075013e-08,0.9999999613799389,0.06979864704804345,1,0.06979864704804345,0.3535955324261858,0.17529941468717075,0.1055007676391273
12,2300,0.23,p000,0.004,68824.7634468275,-39067.46840434495,107892.23185117246,107892.23185117246,-39067.47211174797,3.436209167206883e-08,0.9999999656379084,0.06754474279806211,1,0.06754474279806211,0.352011672194578,0.17249186967158348,0.10494712687352137
13,2400,0.24,p000,0.004,89586.2253939484,-39118.20767000085,128704.43306394925,128704.43306394925,-39118.21077789683,2.4147542965202717e-08,0.999999975852457,0.06910116799497636,1,0.06910116799497636,0.3566616146730487,0.1724403353946505,0.10333916739967415
14,2500,0.25,p000,0.004,65891.57981319758,-39098.72085289139,104990.30066608897,104990.30066608897,-39098.724662766996,3.628787903497965e-08,0.999999963712121,0.08288515471536252,1,0.08288515471536252,0.35752309288930306,0.18814597143523706,0.10526081671987454
15,2600,0.26,p000,0.004,59082.24702395688,-39060.19923784782,98142.4462618047,98142.4462618047,-39060.20331355612,4.152849375493872e-08,0.9999999584715062,0.07311181229511074,1,0.07311181229511074,0.3629342517062353,0.17899310279369493,0.10588129049858419
16,2700,0.27,p000,0.004,62196.34143063854,-38913.98613306202,101110.32756370056,101110.32756370056,-38913.990089136474,3.912631124647348e-08,0.9999999608736887,0.0684179675122491,1,0.0684179675122491,0.36913861037835144,0.17403291340525814,0.10561494589300904
17,2800,0.28,p000,0.004,82382.1044817438,-39051.16949225447,121433.27397399826,121433.27397399826,-39051.17278624446,2.7125924395576817e-08,0.9999999728740756,0.06708283156241324,1,0.06708283156241324,0.36932643219904937,0.17099678533794485,0.10391395377553161
18,2900,0.29,p000,0.004,79014.45502172314,-39017.87169453234,118032.32671625548,118032.32671625548,-39017.875083434345,2.87116411756827e-08,0.9999999712883588,0.07792626992890159,1,0.07792626992890159,0.36727231295227447,0.18211235781432236,0.10418608788542078
19,3000,0.3,p000,0.004,78143.25029484803,-38954.32787495674,117097.57816980476,117097.57816980476,-38954.33129091115,2.9171860427279483e-08,0.9999999708281395,0.07200016807435393,1,0.07200016807435393,0.35860353141593665,0.1762126914482076,0.10421252337385366
