frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
0,300,0.03,u002,0.0,-33549.0526073191,-7495.103836264567,-26053.948771054533,-26053.948771054533,-33549.06796006919,0.999999410733009,5.892669909246528e-07,-0.1322850927487504,0,-0.1322850927487504,0.14743229489769483,0.11271493041306994,0.24500002316182032
1,400,0.04,u002,0.0,-33434.74025018247,-11467.984991080211,-21966.755259102258,-21966.755259102258,-33434.75845950213,0.999999171052381,8.289476190470602e-07,-0.13616182265774956,0,-0.13616182265774956,0.15035272804125133,0.11365524559290945,0.249817068250659
2,500,0.05,u002,0.0,-33257.24784133856,-3930.939753698498,-29326.308087640064,-29326.308087640064,-33257.26148096251,0.9999995349018631,4.650981369480611e-07,-0.14416940133055667,0,-0.14416940133055667,0.1459964722009237,0.11413371172935925,0.25830311305991593
3,600,0.06,u002,0.0,-32379.148721187,7313.725287043988,-39692.87400823099,-39692.87400823099,-32379.15879856004,0.9999997461164459,2.5388355406885665e-07,-0.14692183477377,0,-0.14692183477377,0.14149483428821258,0.1139099455614909,0.2608317803352609
4,700,0.07,u002,0.0,-33026.98564921742,-12032.238139761652,-20994.74750945577,-20994.74750945577,-33027.004701584534,0.999999092519092,9.074809080300561e-07,-0.14864851361923467,0,-0.14864851361923467,0.15200780560996313,0.1127219925604511,0.26137050617968577
5,800,0.08,u002,0.0,-33378.770258616816,-12921.073114678813,-20457.697143938003,-20457.697143938003,-33378.78981114098,0.9999990442479108,9.55752089248918e-07,-0.1503949040096509,0,-0.1503949040096509,0.15250206240561814,0.11110531698526378,0.26150022099491466
6,900,0.09,u002,0.0,-33264.29386870274,6481.121469501875,-39745.41533820462,-39745.41533820462,-33264.30393275404,0.999999746787243,2.532127570398224e-07,-0.1558583426289255,0,-0.1558583426289255,0.1417508264260359,0.11020382788227258,0.26606217051119807
7,1000,0.1,u002,0.0,-33153.46005244514,-123.03134864900221,-33030.42870379613,-33030.42870379613,-33153.47216248637,0.9999996333673881,3.666326119367014e-07,-0.1610971236284086,0,-0.1610971236284086,0.14466883380832915,0.10780764078584726,0.26890476441425587
8,1100,0.11,u002,0.0,-33329.15912002176,-10810.180695788928,-22518.97842423283,-22518.97842423283,-33329.176882802865,0.9999992112096406,7.887903593628565e-07,-0.15829672080308654,0,-0.15829672080308654,0.15135142394644488,0.10602213876685161,0.26431885956993817
9,1200,0.12,u002,0.0,-33284.68133645882,-4316.937143147417,-28967.744193311406,-28967.744193311406,-33284.69514491442,0.9999995233166126,4.766833874292331e-07,-0.1513632899770634,0,-0.1513632899770634,0.14649267242075686,0.10448962387117244,0.25585291384823583
