frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,2100,0.21,u012,-36000.0,-38706.234803003696,-4307.443955529307,-34398.79084747439,-34398.79084747439,-38706.24643131548,0.9999996619560272,3.3804397275849496e-07,-0.15908308607242724,0,0.11249971397671762,0.27158280004914487
1,2200,0.22,u012,-36000.0,-38706.521997604024,-15222.377907189017,-23484.144090415008,-23484.144090415008,-38706.53903036061,0.9999992747135339,7.252864661078107e-07,-0.16114194213679023,0,0.11096547098977837,0.2721074131265686
2,2300,0.23,u012,-36000.0,-38785.8462425723,1189.927165095869,-39975.773407668166,-39975.773407668166,-38785.85624863011,0.9999997496970802,2.5030291983529906e-07,-0.1523276964519497,0,0.10760878214882653,0.25993647860077623
3,2400,0.24,u012,-36000.0,-38699.59538955544,-7725.1450673746,-30974.45032218084,-30974.45032218084,-38699.608303419256,0.9999995830804771,4.169195228498346e-07,-0.14484696402260352,0,0.10655128283664414,0.25139824685924766
4,2500,0.25,u012,-36000.0,-38715.227067231084,-743.2076817743655,-37972.01938545672,-37972.01938545672,-38715.23760130053,0.9999997225835294,2.7741647057322183e-07,-0.14605665815590485,0,0.10669800073544182,0.2527546588913467
5,2600,0.26,u012,-36000.0,-38665.18988823501,-13347.691934403498,-25317.49795383151,-25317.49795383151,-38665.2056875747,0.9999993759525525,6.240474475505131e-07,-0.14399724953101078,0,0.10798066861871515,0.2519779181497259
6,2700,0.27,u012,-36000.0,-38660.155818239204,1916.9574373802461,-40577.11325561945,-40577.11325561945,-38660.16567601051,0.9999997570609211,2.4293907885386545e-07,-0.14718180222510374,0,0.11087173620352099,0.2580535384286247
7,2800,0.28,u012,-36000.0,-38523.10262640685,-10481.436352217017,-28041.666274189833,-28041.666274189833,-38523.11689088716,0.9999994913117622,5.086882377547397e-07,-0.16464854769737147,0,0.1111307708910708,0.2757793185884423
8,2900,0.29,u012,-36000.0,-38457.643520883255,1952.0891227808897,-40409.732643664145,-40409.732643664145,-38457.65341948629,0.999999755044205,2.44955794925783e-07,-0.1512429240004488,0,0.11153559658738908,0.2627785205878379
9,3000,0.3,u012,-36000.0,-38498.15518027832,-10956.285214456293,-27541.86996582203,-27541.86996582203,-38498.16970361277,0.9999994726821688,5.273178312337201e-07,-0.1449377333402595,0,0.11070068116879687,0.2556384145090564
10,3100,0.31,u012,-36000.0,-38421.36024036992,2075.08136391695,-40496.44160428687,-40496.44160428687,-38421.37011777857,0.9999997560920555,2.439079444527259e-07,-0.1395999773437572,0,0.11025928327252965,0.24985926061628685
11,3200,0.32,u012,-36000.0,-38407.74339809385,-10188.134034284158,-28219.609363809694,-28219.609363809694,-38407.75757262738,0.9999994977067505,5.022932495490906e-07,-0.14887439205563174,0,0.10889637700784677,0.2577707690634785
12,3300,0.33,u012,-36000.0,-38449.19407868647,2474.634541569714,-40923.82862025619,-40923.82862025619,-38449.203852940685,0.9999997611599434,2.388400566766258e-07,-0.14762832097851264,0,0.10815236316334721,0.25578068414185984
13,3400,0.34,u012,-36000.0,-38428.61661505242,-13534.596616246417,-24894.019998806005,-24894.019998806005,-38428.63268315801,0.9999993545403737,6.454596263028023e-07,-0.15676300735591353,0,0.10915983080226437,0.2659228381581779
