frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,1100,0.11,p008,-0.136,-38554.296401928324,-5651.35059986118,-32902.945802067145,-32902.945802067145,-38554.30855889003,0.9999996305208416,3.694791584352153e-07,-0.1414176600498178,0,0.11540321561584857,0.25682087566566636
1,1200,0.12,p008,-0.136,-38451.14348552117,1344.692293992557,-39795.83577951373,-39795.83577951373,-38451.15353682154,0.9999997474284659,2.525715340762069e-07,-0.15517953778155302,0,0.11289306250728563,0.26807260028883867
2,1300,0.13,p008,-0.136,-38491.56033795231,-10746.221722931106,-27745.338615021203,-27745.338615021203,-38491.574754780944,0.9999994803879004,5.196120995143438e-07,-0.13341748249419333,0,0.1080583259713425,0.24147580846553582
3,1400,0.14,p008,-0.136,-38393.060680974624,-15453.083505393763,-22939.97717558086,-22939.97717558086,-38393.07811777035,0.9999992398959647,7.60104035213427e-07,-0.1412797708389905,0,0.10447496997035663,0.24575474080934712
4,1500,0.15,p008,-0.136,-38323.98039616135,-7480.9087182654475,-30843.071677895903,-30843.071677895903,-38323.9933650328,0.9999995795211098,4.2047889009522166e-07,-0.13918015428256605,0,0.10266219880171912,0.24184235308428517
5,1600,0.16,p008,-0.136,-38359.20720644601,-6328.449858275417,-32030.75734817059,-32030.75734817059,-38359.219694438085,0.9999996101252866,3.8987471340234947e-07,-0.15249256111940968,0,0.1039863341496436,0.25647889526905326
6,1700,0.17,p008,-0.136,-38391.52817991504,-10726.365545548673,-27665.162634366367,-27665.162634366367,-38391.542638524814,0.9999994773717815,5.22628218535548e-07,-0.14308683276227535,0,0.10562951122248683,0.24871634398476217
7,1800,0.18,p008,-0.136,-38383.46555544186,-10398.495722938445,-27984.96983250341,-27984.96983250341,-38383.479848821415,0.999999489248513,5.107514869928664e-07,-0.14776510371464158,0,0.10934951647373874,0.2571146201883803
8,1900,0.19,p008,-0.136,-38365.79917957916,-4896.254577711952,-33469.54460186721,-33469.54460186721,-38365.811130738395,0.9999996429246096,3.57075390367001e-07,-0.13055360592128518,0,0.11192253345697553,0.2424761393782607
9,2000,0.2,p008,-0.136,-38359.28773846032,-7957.135609619814,-30402.152128840506,-30402.152128840506,-38359.30089541793,0.9999995672363533,4.327636467515994e-07,-0.13954881203748942,0,0.11460678882442639,0.2541556008619158
10,2100,0.21,p008,-0.136,-38343.41015584057,-14435.480805798143,-23907.929350042425,-23907.929350042425,-38343.42688667971,0.9999993001980441,6.998019558834834e-07,-0.12714706781249252,0,0.11513342622655806,0.24228049403905058
11,2200,0.22,p008,-0.136,-38350.77304284042,-4843.2643042506825,-33507.508738589735,-33507.508738589735,-38350.78498045896,0.999999643733286,3.5626671401889354e-07,-0.1512950402912448,0,0.11628353723270596,0.26757857752395076
12,2300,0.23,p008,-0.136,-38353.50169523872,-7197.156452228024,-31156.3452430107,-31156.3452430107,-38353.514533709735,0.9999995879343251,4.1206567485962964e-07,-0.14177809832298818,0,0.11573319728598522,0.2575112956089734
13,2400,0.24,p008,-0.136,-38350.18831609693,-13139.678918569029,-25210.5093975279,-25210.5093975279,-38350.204182485904,0.9999993706446486,6.293553513336825e-07,-0.13824765749748158,0,0.11288113251991204,0.25112879001739363
14,2500,0.25,p008,-0.136,-38256.20248639735,-7386.443225692259,-30869.75926070509,-30869.75926070509,-38256.21544405694,0.9999995802478211,4.197521789039982e-07,-0.13056580475689597,0,0.1095119079364281,0.24007771269332406
15,2600,0.26,p008,-0.136,-38312.54623939461,-1488.4061025797273,-36824.14013681488,-36824.14013681488,-38312.55710183106,0.999999705018773,2.9498122694482376e-07,-0.15183163911321573,0,0.1072936320046326,0.25912527111784833
16,2700,0.27,p008,-0.136,-38248.298125361354,-6012.085934889357,-32236.212190471997,-32236.212190471997,-38248.310533762306,0.9999996150791127,3.849208872752641e-07,-0.1429259052196634,0,0.1052560135482975,0.2481819187679609
17,2800,0.28,p008,-0.136,-38290.263569184375,-17369.971945435595,-20920.29162374878,-20920.29162374878,-38290.28268935926,0.9999990860481165,9.139518834522242e-07,-0.15275489191848557,0,0.10510676596645935,0.2578616578849449
18,2900,0.29,p008,-0.136,-38225.45122865093,-9571.053233493585,-28654.397995157342,-28654.397995157342,-38225.46518810683,0.9999995128342148,4.871657851568401e-07,-0.14202101668247585,0,0.1062437454793729,0.24826476216184876
19,3000,0.3,p008,-0.136,-38153.43632939723,21080.59185070169,-59234.02818009892,-59234.02818009892,-38153.44308227165,0.9999998859967303,1.1400326971333641e-07,-0.14338249601568812,0,0.10646627809543319,0.2498487741111213
