frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,donor_h,h_acceptor
0,30000,3.0,u008,-41200.0,-34510.13275582867,8881.207687558432,-43391.340443387104,-43391.340443387104,-34510.14197425592,0.9999997875515428,2.124484571597307e-07,0.11150103340800752,0.28580492231349164
1,40000,4.0,u008,-41200.0,-33745.82479278912,10381.793125047261,-44127.61791783638,-44127.61791783638,-33745.83385740526,0.9999997945818775,2.0541812245644664e-07,0.10835252779267666,0.2512347652127882
2,50000,5.0,u008,-41200.0,-33486.300308489066,10081.271045245725,-43567.57135373479,-43567.57135373479,-33486.309489627776,0.9999997892667745,2.1073322548081919e-07,0.11022043929316042,0.29041095669199607
3,60000,6.0,u008,-41200.0,-33304.156040013244,10823.743759495119,-44127.89979950836,-44127.89979950836,-33304.16510457148,0.9999997945845018,2.0541549811126103e-07,0.1086053573406967,0.32746614887892556
4,70000,7.0,u008,-41200.0,-33397.419137517136,7129.547414201574,-40526.96655171871,-40526.96655171871,-33397.42900748611,0.9999997564593404,2.435406596945633e-07,0.11154482046022068,0.2647386493986021
5,80000,8.0,u008,-41200.0,-33508.39754278751,7186.260309460253,-40694.657852247765,-40694.657852247765,-33508.40737208513,0.9999997584623294,2.415376706421668e-07,0.11043712195392666,0.2612504746666121
6,90000,9.0,u008,-41200.0,-33524.13826804297,12933.749175831763,-46457.88744387473,-46457.88744387473,-33524.14687798948,0.9999998146720872,1.8532791284942007e-07,0.11466056313351221,0.31915391145807515
7,100000,10.0,u008,-41200.0,-33414.50094593069,2009.7355626660865,-35424.236508596776,-35424.236508596776,-33414.51223763129,0.9999996812438456,3.187561543049888e-07,0.1058543916929161,0.26443073066486417
8,110000,11.0,u008,-41200.0,-33735.25663535783,13621.324664784508,-47356.58130014234,-47356.58130014234,-33735.26508191199,0.9999998216393391,1.7836066096288405e-07,0.11054430695053939,0.27086817312929085
9,120000,12.0,u008,-41200.0,-33447.047345904895,10515.646016012091,-43962.69336191699,-43962.69336191699,-33447.05644452663,0.9999997930377493,2.0696225072613927e-07,0.10942453109175959,0.3318526553397282
10,130000,13.0,u008,-41200.0,-33347.38671008975,4964.066357311967,-38311.453067401715,-38311.453067401715,-33347.397150828976,0.9999997274774852,2.7252251483256273e-07,0.1098902065091405,0.32275826654927653
11,140000,14.0,u008,-41200.0,-33123.76811035685,5327.1815789089305,-38450.94968926578,-38450.94968926578,-33123.77851321803,0.9999997294512715,2.705487285314945e-07,0.10814873120642725,0.3236230879876053
12,150000,15.0,u008,-41200.0,-33229.58341339193,9092.859433623787,-42322.442847015715,-42322.442847015715,-33229.5928646401,0.9999997766848198,2.2331518023666064e-07,0.1030689717066558,0.32459693973836945
13,160000,16.0,u008,-41200.0,-33139.897499142215,8908.45527580165,-42048.352774943865,-42048.352774943865,-33139.90701199784,0.9999997737639955,2.262360044857914e-07,0.10803967946300548,0.30201405944847937
14,170000,17.0,u008,-41200.0,-33116.04988126483,9010.219619427022,-42126.26950069185,-42126.26950069185,-33116.059376525496,0.999999774600113,2.2539988703274005e-07,0.11005744827664782,0.3308245519712008
15,180000,18.0,u008,-41200.0,-32885.51721845221,3568.760366446484,-36454.27758489869,-36454.27758489869,-32885.528191098114,0.9999996990026953,3.0099730474741904e-07,0.11464150524039977,0.2523775620394094
16,190000,19.0,u008,-41200.0,-32918.4781281717,15290.913913695695,-48209.392041867395,-48209.392041867395,-32918.486425308714,0.999999827893823,1.7210617697660524e-07,0.114494716456864,0.2841806693949408
17,200000,20.0,u008,-41200.0,-33147.25366152011,9794.938817136135,-42942.192478656245,-42942.192478656245,-33147.26297636619,0.9999997830841534,2.169158466736043e-07,0.11115372096066385,0.31493329863900166
18,210000,21.0,u008,-41200.0,-33426.86150638282,6443.121250777564,-39869.98275716038,-39869.98275716038,-33426.8715389906,0.999999748367016,2.5163298406072343e-07,0.11234807876657683,0.24628545404880675
19,220000,22.0,u008,-41200.0,-33338.601265633275,9622.462969153567,-42961.06423478684,-42961.06423478684,-33338.61057638757,0.9999997832746832,2.1672531680394513e-07,0.1096033015534212,0.333065972830169
20,230000,23.0,u008,-41200.0,-33371.87043954982,15804.121768717305,-49175.992208267126,-49175.992208267126,-33371.87857359889,0.9999998345931416,1.6540685843224878e-07,0.11141049895934582,0.3178183705650182
21,240000,24.0,u008,-41200.0,-33314.600980101415,19164.24926817711,-52478.850248278526,-52478.850248278526,-33314.60860221852,0.9999998547583484,1.452416516500854e-07,0.11488558229285765,0.2637246587524759
22,250000,25.0,u008,-41200.0,-33260.26680371564,10133.76176747508,-43394.02857119072,-43394.02857119072,-33260.27602157183,0.9999997875778631,2.1242213688044131e-07,0.10648538825568539,0.27957485318937275
23,260000,26.0,u008,-41200.0,-33421.08897842435,19455.276939231,-52876.36591765535,-52876.36591765535,-33421.09654323966,0.9999998569339436,1.4306605644609505e-07,0.11465107681646522,0.3182944934844396
24,270000,27.0,u008,-41200.0,-33617.086268256186,14880.93423599191,-48498.020504248096,-48498.020504248096,-33617.09451601409,0.9999998299362527,1.7006374725125895e-07,0.11070919318241185,0.2560235165254436
