frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
0,1100,0.11,p001,0.016,-38907.51934804325,-13250.214669359993,-25657.304678683256,-25657.304678683256,-38907.5349381359,0.9999993923728976,6.076271024113566e-07,-0.08505771427681581,0,-0.08505771427681581,0.1461414887761939,0.11814569605417773,0.20320341033099354
1,1200,0.12,p001,0.016,-38809.15008088414,2490.6069884087483,-41299.757069292886,-41299.757069292886,-38809.15976616886,0.9999997654882046,2.345117954272169e-07,-0.08026553649718045,0,-0.08026553649718045,0.1397411743778928,0.11747920241768427,0.19774473891486471
2,1300,0.13,p001,0.016,-38866.18929155482,-16617.78965897899,-22248.399632575834,-22248.399632575834,-38866.20727036154,0.9999991919069255,8.080930744558401e-07,-0.08204453401849933,0,-0.08204453401849933,0.14810260077997073,0.11858669983664073,0.20063123385514006
3,1400,0.14,p001,0.016,-38779.858876795246,-20651.399106946978,-18128.45976984827,-18128.45976984827,-38779.880941522104,0.9999987828710533,1.2171289466844648e-06,-0.08073557066107326,0,-0.08073557066107326,0.15110387277528212,0.11459662984877131,0.19533220050984457
4,1500,0.15,p001,0.016,-38792.40534850702,-14094.066602135863,-24698.338746371155,-24698.338746371155,-38792.42154391764,0.9999993442721169,6.557278831031965e-07,-0.08586659178380593,0,-0.08586659178380593,0.1467265652871685,0.11595875320968999,0.20182534499349591
5,1600,0.16,p001,0.016,-38733.5679284253,-12411.920146870281,-26321.647781555017,-26321.647781555017,-38733.58312503352,0.9999994226580797,5.77341920215968e-07,-0.0898059074560775,0,-0.0898059074560775,0.1459128738868264,0.11568005724282082,0.20548596469889832
6,1700,0.17,p001,0.016,-38737.3119436859,-13240.389916571643,-25496.922027114255,-25496.922027114255,-38737.32763184439,0.9999993847045863,6.15295413730621e-07,-0.08586759069347569,0,-0.08586759069347569,0.14626371856554632,0.11436097353420105,0.20022856422767674
7,1800,0.18,p001,0.016,-38805.674674066046,-14862.731811312813,-23942.942862753232,-23942.942862753232,-38805.69138043849,0.9999993022432861,6.977567138521934e-07,-0.08622567823848264,0,-0.08622567823848264,0.14713309906629884,0.11882398550588134,0.20504966374436398
8,1900,0.19,p001,0.016,-38733.32126040736,-12310.0886324163,-26423.232627991063,-26423.232627991063,-38733.33639859187,0.9999994270887527,5.729112472763198e-07,-0.0800678493757268,0,-0.0800678493757268,0.1456295949458137,0.1144035667563879,0.1944714161321147
9,2000,0.2,p001,0.016,-38723.75082490838,-18746.836959220294,-19976.913865688082,-19976.913865688082,-38723.77084800112,0.999998997690397,1.0023096029820877e-06,-0.08287449521938824,0,-0.08287449521938824,0.14967357034251103,0.11688093938938023,0.19975543460876846
10,2100,0.21,p001,0.016,-38695.497411802906,-12339.826385809021,-26355.671025993885,-26355.671025993885,-38695.51258879344,0.9999994241477275,5.75852272532984e-07,-0.08126700727617493,0,-0.08126700727617493,0.14568763947809824,0.1165744762164634,0.19784148349263833
