frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,donor_h,h_acceptor
0,30000,3.0,u025,-31000.0,-34572.54322626171,4981.406235263508,-39553.94946152522,-39553.94946152522,-34572.55333902929,0.9999997443298951,2.5567010492055786e-07,0.10618563349588117,0.33010994087949713
1,40000,4.0,u025,-31000.0,-34117.44917916891,-4502.050678438944,-29615.398500729963,-29615.398500729963,-34117.46268564992,0.9999995439376346,4.560623654836782e-07,0.10690785777260506,0.25862671209646604
2,50000,5.0,u025,-31000.0,-33597.33239754595,-536.0695240202767,-33061.26287352567,-33061.26287352567,-33597.344496292906,0.9999996340509391,3.6594906094311597e-07,0.11102314741314652,0.3284962849517031
3,60000,6.0,u025,-31000.0,-33683.788665931934,6165.339860790089,-39849.12852672202,-39849.12852672202,-33683.798703790075,0.9999997481035733,2.5189642671730184e-07,0.10975142040416325,0.2516305582461999
4,70000,7.0,u025,-31000.0,-33598.25502391977,-1851.4149119708163,-31746.840111948957,-31746.840111948957,-33598.26762359394,0.9999996031206847,3.9687931530085763e-07,0.11203788634181641,0.2846834749469971
5,80000,8.0,u025,-31000.0,-33418.28464470603,-10243.072353253985,-23175.212291452044,-23175.212291452044,-33418.30190451349,0.9999992552481705,7.447518295955469e-07,0.10726182537743542,0.2642827714812501
6,90000,9.0,u025,-31000.0,-33882.50279073138,-4201.6226463170315,-29680.880144414346,-29680.880144414346,-33882.51626741456,0.999999545947732,4.540522680618331e-07,0.11229891575032995,0.2684312589780186
7,100000,10.0,u025,-31000.0,-33806.06027038433,3129.6183201796084,-36935.67859056394,-36935.67859056394,-33806.07110001839,0.9999997067976516,2.932023484558677e-07,0.10960667134642352,0.2573102363346147
8,110000,11.0,u025,-31000.0,-33759.59904197516,-4228.07196169495,-29531.52708028021,-29531.52708028021,-33759.612586815405,0.999999541343467,4.5865653292009867e-07,0.10964599659740494,0.2525277937016411
9,120000,12.0,u025,-31000.0,-33565.74900689008,1301.9694690174365,-34867.71847590752,-34867.71847590752,-33565.76047881557,0.999999670987422,3.2901257795980854e-07,0.10776669559430799,0.3076762464136295
10,130000,13.0,u025,-31000.0,-33444.32303043461,3599.478995075333,-37043.80202550994,-37043.80202550994,-33444.333828459145,0.99999970850675,2.9149325003752224e-07,0.10600788072583843,0.2569798616696507
11,140000,14.0,u025,-31000.0,-33283.42114092194,14616.879215259862,-47900.300356181804,-47900.300356181804,-33283.429491598814,0.99999982566552,1.7433448001868967e-07,0.10863890712779557,0.28402460647552535
12,150000,15.0,u025,-31000.0,-33119.19935555782,-790.0137717694452,-32329.185583788378,-32329.185583788378,-33119.21172827429,0.9999996172898644,3.8271013563795364e-07,0.10821866648818548,0.2605341747736789
13,160000,16.0,u025,-31000.0,-33089.416286666674,-1207.4025040988636,-31882.01378256781,-31882.01378256781,-33089.42883292066,0.999999606478932,3.935210680094947e-07,0.11379152599608999,0.25514534602848327
14,170000,17.0,u025,-31000.0,-33452.24443063073,-7483.948006867286,-25968.296423763444,-25968.296423763444,-33452.259834019394,0.999999406839396,5.93160603912235e-07,0.1036529634701935,0.28015757139673136
