frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,220,0.011,u000,-40000.0,-32226.777851222898,5297.913057179045,-37524.69090840194,-37524.69090840194,-32226.788510867966,0.9999997159299983,2.840700017436859e-07,-0.39772064427198855,0,0.12022286835096668,0.5179435126229552
1,240,0.012,u000,-40000.0,-32062.740404919517,9934.550733461685,-41997.2911383812,-41997.2911383812,-32062.749929341175,0.9999997732135317,2.2678646832696714e-07,-0.4081273696124713,0,0.132751196432673,0.5408785660451443
2,260,0.013000000000000001,u000,-40000.0,-31719.197985668317,6936.798163813219,-38655.996149481536,-38655.996149481536,-31719.2083333487,0.9999997323138485,2.67686151522728e-07,-0.4085721967647823,0,0.11330846426857678,0.5218806610333591
3,280,0.014,u000,-40000.0,-31455.80381081853,8031.918602529273,-39487.7224133478,-39487.7224133478,-31455.81394054678,0.9999997434715796,2.5652842039480817e-07,-0.4157020318078745,0,0.10924714910340033,0.5249491809112748
4,300,0.015,u000,-40000.0,-31267.426191404695,9771.353178517515,-41038.77936992221,-41038.77936992221,-31267.43593828097,0.9999997624960636,2.375039364066467e-07,-0.4130221864961775,0,0.090991094807117,0.5040132813032945
5,320,0.016,u000,-40000.0,-31447.74176512094,10874.882252954034,-42322.624018074974,-42322.624018074974,-31447.751216328656,0.9999997766867317,2.2331326832158993e-07,-0.42596784563428103,0,0.1121382140257505,0.5381060596600316
6,340,0.017,u000,-40000.0,-31567.291975339613,6675.086856585112,-38242.378831924725,-38242.378831924725,-31567.30243493713,0.9999997264921243,2.7350787568103385e-07,-0.40410014405281447,0,0.11065918257546149,0.514759326628276
7,360,0.018000000000000002,u000,-40000.0,-31855.807388936577,7839.316396411887,-39695.12378534846,-39695.12378534846,-31855.81746573847,0.9999997461452235,2.538547764774357e-07,-0.4093426167327113,0,0.11003788342008997,0.5193805001528012
8,380,0.019,u000,-40000.0,-32166.995343894785,10088.73687945379,-42255.732223348576,-42255.732223348576,-32167.004810063972,0.9999997759791525,2.240208475390304e-07,-0.4226638510854195,0,0.10363737043186186,0.5263012215172813
9,400,0.02,u000,-40000.0,-32479.460573545337,6338.209384257847,-38817.669957803184,-38817.669957803184,-32479.47087812813,0.9999997345390041,2.6546099579638494e-07,-0.3777283921486513,0,0.13426012245729355,0.5119885146059449
