frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,1100,0.11,p044,0.152,-38476.90853757944,20982.414766691654,-59459.32330427109,-59459.32330427109,-38476.91526486681,0.9999998868590243,1.1314097564385506e-07,-0.05857901387357539,0,0.1295886833725865,0.1881676972461619
1,1200,0.12,p044,0.152,-38420.76247882232,12615.942856859969,-51036.70533568229,-51036.70533568229,-38420.77031631763,0.9999998464341918,1.5356580818082222e-07,-0.05672670033440763,0,0.1325534365778467,0.18928013691225434
2,1300,0.13,p044,0.152,-38382.2035251302,4812.680834428553,-43194.88435955875,-43194.88435955875,-38382.212785484066,0.9999997856146619,2.1438533814865934e-07,-0.056268032496643666,0,0.13405959441903872,0.1903276269156824
3,1400,0.14,p044,0.152,-38336.38746420972,8093.2780696667905,-46429.66553387651,-46429.66553387651,-38336.39607938971,0.9999998144467186,1.8555328146208083e-07,-0.054210173437965664,0,0.1351345573417684,0.18934473077973407
4,1500,0.15,p044,0.152,-38256.659552057594,17797.64377320005,-56054.30332525764,-56054.30332525764,-38256.66668799409,0.999999872696042,1.2730395809734674e-07,-0.05464075480979863,0,0.13509651495971414,0.18973726976951277
5,1600,0.16,p044,0.152,-38200.334003400174,11699.754459481657,-49900.08846288183,-49900.08846288183,-38200.34201941674,0.9999998393587218,1.6064127816850515e-07,-0.0550268940849154,0,0.13480203513099284,0.18982892921590824
6,1700,0.17,p044,0.152,-38281.78992078474,8970.307134383213,-47252.09705516795,-47252.09705516795,-38281.79838601598,0.9999998208496821,1.791503179138232e-07,-0.054358086960103885,0,0.13406202408453327,0.18842011104463716
7,1800,0.18,p044,0.152,-38298.80021680621,21591.456484270544,-59890.25670107675,-59890.25670107675,-38298.806895688176,0.9999998884813517,1.1151864837133374e-07,-0.05519440309887555,0,0.13216519403175628,0.18735959713063183
8,1900,0.19,p044,0.152,-38254.790254093765,17187.22648522575,-55442.016739319515,-55442.016739319515,-38254.79746883759,0.9999998698686958,1.3013130423233932e-07,-0.05802240172773865,0,0.12977686501096972,0.18779926673870836
9,2000,0.2,p044,0.152,-38389.513032574265,4737.143431759963,-43126.65646433423,-43126.65646433423,-38389.52230757833,0.9999997849357953,2.150642047227258e-07,-0.06020708961589383,0,0.1268815293444802,0.18708861896037401
10,2100,0.21,p044,0.152,-38313.17593812244,7472.565358165506,-45785.741296287946,-45785.741296287946,-38313.18467446507,0.99999980919083,1.9080917007530118e-07,-0.06334272238582131,0,0.12344567054235339,0.1867883929281747
11,2200,0.22,p044,0.152,-38199.95896009373,25280.8290858907,-63480.78804598443,-63480.78804598443,-38199.96526121211,0.9999999007397777,9.926022226380837e-08,-0.06544084277353052,0,0.12035088207600603,0.18579172484953654
12,2300,0.23,p044,0.152,-38249.340022136574,10530.81675677633,-48780.156778912904,-48780.156778912904,-38249.34822219084,0.9999998318978033,1.6810219671814508e-07,-0.06736220869380095,0,0.11860315830577427,0.18596536699957522
13,2400,0.24,p044,0.152,-38300.61009013333,2317.9880430684425,-40618.59813320177,-40618.59813320177,-38300.61993783663,0.999999757556908,2.4244309210219583e-07,-0.06657074618969473,0,0.11856877720007082,0.18513952338976555
14,2500,0.25,p044,0.152,-38200.58666810111,14622.989791034983,-52823.57645913609,-52823.57645913609,-38200.594240476355,0.9999998566478534,1.4335214654215278e-07,-0.06352265262717693,0,0.12077171536307466,0.1842943679902516
15,2600,0.26,p044,0.152,-38226.03965334766,24704.272157531,-62930.31181087866,-62930.31181087866,-38226.04600958439,0.9999998989956467,1.0100435332560664e-07,-0.060246649022420704,0,0.12391714996848745,0.18416379899090815
16,2700,0.27,p044,0.152,-38214.94305865315,6842.659258886415,-45057.60231753957,-45057.60231753957,-38214.9519361766,0.9999998029739823,1.970260177230898e-07,-0.05726529269515143,0,0.12711739525337812,0.18438268794852955
17,2800,0.28,p044,0.152,-38154.1139461401,-1809.908390195953,-36344.20555594415,-36344.20555594415,-38154.12495201774,0.9999996971767358,3.0282326429764694e-07,-0.05612720378002917,0,0.12880905869090398,0.18493626247093314
18,2900,0.29,p044,0.152,-38208.32286512552,7348.248241036519,-45556.57110616204,-45556.57110616204,-38208.33164541589,0.9999998072662895,1.927337106022442e-07,-0.054850368562253726,0,0.13031644045840993,0.18516680902066365
19,3000,0.3,p044,0.152,-38166.778520515945,24544.680530497048,-62711.45905101299,-62711.45905101299,-38166.7848989349,0.9999998982894394,1.0171056069596673e-07,-0.05563122993135983,0,0.13086355456659865,0.18649478449795848
