frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
0,120,0.012,u002,50000.0,-29453.487986817338,-7664.350607741641,-21789.137379075695,-21789.137379075695,-29453.50634457313,0.9999991574827153,8.425172847159601e-07,-0.1168352266141483,0,-0.1168352266141483,0.14966325134436703,0.10657418136522614,0.22340940797937445
1,140,0.014,u002,50000.0,-29137.328270480015,-8354.096300499834,-20783.23196998018,-20783.23196998018,-29137.347516746915,0.9999990739538833,9.260461166227252e-07,-0.10722110185463996,0,-0.10722110185463996,0.1499475276769525,0.11190750244672043,0.21912860430136039
2,160,0.016,u002,50000.0,-29064.85911639865,-8183.003895606857,-20881.855220791793,-20881.855220791793,-29064.878271767215,0.9999990826804793,9.173195206768625e-07,-0.10819325252589398,0,-0.10819325252589398,0.14992461505639493,0.11184693506162441,0.2200401875875184
3,180,0.018000000000000002,u002,50000.0,-29230.997423068402,-7359.308325219415,-21871.689097848986,-21871.689097848986,-29231.015711535456,0.999999163830631,8.361693689673544e-07,-0.11930930582979736,0,-0.11930930582979736,0.14974047636627208,0.1065171840668133,0.22582648989661067
4,200,0.02,u002,50000.0,-29528.77598733809,-6455.734685267154,-23073.041302070935,-23073.041302070935,-29528.793323574533,0.9999992486378295,7.513621704258178e-07,-0.1289208943280271,0,-0.1289208943280271,0.14947766182445624,0.10266000019098115,0.23158089451900826
5,220,0.022,u002,50000.0,-29934.303279491105,-6694.579690646638,-23239.723588844467,-23239.723588844467,-29934.32049138703,0.9999992593771452,7.406228548778593e-07,-0.1284877433742875,0,-0.1284877433742875,0.14917278250013333,0.105259850459956,0.2337475938342435
6,240,0.024,u002,50000.0,-30313.836246786148,-7017.018626162686,-23296.817620623464,-23296.817620623464,-30313.853416500555,0.999999263002811,7.369971890547333e-07,-0.12306766162611982,0,-0.12306766162611982,0.14877305545180877,0.11103197685622093,0.23409963848234075
7,260,0.026000000000000002,u002,50000.0,-30599.85724748992,-6560.302768439234,-24039.554479050686,-24039.554479050686,-30599.873886721878,0.9999993078403788,6.921596212294823e-07,-0.12360233373682417,0,-0.12360233373682417,0.14827793183313573,0.112895656395786,0.23649799013261016
8,280,0.028,u002,50000.0,-30828.999452366887,-4973.405493520075,-25855.59395884681,-25855.59395884681,-30829.014922897608,0.999999401657056,5.983429439693211e-07,-0.13335220977960935,0,-0.13335220977960935,0.14749702997302977,0.10843258575465856,0.2417847955342679
9,300,0.03,u002,50000.0,-30958.118664931746,-2703.2771025815537,-28254.841562350193,-28254.841562350193,-30958.132821790445,0.9999994989586304,5.010413696160398e-07,-0.14369509504668487,0,-0.14369509504668487,0.14662531803444367,0.10299063241661531,0.2466857274633002
