frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,2100,0.21,u003,-40500.0,-38192.408932005754,-1576.1779380728549,-36616.2309939329,-36616.2309939329,-38192.419856119726,0.9999997016594238,2.983405762435609e-07,-0.14921152578137087,0,0.1092693484978291,0.25848087427919997
1,2200,0.22,u003,-40500.0,-38125.618655294995,-3608.9362648376264,-34516.68239045737,-34516.68239045737,-38125.630243890366,0.9999996642612562,3.357387438063242e-07,-0.14276035901549272,0,0.10887870706244518,0.2516390660779379
2,2300,0.23,u003,-40500.0,-38037.94497853078,-189.0744153650885,-37848.87056316569,-37848.87056316569,-38037.95554687489,0.9999997207753348,2.792246651117658e-07,-0.13693152095273864,0,0.10926782792791308,0.24619934888065173
3,2400,0.24,u003,-40500.0,-38135.996170752944,542.9753389020043,-38678.97150965495,-38678.97150965495,-38136.006512286796,0.9999997326317657,2.6736823433015644e-07,-0.14106296023197967,0,0.10989032803363695,0.25095328826561664
4,2500,0.25,u003,-40500.0,-38089.15335240279,729.8487622615357,-38819.00211466433,-38819.00211466433,-38089.16365663196,0.9999997345572236,2.65442776370417e-07,-0.14343905626047507,0,0.11083849981420926,0.25427755607468433
5,2600,0.26,u003,-40500.0,-38026.277510749234,-2897.2343832320184,-35129.043127517216,-35129.043127517216,-38026.288897335224,0.9999996758642538,3.2413574618805896e-07,-0.15139073613053047,0,0.11111276795367955,0.26250350408421
6,2700,0.27,u003,-40500.0,-37999.8943485028,668.4592282495869,-38668.353576752386,-38668.353576752386,-37999.90469287633,0.9999997324849126,2.6751508747091535e-07,-0.1451333426155333,0,0.11054356635329325,0.25567690896882656
7,2800,0.28,u003,-40500.0,-38010.2853622018,-1693.5797583759704,-36316.70560382583,-36316.70560382583,-38010.29637641336,0.9999996967179513,3.032820486970067e-07,-0.13743421594221228,0,0.10932657261734934,0.2467607885595616
8,2900,0.29,u003,-40500.0,-37985.79150624055,-345.89662583952304,-37639.89488040103,-37639.89488040103,-37985.80213325979,0.9999997176662349,2.8233376514474884e-07,-0.14858062547663478,0,0.10862752652256888,0.25720815199920366
9,3000,0.3,u003,-40500.0,-37950.46382634278,-2598.3688380027597,-35352.09498834002,-35352.09498834002,-37950.47514108585,0.9999996799415753,3.2005842470761436e-07,-0.14448909986751973,0,0.1092516350939745,0.25374073496149424
