frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,2100,0.21,u001,-41500.0,-37337.11119983363,6230.258695086202,-43567.36989491983,-43567.36989491983,-37337.120381014785,0.9999997892648256,2.1073517436631661e-07,-0.2051427539603916,0,0.11320625325783555,0.3183490072182272
1,2200,0.22,u001,-41500.0,-37406.12909568817,493.16336788001354,-37899.292463568185,-37899.292463568185,-37406.13964997197,0.9999997215178111,2.784821889201261e-07,-0.2127836757733192,0,0.11401872314182931,0.3268023989151485
2,2300,0.23,u001,-41500.0,-37335.80728320242,4905.5524912051915,-42241.35977440761,-42241.35977440761,-37335.81675259244,0.9999997758266822,2.2417331779767125e-07,-0.21963619516307153,0,0.11361594682535657,0.3332521419884281
3,2400,0.24,u001,-41500.0,-37404.214377189724,3752.093663933745,-41156.30804112347,-41156.30804112347,-37404.22409623219,0.9999997638505898,2.3614941030425385e-07,-0.22475815313178588,0,0.1100527974148716,0.3348109505466575
4,2500,0.25,u001,-41500.0,-37250.55370366998,3138.4189057640906,-40388.97260943407,-40388.97260943407,-37250.56360736092,0.9999997547923247,2.452076752201826e-07,-0.21912478799535112,0,0.10692549303496762,0.32605028103031874
5,2600,0.26,u001,-41500.0,-37208.360738941235,1546.6881858480338,-38755.04892478927,-38755.04892478927,-37208.37106017433,0.9999997336804395,2.6631956051570427e-07,-0.21456363010405713,0,0.10450723451555863,0.31907086461961576
6,2700,0.27,u001,-41500.0,-37169.69982094827,6584.777012410137,-43754.47683335841,-43754.47683335841,-37169.708962868026,0.9999997910633014,2.089366986091079e-07,-0.21918782354360777,0,0.10548038380672653,0.3246682073503343
7,2800,0.28,u001,-41500.0,-37223.00130683629,3966.7527268171834,-41189.75403365347,-41189.75403365347,-37223.011017986915,0.9999997642339393,2.357660606189249e-07,-0.2217819372550437,0,0.10886860382152307,0.3306505410765668
8,2900,0.29,u001,-41500.0,-37104.24552739345,-318.27694327090285,-36785.968584122544,-36785.968584122544,-37104.25640110147,0.999999704406272,2.955937280502141e-07,-0.21988904500337528,0,0.11215453923497307,0.33204358423834834
9,3000,0.3,u001,-41500.0,-37202.46364045402,6300.333286934678,-43502.7969273887,-43502.7969273887,-37202.47283526318,0.9999997886387562,2.1136124378484666e-07,-0.21544687097070395,0,0.11419848386444623,0.3296453548351502
10,3100,0.31,u001,-41500.0,-37124.129180025106,1453.8341298593732,-38577.96330988448,-38577.96330988448,-37124.13954863605,0.9999997312298401,2.687701599612957e-07,-0.21757113763279912,0,0.11374978413770502,0.33132092177050415
11,3200,0.32,u001,-41500.0,-37093.97687294919,1774.2137617642584,-38868.19063471345,-38868.19063471345,-37093.98716413815,0.9999997352286449,2.6477135500746485e-07,-0.21557579258738108,0,0.11126283910580957,0.32683863169319066
12,3300,0.33,u001,-41500.0,-37042.715112666396,6392.895195481979,-43435.610308148374,-43435.610308148374,-37042.72432169816,0.9999997879843797,2.1201562028227983e-07,-0.2127982585061747,0,0.10831746921424737,0.3211157277204221
13,3400,0.34,u001,-41500.0,-37013.51919140306,1283.6491769802233,-38297.16836838328,-38297.16836838328,-37013.52963603665,0.9999997272741475,2.727258524570786e-07,-0.21182567518594242,0,0.10656434662865137,0.3183900218145938
