frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,donor_h,h_acceptor
0,30000,3.0,u016,-36400.0,-34223.48131649665,5524.512005081313,-39747.99332157796,-39747.99332157796,-34223.491379895204,0.9999997468200876,2.5317991231288417e-07,0.10810744402665903,0.3171245309133243
1,40000,4.0,u016,-36400.0,-33817.45269441817,-542.7077514304256,-33274.744942987745,-33274.744942987745,-33817.46471554278,0.999999638731538,3.612684619791473e-07,0.11437114470336467,0.3328310487737273
2,50000,5.0,u016,-36400.0,-33358.2498144469,7542.072101568483,-40900.32191601538,-40900.32191601538,-33358.25959431869,0.9999997608853268,2.391146732283467e-07,0.11310701001740088,0.25762117823614
3,60000,6.0,u016,-36400.0,-33275.883941191976,1815.6154262932541,-35091.49936748523,-35091.49936748523,-33275.89533996026,0.9999996751703095,3.248296905344894e-07,0.10792434150021676,0.2930430701471438
4,70000,7.0,u016,-36400.0,-33375.5307187977,8468.783726647292,-41844.314445444994,-41844.314445444994,-33375.54027803923,0.9999997715523055,2.2844769459462455e-07,0.11126490517323927,0.2708713997451686
5,80000,8.0,u016,-36400.0,-33490.40114415996,10856.247199015837,-44346.648343175795,-44346.648343175795,-33490.4101640055,0.9999997966060071,2.0339399287028215e-07,0.10825039753501706,0.3208452329137238
6,90000,9.0,u016,-36400.0,-33251.02223960243,6865.539840736572,-40116.562080339005,-40116.562080339005,-33251.0322105441,0.9999997514508672,2.4854913277527757e-07,0.10586971932837409,0.29583180884057786
7,100000,10.0,u016,-36400.0,-33190.00120984597,10407.083893392992,-43597.08510323896,-43597.08510323896,-33190.01038476936,0.9999997895519963,2.1044800374570016e-07,0.11161983802827083,0.3115934423195902
8,110000,11.0,u016,-36400.0,-33064.709118205676,12852.313861025963,-45917.02297923164,-45917.02297923164,-33064.71782957018,0.9999998102803571,1.8971964282910037e-07,0.11203258550217361,0.2646768169979033
9,120000,12.0,u016,-36400.0,-33089.511836377234,3552.5807566113363,-36642.09259298857,-36642.09259298857,-33089.52275278109,0.9999997020804059,2.9791959405001123e-07,0.10647885238759423,0.28834593664426955
10,130000,13.0,u016,-36400.0,-33228.52649781029,136.7113234999415,-33365.237821310235,-33365.237821310235,-33228.53848633135,0.9999996406885361,3.5931146386003476e-07,0.11083107746448283,0.32453915617406454
11,140000,14.0,u016,-36400.0,-33195.109470136726,-2915.89740303703,-30279.212067099696,-30279.212067099696,-33195.122680514345,0.9999995637149981,4.362850019035136e-07,0.11320033816252693,0.2762345283733495
12,150000,15.0,u016,-36400.0,-33070.6042336582,10395.61520107757,-43466.21943473577,-43466.21943473577,-33070.61343620493,0.9999997882828793,2.117171207238755e-07,0.11216242877511827,0.30561554061148793
13,160000,16.0,u016,-36400.0,-33086.550586755184,3337.249767344125,-36423.80035409931,-36423.80035409931,-33086.56156858233,0.9999996984987725,3.0150122753980213e-07,0.10168202355492631,0.2652876896041745
14,170000,17.0,u016,-36400.0,-33201.68774489628,4292.390082089143,-37494.07782698542,-37494.07782698542,-33201.6984132447,0.9999997154659356,2.845340644208605e-07,0.11252655923445695,0.2557359722277228
15,180000,18.0,u016,-36400.0,-33253.71487168709,2495.7585383027617,-35749.47340998985,-35749.47340998985,-33253.72606065958,0.999999687017334,3.129826659509227e-07,0.11080609350515894,0.2735719826670162
16,190000,19.0,u016,-36400.0,-33654.203392422234,4884.399040702672,-38538.60243312491,-38538.60243312491,-33654.213771623006,0.9999997306805506,2.6931944935304486e-07,0.10767989719187657,0.3190937421699395
17,200000,20.0,u016,-36400.0,-33607.504492194654,-650.6112877007981,-32956.893204493856,-32956.893204493856,-33607.51662925655,0.999999631729457,3.682705429497446e-07,0.10975717019051599,0.3340035502453899
