frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,2100,0.21,u009,-37500.0,-38785.47926820547,-3164.803412240435,-35620.67585596503,-35620.67585596503,-38785.490497635124,0.9999996847498732,3.152501267811303e-07,-0.1578624082363801,0,0.10773290470180347,0.26559531293818356
1,2200,0.22,u009,-37500.0,-38661.00552166454,-12280.535530457099,-26380.469991207443,-26380.469991207443,-38661.02068438796,0.9999994252298767,5.747701232183822e-07,-0.15349945387176872,0,0.11172303242922772,0.26522248630099643
2,2300,0.23,u009,-37500.0,-38736.205654052144,999.5790570246172,-39735.78471107676,-39735.78471107676,-38736.215720542634,0.9999997466644874,2.5333551251227604e-07,-0.1531876007734198,0,0.11428322979489697,0.2674708305683168
3,2400,0.24,u009,-37500.0,-38688.27167786745,-5947.523307422787,-32740.748370444664,-32740.748370444664,-38688.283895054614,0.9999996268509836,3.731490162972584e-07,-0.15298588725759965,0,0.11529257863677773,0.26827846589437737
4,2500,0.25,u009,-37500.0,-38648.61331136827,-177.86665662680753,-38470.746654741466,-38470.746654741466,-38648.62370887616,0.9999997297296472,2.702703527646122e-07,-0.15364364476851566,0,0.1129408870404824,0.26658453180899805
5,2600,0.26,u009,-37500.0,-38610.83816992713,-11333.501548208966,-27277.33662171816,-27277.33662171816,-38610.85283410752,0.9999994624048223,5.375951777630839e-07,-0.14057041723132652,0,0.11012863528521673,0.25069905251654323
6,2700,0.27,u009,-37500.0,-38521.585342457955,4663.190150565439,-43184.77549302339,-43184.77549302339,-38521.59460497952,0.9999997855142817,2.1448571824178586e-07,-0.1472110800238977,0,0.10620825791076148,0.2534193379346592
7,2800,0.28,u009,-37500.0,-38557.7484421109,-9192.636788148695,-29365.1116539622,-29365.1116539622,-38557.76206371122,0.9999995361302266,4.638697733705399e-07,-0.14786554098433807,0,0.10520086023092005,0.25306640121525814
8,2900,0.29,u009,-37500.0,-38494.23707742785,2527.3071330607054,-41021.54421048856,-41021.54421048856,-38494.246828399264,0.9999997622964477,2.3770355228602824e-07,-0.1528903833619017,0,0.10462118349276328,0.257511566854665
9,3000,0.3,u009,-37500.0,-38514.053275167505,-9022.104908640846,-29491.94836652666,-29491.94836652666,-38514.06683818515,0.9999995401115925,4.5988840746691295e-07,-0.1491222870150079,0,0.1051402579462981,0.254262544961306
10,3100,0.31,u009,-37500.0,-38467.292928810115,1848.5232418036321,-40315.81617061375,-40315.81617061375,-38467.30285047212,0.9999997539016181,2.4609838189526556e-07,-0.1390557377618234,0,0.10804739017228686,0.24710312793411027
11,3200,0.32,u009,-37500.0,-38396.04356841644,-9895.49730644637,-28500.54626197007,-28500.54626197007,-38396.05760322824,0.9999995075603868,4.924396131977815e-07,-0.1372210321291737,0,0.1098463582464308,0.2470673903756045
12,3300,0.33,u009,-37500.0,-38409.78636139602,4038.8226040695445,-42448.608965465566,-42448.608965465566,-38409.79578455313,0.9999997780103247,2.2198967530862035e-07,-0.14936725599482406,0,0.11097747717933201,0.2603447331741561
13,3400,0.34,u009,-37500.0,-38421.30646420902,-8397.207945367816,-30024.0985188412,-30024.0985188412,-38421.31978683458,0.9999995562693169,4.437306830307186e-07,-0.15165183052234604,0,0.11169892178926905,0.2633507523116151
14,3500,0.35000000000000003,u009,-37500.0,-38366.03592569806,-4886.592292856367,-33479.44363284169,-33479.44363284169,-38366.04787332364,0.9999996431357348,3.568642653051235e-07,-0.1515106696155309,0,0.11230772801730952,0.26381839763284043
15,3600,0.36,u009,-37500.0,-38289.0217307017,1687.8624304757977,-39976.8841611775,-39976.8841611775,-38289.0317364815,0.9999997497109893,2.5028901073920196e-07,-0.1340107801146423,0,0.11281638109775154,0.24682716121239384
16,3700,0.37,u009,-37500.0,-38373.116085378715,-8484.50917786904,-29888.606907509675,-29888.606907509675,-38373.12946839861,0.9999995522371466,4.477628533505751e-07,-0.14405628662030617,0,0.11127872847832172,0.2553350150986279
17,3800,0.38,u009,-37500.0,-38337.65083560746,2386.6970872340316,-40724.347922841494,-40724.347922841494,-38337.660657739034,0.9999997588143865,2.4118561348096534e-07,-0.1358881184698671,0,0.10962867354656071,0.24551679201642782
