frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
0,300,0.03,u002,0.0,-33885.69818636425,-7516.278767948382,-26369.41941841587,-151369.41941841587,-33885.70082890589,0.9999999825424346,1.7457565393286245e-08,-0.12876088463172175,0,-0.12876088463172175,0.1470715646400207,0.11248971921598076,0.24125060384770253
1,400,0.04,u002,0.0,-33739.78758706608,-9385.133141748078,-24354.654445318003,-149354.65444531798,-33739.79026525508,0.9999999820682595,1.7931740536880625e-08,-0.12542406655509655,0,-0.12542406655509655,0.14815391751937773,0.11346695863503073,0.23889102519012728
2,500,0.05,u002,0.0,-33577.9635970693,-15041.264031207798,-18536.699565861498,-143536.6995658615,-33577.96638381299,0.9999999805851493,1.9414850727095256e-08,-0.13609108198159492,0,-0.13609108198159492,0.15351396049372434,0.11355439428021939,0.24964547626181433
3,600,0.06,u002,0.0,-32610.978726442183,624.8714636306631,-33235.850190072844,-158235.85019007284,-32610.98125431429,0.9999999840246567,1.5975343325980162e-08,-0.1384023251983859,0,-0.1384023251983859,0.14383373481577252,0.11361136679090272,0.25201369198928864
4,700,0.07,u002,0.0,-33368.89308532466,-5395.584675299651,-27973.308410025005,-152973.30841002503,-33368.89570015988,0.9999999829065923,1.7093407689294793e-08,-0.1409739994658935,0,-0.1409739994658935,0.1465914039736212,0.11341459382510792,0.25438859329100144
5,800,0.08,u002,0.0,-33650.69795304522,-14112.330705378583,-19538.36724766664,-144538.36724766664,-33650.70072047647,0.9999999808533112,1.9146688789994926e-08,-0.1347227953334856,0,-0.1347227953334856,0.15232267230584778,0.11302796646161264,0.24775076179509825
6,900,0.09,u002,0.0,-33547.10541629483,-10765.471731106281,-22781.633685188546,-147781.63368518854,-33547.10812299108,0.9999999816844889,1.8315511107758198e-08,-0.1379792721689705,0,-0.1379792721689705,0.14995766494542356,0.11374797805771268,0.2517272502266832
7,1000,0.1,u002,0.0,-33653.539643465345,-5035.555309849092,-28617.984333616252,-153617.98433361624,-33653.54224732709,0.9999999830497603,1.6950239711821524e-08,-0.14241758818582884,0,-0.14241758818582884,0.14622235207953246,0.11207396679538462,0.25449155498121345
8,1100,0.11,u002,0.0,-33772.40137476046,-3839.194686449583,-29933.20668831088,-154933.2066883109,-33772.40395651812,0.9999999833363188,1.66636812126697e-08,-0.1406713208314259,0,-0.1406713208314259,0.14552362089281262,0.11092488718422647,0.25159620801565236
9,1200,0.12,u002,0.0,-33610.38436322205,-9080.350849728622,-24530.03351349343,-149530.03351349343,-33610.387038269895,0.999999982110298,1.7889702053075496e-08,-0.12743230289820467,0,-0.12743230289820467,0.14810468928042578,0.11029621927971768,0.23772852217792234
