frame,step,time_ps,window_id,lambda,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,donor_h,h_acceptor
0,0,0.0,w003,0.75,-37209.274228130205,-38070.64812505574,861.3738969255355,861.3738969255355,-38070.64812505574,0.0,1.0,0.11308071478039447,0.26299510631795636
1,0,0.0,w003,0.75,-36753.46434743069,-38047.00551820775,1293.5411707770618,1293.5411707770618,-38047.00551820775,0.0,1.0,0.10576865508075352,0.2577033304568001
2,0,0.0,w003,0.75,-36408.32277777489,-38037.24578717017,1628.9230093952792,1628.9230093952792,-38037.24578717017,0.0,1.0,0.11294695272349058,0.2624709078224133
3,0,0.0,w003,0.75,-36469.69200033234,-37862.195245319075,1392.5032449867358,1392.5032449867358,-37862.195245319075,0.0,1.0,0.10686307964503965,0.2635380333471131
4,0,0.0,w003,0.75,-36658.17314172954,-37744.85972133535,1086.6865796058119,1086.6865796058119,-37744.85972133535,0.0,1.0,0.11124797022601762,0.2653496779748447
5,0,0.0,w003,0.75,-36770.58252493949,-37789.92161226468,1019.3390873251919,1019.3390873251919,-37789.92161226468,0.0,1.0,0.10932398008930576,0.26395169864761814
6,0,0.0,w003,0.75,-36608.07200377551,-37903.51429684395,1295.4422930684377,1295.4422930684377,-37903.51429684395,0.0,1.0,0.10872970078455077,0.2668953747704232
7,0,0.0,w003,0.75,-36517.23521868145,-37861.002854336206,1343.7676356547527,1343.7676356547527,-37861.0028543362,0.0,1.0,0.11139794902315735,0.2724544569309016
8,0,0.0,w003,0.75,-36619.38125867649,-37733.09441253482,1113.7131538583271,1113.7131538583271,-37733.09441253482,0.0,1.0,0.10646502458229833,0.27254123831562116
9,0,0.0,w003,0.75,-36586.01665406236,-37615.207148096735,1029.1904940343738,1029.1904940343738,-37615.20714809674,0.0,1.0,0.1135522776691564,0.2742544981446504
10,0,0.0,w003,0.75,-36372.867130501974,-37573.207040109446,1200.3399096074718,1200.3399096074718,-37573.207040109446,0.0,1.0,0.10498329548230115,0.26892145847005555
11,0,0.0,w003,0.75,-36131.786144799036,-37575.393344271986,1443.60719947295,1443.60719947295,-37575.393344271986,0.0,1.0,0.11467117203948284,0.2749403681385796
12,0,0.0,w003,0.75,-36229.219187398325,-37484.92338823837,1255.7042008400458,1255.7042008400458,-37484.92338823837,0.0,1.0,0.1050036309667119,0.27015506256484345
13,0,0.0,w003,0.75,-36312.948051831096,-37334.94219719718,1021.9941453660867,1021.9941453660867,-37334.94219719718,0.0,1.0,0.11311870686488834,0.2699117584320034
14,0,0.0,w003,0.75,-36316.71960919593,-37306.42345521616,989.7038460202311,989.7038460202311,-37306.42345521616,0.0,1.0,0.10745102590042181,0.26464657087012305
15,0,0.0,w003,0.75,-36063.27199355994,-37370.82469653797,1307.552702978035,1307.552702978035,-37370.82469653797,0.0,1.0,0.10998296919631424,0.27003265675956695
16,0,0.0,w003,0.75,-36010.12024978526,-37360.482422049055,1350.3621722637981,1350.3621722637981,-37360.482422049055,0.0,1.0,0.11032445341944826,0.28194742006899065
17,0,0.0,w003,0.75,-36091.46857038273,-37269.68611608772,1178.2175457049962,1178.2175457049962,-37269.68611608773,0.0,1.0,0.10755205823304088,0.28982011331175594
18,0,0.0,w003,0.75,-36114.1003178279,-37204.57169315931,1090.4713753314136,1090.4713753314136,-37204.57169315931,0.0,1.0,0.11268524952558903,0.29344998867550837
19,0,0.0,w003,0.75,-35946.218154692564,-37248.92822636345,1302.7100716708883,1302.7100716708883,-37248.92822636345,0.0,1.0,0.10612951086595801,0.2852626197725723
