frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,donor_h,h_acceptor
0,30000,3.0,u049,-16600.0,-34217.86763363285,-11694.059566694166,-22523.808066938684,-22523.808066938684,-34217.885392605196,0.9999992115478745,7.884521254775123e-07,0.10969666298573269,0.30872953844536305
1,40000,4.0,u049,-16600.0,-33677.368177857046,-5425.499615016248,-28251.8685628408,-28251.8685628408,-33677.3823362055,0.999999498853174,5.011468260929242e-07,0.1079948394104822,0.22718029922726482
2,50000,5.0,u049,-16600.0,-33381.57999303751,-9764.89124710494,-23616.688745932566,-23616.688745932566,-33381.59693020077,0.9999992828317654,7.171682345208374e-07,0.10636402651598979,0.27560744389941916
3,60000,6.0,u049,-16600.0,-33122.58833257147,-9758.936955693876,-23363.65137687759,-23363.65137687759,-33122.60545317049,0.9999992672132598,7.327867401207833e-07,0.10763548896136757,0.2412411814941785
4,70000,7.0,u049,-16600.0,-33203.556167671486,-3505.929138764419,-29697.627028907067,-29697.627028907067,-33203.569636755,0.999999546459679,4.5354032096600605e-07,0.10990696512060864,0.3130165824384556
5,80000,8.0,u049,-16600.0,-33210.021304468246,-12043.010785010672,-21167.010519457574,-21167.010519457574,-33210.04020178218,0.9999991072296119,8.92770388061237e-07,0.11017594805396802,0.3318170429984155
6,90000,9.0,u049,-16600.0,-33384.138029720896,-1772.857670988742,-31611.280358732154,-31611.280358732154,-33384.15068342664,0.9999995997094875,4.00290512458934e-07,0.10977671893291248,0.3287829956214531
7,100000,10.0,u049,-16600.0,-33492.482614742854,-11528.55021026716,-21963.932404475694,-21963.932404475694,-33492.500826402815,0.9999991708392912,8.29160708759602e-07,0.11004144454969712,0.26016948338565765
8,110000,11.0,u049,-16600.0,-33282.22531667378,-10040.326097350422,-23241.899219323357,-23241.899219323357,-33282.24252695854,0.9999992595157949,7.40484205064007e-07,0.11309764111466,0.26326661999096307
9,120000,12.0,u049,-16600.0,-33094.07602427833,-4931.479861265834,-28162.596163012495,-28162.596163012495,-33094.09022750718,0.99999949567098,5.043290199902017e-07,0.10781445356332058,0.25137168737642474
10,130000,13.0,u049,-16600.0,-33325.35273081469,-8554.528685694153,-24770.824045120535,-24770.824045120535,-33325.36887883377,0.9999993481041246,6.518958753920501e-07,0.10979346068237004,0.30805829903150495
11,140000,14.0,u049,-16600.0,-33338.87723331913,-8171.963551129884,-25166.913682189246,-25166.913682189246,-33338.89312719283,0.9999993684623462,6.315376538390538e-07,0.10733822337722804,0.30369434217043617
12,150000,15.0,u049,-16600.0,-33428.561123826774,-13030.168959963688,-20398.392163863085,-20398.392163863085,-33428.580733196584,0.9999990386824633,9.61317536740669e-07,0.10642910188837149,0.24452261003594075
13,160000,16.0,u049,-16600.0,-33311.259247630805,-11817.268879415147,-21493.99036821566,-21493.99036821566,-33311.27785746764,0.9999991341856822,8.658143178519317e-07,0.11197363997114015,0.2516094236242625
14,170000,17.0,u049,-16600.0,-33490.47217919727,-13090.812620742567,-20399.659558454703,-20399.659558454703,-33490.49178734879,0.9999990388019091,9.61198090898563e-07,0.10968808437282583,0.3018827325344684
15,180000,18.0,u049,-16600.0,-33400.93567175351,-13412.776829837676,-19988.158841915836,-19988.158841915836,-33400.95568358165,0.9999989988178388,1.0011821611199956e-06,0.10800060099905694,0.2792089874361595
16,190000,19.0,u049,-16600.0,-33424.805714860355,-14079.005640902411,-19345.800073957944,-19345.800073957944,-33424.826391160685,0.9999989312276538,1.0687723462354803e-06,0.11227804580328239,0.2593872798731026
17,200000,20.0,u049,-16600.0,-33452.54300720271,-13858.257664808858,-19594.28534239385,-19594.28534239385,-33452.56342129673,0.9999989581629987,1.041837001392043e-06,0.10946745412447217,0.30321060642992576
18,210000,21.0,u049,-16600.0,-33330.64888714306,-8484.23298983078,-24846.415897312283,-24846.415897312283,-33330.66498603405,0.9999993520646926,6.479353073518546e-07,0.11119986937752672,0.2768626069599092
19,220000,22.0,u049,-16600.0,-33442.59147732964,-13183.261986396596,-20259.329490933043,-20259.329490933043,-33442.61122130045,0.9999990254399911,9.745600089705597e-07,0.10732338093509548,0.31981017522684285
20,230000,23.0,u049,-16600.0,-33223.224338390195,-14157.186647302326,-19066.03769108787,-19066.03769108787,-33223.24531808017,0.999998899632732,1.100367267969915e-06,0.1118234867764861,0.2625353058120898
