frame,step,time_ps,window_id,lambda,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,donor_h,h_acceptor
0,0,0.0,w000,0.0,-38129.16657067699,-1907.12268490338,-36222.043885773615,-36222.043885773615,-38129.16657067699,1.0,0.0,0.1115852967608379,0.2571367319446389
1,0,0.0,w000,0.0,-38016.936491026514,-10708.272384827742,-27308.664106198772,-27308.664106198772,-38016.936491026514,1.0,0.0,0.10808652851441719,0.2515732980427077
2,0,0.0,w000,0.0,-37953.87195650344,-16202.226628218705,-21751.645328284736,-21751.645328284736,-37953.87195650344,1.0,0.0,0.11028113855162854,0.25235115893903187
3,0,0.0,w000,0.0,-37807.288268459226,-17388.196930542672,-20419.091337916554,-20419.091337916554,-37807.288268459226,1.0,0.0,0.10885461218780959,0.2535951376199381
4,0,0.0,w000,0.0,-37752.96442915008,-15677.686729360026,-22075.277699790055,-22075.277699790055,-37752.96442915008,1.0,0.0,0.10830386794015141,0.2514627738473904
5,0,0.0,w000,0.0,-37806.13851500901,-11022.909785736509,-26783.228729272498,-26783.228729272498,-37806.13851500901,1.0,0.0,0.11063125012479708,0.252431371119604
6,0,0.0,w000,0.0,-37846.97459278923,-7498.727251172415,-30348.247341616814,-30348.247341616814,-37846.97459278923,1.0,0.0,0.10746810492007879,0.2607244587230005
7,0,0.0,w000,0.0,-37800.07739514967,-4748.8029786731595,-33051.27441647651,-33051.27441647651,-37800.07739514967,1.0,0.0,0.11273426503716899,0.2722786830334969
8,0,0.0,w000,0.0,-37747.404856377616,-4778.301742847876,-32969.10311352974,-32969.10311352974,-37747.404856377616,1.0,0.0,0.10606859251328742,0.2678788103835427
9,0,0.0,w000,0.0,-37667.13683502313,-4939.640835053354,-32727.495999969775,-32727.495999969775,-37667.13683502313,1.0,0.0,0.1138119327861638,0.25913156810313337
10,0,0.0,w000,0.0,-37553.24840236756,-8161.311837856868,-29391.93656451069,-29391.93656451069,-37553.24840236756,1.0,0.0,0.10514557274734979,0.24682394752291906
11,0,0.0,w000,0.0,-37460.67327110928,-9980.458101160222,-27480.215169949057,-27480.215169949057,-37460.67327110928,1.0,0.0,0.11349504371500876,0.24811732024421262
12,0,0.0,w000,0.0,-37414.04578543959,-11345.548849887735,-26068.49693555186,-26068.49693555186,-37414.04578543959,1.0,0.0,0.10641702761978143,0.24928907916211662
13,0,0.0,w000,0.0,-37380.91137390976,-9923.652855916698,-27457.25851799306,-27457.25851799306,-37380.91137390976,1.0,0.0,0.11202791504771088,0.25297084315514395
14,0,0.0,w000,0.0,-37350.16495034678,-10096.908579328345,-27253.256371018433,-27253.256371018433,-37350.16495034678,1.0,0.0,0.10877947582051059,0.25139186220689064
15,0,0.0,w000,0.0,-37347.618019514164,-11427.944294799841,-25919.673724714325,-25919.673724714325,-37347.618019514164,1.0,0.0,0.10973130421719957,0.25285663508707146
16,0,0.0,w000,0.0,-37347.95776571505,-12631.260088551184,-24716.697677163866,-24716.697677163866,-37347.95776571505,1.0,0.0,0.11118185304054864,0.25898342498888305
17,0,0.0,w000,0.0,-37281.7209676251,-11336.269041534018,-25945.451926091082,-25945.451926091082,-37281.7209676251,1.0,0.0,0.10600221536676599,0.26265507397854315
18,0,0.0,w000,0.0,-37214.79427242653,-5420.409531847529,-31794.384740579,-31794.384740579,-37214.79427242653,1.0,0.0,0.11447307996149379,0.271356757143802
19,0,0.0,w000,0.0,-37218.38305727978,2450.889838055632,-39669.272895335416,-39669.272895335416,-37218.38305727978,1.0,0.0,0.10452024673341216,0.27372998976432134
