frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
0,300,0.03,u005,100000.0,166064.1682205347,-37914.3673160884,203978.5355366231,103978.5355366231,62085.62883696392,3.699751460750633e-08,0.9999999630024854,0.19730218526970703,1,0.19730218526970703,0.35595701979985567,0.2968580564952583,0.09955587122555129
1,400,0.04,u005,100000.0,225205.3192028512,-37686.26852117639,262891.5877240276,162891.5877240276,62313.729023202686,1.5075185266777424e-08,0.9999999849248147,0.199166604782432,1,0.199166604782432,0.35268776286148895,0.2965276747190416,0.09736106993660962
2,500,0.05,u005,100000.0,150967.14012895199,-37550.07016542473,188517.2102943767,88517.21029437671,62449.925315680266,5.105102762748004e-08,0.9999999489489724,0.2027522110719165,1,0.2027522110719165,0.3520907029466559,0.30301167858243455,0.10025946751051808
3,600,0.06,u005,100000.0,145007.32427606324,-37633.42194138986,182640.7462174531,82640.7462174531,62366.573218383084,5.8569491645510396e-08,0.9999999414305083,0.20544682453589092,1,0.20544682453589092,0.3521810832403119,0.30600011317745146,0.10055328864156053
4,700,0.07,u005,100000.0,222109.90325004954,-37594.55509400276,259704.4583440523,159704.4583440523,62405.44240137088,1.5682882603673676e-08,0.9999999843171175,0.21302511573565647,1,0.21302511573565647,0.35350922694498244,0.31051105292897896,0.0974859371933225
5,800,0.08,u005,100000.0,174046.58871725097,-37417.36407680545,211463.95279405641,111463.95279405641,62582.63233459055,3.2195195731610227e-08,0.9999999678048043,0.205915241654941,1,0.205915241654941,0.35594769150965977,0.3051795212621074,0.09926427960716641
6,900,0.09,u005,100000.0,134086.0485838334,-37322.61481120083,171408.66339503424,71408.66339503424,62677.37958723839,7.844370192300332e-08,0.999999921556298,0.19704247497333208,1,0.19704247497333208,0.36030513171362266,0.2981659270255576,0.10112345205222553
7,1000,0.1,u005,100000.0,199220.52277256967,-37168.59374541871,236389.11651798838,136389.11651798838,62831.403321796024,2.15030730998933e-08,0.9999999784969269,0.19674996978181092,1,0.19674996978181092,0.3614552549082728,0.2950229781249616,0.09827300834315066
8,1100,0.11,u005,100000.0,201773.8863259419,-37123.291919569114,238897.178245511,138897.178245511,62876.70520060281,2.0733523786731212e-08,0.9999999792664762,0.19332139140164942,1,0.19332139140164942,0.3595322568096419,0.29149640100116125,0.09817500959951184
9,1200,0.12,u005,100000.0,138164.428558627,-37078.42218321489,175242.8507418419,75242.85074184189,62921.5725006658,7.065280627216453e-08,0.9999999293471937,0.18988832806613692,1,0.18988832806613692,0.35557245070481097,0.2907753114886704,0.10088698342253348
