frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,donor_h,h_acceptor
0,30000,3.0,u013,-38200.0,-34350.937311040354,-3287.825049387844,-31063.11226165251,-31063.11226165251,-34350.95018804478,0.9999995854570642,4.145429358115571e-07,0.10621810653698258,0.2652902634076165
1,40000,4.0,u013,-38200.0,-34184.52740984899,1819.0881510571635,-36003.61556090615,-36003.61556090615,-34184.53851984088,0.9999996914202962,3.085797038449023e-07,0.10825884234344324,0.2856046127139539
2,50000,5.0,u013,-38200.0,-34013.4419748339,6704.003334196401,-40717.4453090303,-40717.4453090303,-34013.451798630565,0.9999997587326058,2.4126739417429377e-07,0.11029176216336878,0.31501396467014353
3,60000,6.0,u013,-38200.0,-33842.35697051752,9310.762957633211,-43153.11992815073,-43153.11992815073,-33842.36623983373,0.9999997851994886,2.148005114332996e-07,0.10809077700912126,0.3166251997741984
4,70000,7.0,u013,-38200.0,-33827.63023293542,6375.485658619262,-40203.115891554684,-40203.115891554684,-33827.640182410534,0.9999997525199238,2.47480076265294e-07,0.11043261248290377,0.31631813133111075
5,80000,8.0,u013,-38200.0,-33590.461426614376,3399.488966807752,-36989.95039342213,-36989.95039342213,-33590.47224035916,0.999999707657395,2.9234260506827425e-07,0.11193204501931037,0.24896893667575648
6,90000,9.0,u013,-38200.0,-33472.33972425765,3334.328050625947,-36806.667774883594,-36806.667774883594,-33472.350591850554,0.999999704738648,2.9526135209012594e-07,0.10935005667278662,0.3145231938500883
7,100000,10.0,u013,-38200.0,-33482.30905849472,-644.4156090525794,-32837.89344944214,-32837.89344944214,-33482.32123953953,0.9999996290555059,3.709444941213391e-07,0.10611167501281459,0.3376673211733121
8,110000,11.0,u013,-38200.0,-33157.65382795478,-3662.0267961848585,-29495.627031769924,-29495.627031769924,-33157.66738928086,0.9999995402262989,4.59773701166899e-07,0.11127074521025208,0.26498098057958913
9,120000,12.0,u013,-38200.0,-33233.424127217935,10575.458599821723,-43808.88272703966,-43808.88272703966,-33233.433257784425,0.9999997915819323,2.0841806763760573e-07,0.10749957410240973,0.3061668888099505
10,130000,13.0,u013,-38200.0,-33293.93008003716,5137.657003438275,-38431.58708347543,-38431.58708347543,-33293.9404881395,0.9999997291785873,2.70821412740041e-07,0.1092725452527465,0.2973543743537376
11,140000,14.0,u013,-38200.0,-33138.637397586455,7587.844036791357,-40726.48143437781,-40726.48143437781,-33138.647219203485,0.9999997588396556,2.411603444163468e-07,0.10836890860695789,0.25481689571986005
12,150000,15.0,u013,-38200.0,-33234.10177448884,13900.80081596147,-47134.90259045031,-47134.90259045031,-33234.11026076771,0.9999998199577097,1.8004229029866536e-07,0.11163047519891711,0.3383083551800011
13,160000,16.0,u013,-38200.0,-33032.201442776306,7447.371127266582,-40479.57257004289,-40479.57257004289,-33032.211324301155,0.9999997558887261,2.441112739171025e-07,0.10952843071343922,0.32645067555030266
14,170000,17.0,u013,-38200.0,-33221.027234273555,11161.851150021568,-44382.87838429512,-44382.87838429512,-33221.03624675615,0.9999997969379351,2.030620648851844e-07,0.10532854629559084,0.270356217728251
15,180000,18.0,u013,-38200.0,-33175.71865138688,4794.802998566884,-37970.521649953764,-37970.521649953764,-33175.72918587184,0.9999997225616438,2.7743835617766166e-07,0.11606578070634817,0.33275680505698213
16,190000,19.0,u013,-38200.0,-33182.580920938024,-6190.783983733272,-26991.796937204752,-26991.796937204752,-33182.59574024707,0.9999994509705004,5.490294996968181e-07,0.10730041704147049,0.31282241990562987
17,200000,20.0,u013,-38200.0,-33325.333440098184,5665.228424402798,-38990.56186450098,-38990.56186450098,-33325.34369898843,0.9999997368879966,2.6311200340689567e-07,0.11218179041651881,0.3053924539679399
18,210000,21.0,u013,-38200.0,-33219.41489813832,11559.381946138135,-44778.796844276454,-44778.796844276454,-33219.423830935724,0.9999998005128661,1.9948713386730432e-07,0.10930081384891271,0.24820476906485786
19,220000,22.0,u013,-38200.0,-33351.98691913739,3748.8006108434347,-37100.78752998082,-37100.78752998082,-33351.997700576554,0.9999997094015083,2.905984917700444e-07,0.10672414735093698,0.3314086802121986
20,230000,23.0,u013,-38200.0,-33256.07410729144,4109.989825084951,-37366.06393237639,-37366.06393237639,-33256.084812188965,0.9999997135130044,2.864869955709892e-07,0.11888352100484276,0.24362342400739478
21,240000,24.0,u013,-38200.0,-33328.38615935223,10539.31038586868,-43867.69654522091,-43867.69654522091,-33328.39527767729,0.9999997921404133,2.0785958665392457e-07,0.11245081749490164,0.2657854769577975
22,250000,25.0,u013,-38200.0,-33298.27089348281,4032.5685322356003,-37330.83942571841,-37330.83942571841,-33298.28160848122,0.9999997129721049,2.870278951183636e-07,0.11031928158599623,0.3234108370236797
23,260000,26.0,u013,-38200.0,-33116.328389091505,9881.992483906623,-42998.32087299813,-42998.32087299813,-33116.33769177834,0.9999997836500909,2.163499090435117e-07,0.10923163669191968,0.3160204258257921
24,270000,27.0,u013,-38200.0,-33403.27002067896,7928.279032549879,-41331.54905322884,-41331.54905322884,-33403.27969851383,0.9999997658488358,2.3415116423564086e-07,0.109471289604696,0.261729846106315
25,280000,28.0,u013,-38200.0,-33330.182508721104,-725.2374523660401,-32604.945056355064,-32604.945056355064,-33330.194776794204,0.9999996237360973,3.762639026461123e-07,0.11382967006680506,0.24743453688217654
26,290000,29.0,u013,-38200.0,-33269.846587147156,1766.7023249026097,-35036.548912049766,-35036.548912049766,-33269.85800379298,0.9999996741506018,3.2584939824165104e-07,0.11013240291170114,0.31000358543160184
27,300000,30.0,u013,-38200.0,-33239.327983758965,4635.1365556909,-37874.464539449866,-37874.464539449866,-33239.338544961436,0.9999997211525837,2.788474163240018e-07,0.11013069154269238,0.2654572792967439
28,310000,31.0,u013,-38200.0,-32958.67845713647,5376.561041439301,-38335.23949857577,-38335.23949857577,-32958.68889139738,0.9999997278155721,2.7218442794074704e-07,0.11068741904561163,0.30630348254009826
29,320000,32.0,u013,-38200.0,-33127.90140675698,9171.509168517718,-42299.4105752747,-42299.4105752747,-33127.91086315141,0.9999997764415609,2.2355843903865136e-07,0.10584744334762657,0.30652644450616257
30,330000,33.0,u013,-38200.0,-33326.612534057815,7055.590329039289,-40382.2028630971,-40382.2028630971,-33326.622439409024,0.9999997547101038,2.4528989617245145e-07,0.10426620742952765,0.3020257491482098
31,340000,34.0,u013,-38200.0,-33500.0964308494,2958.504796570487,-36458.60122741989,-36458.60122741989,-33500.10740219406,0.9999996990740818,3.009259182396029e-07,0.11131988152626862,0.3089623617194752
32,350000,35.0,u013,-38200.0,-33336.119197975,4828.151470449113,-38164.27066842411,-38164.27066842411,-33336.129678979436,0.9999997253714406,2.746285595045528e-07,0.1070086881462419,0.2568088925208318
33,360000,36.0,u013,-38200.0,-33617.860257529595,15152.681222340558,-48770.54147987015,-48770.54147987015,-33617.86845920053,0.9999998318315129,1.6816848719125588e-07,0.1093556032339002,0.3172137335503474
