delta_alpha_kj_mol,best_gap_window,closest_gap_to_zero_kj_mol,w2_at_closest_gap,pt_at_closest_gap_nm,ro_at_closest_gap_nm,best_mixing_window,closest_mixing_w2,gap_at_closest_mixing_kj_mol,pt_at_closest_mixing_nm,ro_at_closest_mixing_nm
-25000.0,u000,52084.80138368868,0.9999998525523774,0.07319486778145598,0.6392916807808513,u000,0.9999998525523774,52084.80138368868,0.07319486778145598,0.6392916807808513
0.0,u001,-20644.107209811416,9.385697587460662e-07,-0.1766363610355789,0.15458577899419226,u001,9.385697587460662e-07,-20644.107209811416,-0.1766363610355789,0.15458577899419226
25000.0,u000,-44594.71714387958,2.0113743243177495e-07,-0.13312388434216235,0.15221954839930446,u000,2.0113743243177495e-07,-44594.71714387958,-0.13312388434216235,0.15221954839930446
50000.0,u003,-68040.75900187278,8.640155924055648e-08,-0.13730257268223794,0.15398842215578307,u003,8.640155924055648e-08,-68040.75900187278,-0.13730257268223794,0.15398842215578307
75000.0,u005,75480.89038030095,0.9999999297921182,0.19885643893734584,0.35587746077403865,u005,0.9999999297921182,75480.89038030095,0.19885643893734584,0.35587746077403865
100000.0,u005,65981.07477392237,0.999999908119976,0.19641383291650844,0.36467846992938935,u005,0.999999908119976,65981.07477392237,0.19641383291650844,0.36467846992938935
125000.0,u005,28161.280283607033,0.9999994956238479,0.19234792268698192,0.35802635530618915,u005,0.9999994956238479,28161.280283607033,0.19234792268698192,0.35802635530618915
