frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,2100,0.21,p020,-0.04,-38700.263546161645,7308.529607611272,-46008.79315377292,-46008.79315377292,-38700.27224015027,0.9999998110364401,1.8896355991060432e-07,-0.10234077532319695,0,0.11356338686639182,0.21590416218958877
1,2200,0.22,p020,-0.04,-38704.38069935309,2065.730229028937,-40770.110928382026,-40770.110928382026,-38704.39051045968,0.9999997593555269,2.4064447312621695e-07,-0.10290945606236307,0,0.11346732425106865,0.21637678031343172
2,2300,0.23,p020,-0.04,-38705.76608386639,-509.88239762658486,-38195.8836862398,-38195.8836862398,-38705.77655619617,0.9999997258258474,2.741741526035568e-07,-0.09761726637122538,0,0.11410342245669443,0.2117206888279198
3,2400,0.24,p020,-0.04,-38668.30098628643,9777.760241447744,-48446.06122773417,-48446.06122773417,-38668.3092428902,0.9999998295712644,1.7042873551309512e-07,-0.10238461114676203,0,0.11482614680274597,0.217210757949508
4,2500,0.25,p020,-0.04,-38717.54214403499,2793.6086957357184,-41511.15083977071,-41511.15083977071,-38717.55177999783,0.9999997678706041,2.3212939598282745e-07,-0.0945229683430761,0,0.1152958378208538,0.2098188061639299
5,2600,0.26,p020,-0.04,-38660.44400567259,-2115.318767677498,-36545.12523799509,-36545.12523799509,-38660.45495104157,0.9999997004973344,2.9950266561273864e-07,-0.10455150962703134,0,0.11658348071504539,0.22113499034207673
6,2700,0.27,p020,-0.04,-38625.01010920221,4073.8146725961706,-42698.82478179838,-42698.82478179838,-38625.01947713948,0.9999997806044263,2.1939557376393637e-07,-0.09699320944132564,0,0.11593688679223066,0.2129300962335563
7,2800,0.28,p020,-0.04,-38638.83200309114,2454.811015237996,-41093.64301832914,-41093.64301832914,-38638.84173695448,0.9999997631298174,2.3687018263496284e-07,-0.09933860986084835,0,0.11556814537357211,0.21490675523442046
8,2900,0.29,p020,-0.04,-38620.15862911445,2327.9432374227326,-40948.10186653718,-40948.10186653718,-38620.16839757468,0.9999997614430187,2.3855698122465796e-07,-0.09845410382070247,0,0.11450425781310289,0.21295836163380535
9,3000,0.3,p020,-0.04,-38520.14620269759,987.8606564347283,-39508.00685913232,-39508.00685913232,-38520.15632722498,0.9999997437349286,2.562650713855419e-07,-0.09893763165921836,0,0.11355500430510353,0.21249263596432189
10,3100,0.31,p020,-0.04,-38526.73579712075,-3479.851206562249,-35046.884590558504,-35046.884590558504,-38526.74721039969,0.9999996743427657,3.256572342347219e-07,-0.10154322057622667,0,0.11408798826081942,0.2156312088370461
11,3200,0.32,p020,-0.04,-38435.31697673202,-1447.63333824047,-36987.68363849155,-36987.68363849155,-38435.32779113951,0.999999707621562,2.923784380159944e-07,-0.10520790488160449,0,0.11358230081348396,0.21879020569508845
12,3300,0.33,p020,-0.04,-38512.08897356366,3002.6015579841624,-41514.69053154782,-41514.69053154782,-38512.09860870491,0.9999997679101866,2.320898133123528e-07,-0.09925186959983685,0,0.11366890874375117,0.21292077834358802
