frame,step,time_ps,window_id,lambda,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
0,150,0.0075,w002,0.2,-31296.95678887944,-29248.506468126958,-2048.450320752483,51305.38933558129,-112811.72208118648,0.2703925545454776,0.7296074454545224,-0.05063565164772221,0,-0.05063565164772221,0.19356819117766777,0.11585372960693696,0.16648938125465917
1,200,0.01,w002,0.2,-31573.329700332688,-25907.741081545537,-5665.588618787151,47688.25103754662,-110472.45056462009,0.28345175247829585,0.7165482475217042,-0.0639169528204828,0,-0.0639169528204828,0.17103274620999648,0.11778895318300177,0.18170590600348457
2,250,0.0125,w002,0.2,-31243.52714525402,-27474.06318658308,-3769.463958670938,49584.375697662836,-111507.8951303601,0.27653494248895427,0.7234650575110457,-0.045118907939074554,0,-0.045118907939074554,0.18054666334884747,0.14056420881941986,0.18568311675849442
3,300,0.015,w002,0.2,-30932.862615259597,-28562.433779183833,-2370.4288360757637,50983.41082025801,-112212.8932866506,0.27153189945433076,0.7284681005456692,-0.060207975333256086,0,-0.060207975333256086,0.2089730089839992,0.1329951694211709,0.193203144754427
4,350,0.0175,w002,0.2,-30208.790973318974,-28606.188690713374,-1602.6022826055996,51751.237373728174,-112049.20067352959,0.2688223415263603,0.7311776584736397,-0.06557463325270489,0,-0.06557463325270489,0.23436629314220497,0.1248824818465724,0.1904571150992773
5,400,0.02,w002,0.2,-29237.112498870905,-28677.672129995102,-559.440368875803,52794.39928745797,-111842.16159239158,0.26518226633711905,0.734817733662881,-0.0467897263171447,0,-0.0467897263171447,0.24920761808433856,0.13586519758082594,0.18265492389797064
6,450,0.0225,w002,0.2,-28820.919857247965,-27820.123730897263,-1000.7961263507023,52353.04352998307,-111101.99119223995,0.2667165856814192,0.7332834143185808,-0.06612162769503127,0,-0.06612162769503127,0.250188518064162,0.12578464283749177,0.19190627053252304
7,500,0.025,w002,0.2,-28701.84001267777,-27825.84630582563,-875.9937068521394,52477.845949481634,-111074.45402599135,0.26628186665374887,0.7337181333462511,-0.057170329146149196,0,-0.057170329146149196,0.23720186841748594,0.12341322969007257,0.18058355883622176
8,550,0.0275,w002,0.2,-28910.31606041832,-27313.786478983733,-1596.5295814345882,51757.310074899186,-110755.16604881019,0.2688010140752486,0.7311989859247514,-0.05957598703902883,0,-0.05957598703902883,0.21297461633675668,0.1184332020879118,0.17800918912694064
9,600,0.03,w002,0.2,-29177.451954135555,-25927.931072633044,-3249.5208815025107,50104.31877483126,-109818.4670656263,0.2746656316171865,0.7253343683828135,-0.058184823996083934,0,-0.058184823996083934,0.1840487728121364,0.12503352631174358,0.18321835030782752
10,650,0.0325,w002,0.2,-29446.18570804331,-24086.810527174734,-5359.375180868577,47994.464475465196,-108564.89602656792,0.2823241223451986,0.7176758776548013,-0.0457356045951732,0,-0.0457356045951732,0.17005440480874157,0.13442296859356032,0.18015857318873352
11,700,0.035,w002,0.2,-29971.572786197066,-26899.60681458513,-3071.965971611935,50281.87368472184,-110741.43102787278,0.274029981078596,0.725970018921404,-0.06571571849986191,0,-0.06571571849986191,0.19017275929965952,0.11527458471227192,0.18099030321213383
12,750,0.0375,w002,0.2,-30047.660165146168,-28823.756446504034,-1223.9037186421338,52129.93593769164,-112165.2172441885,0.2674954147291624,0.7325045852708376,-0.04989940225159002,0,-0.04989940225159002,0.22021458497246185,0.11832427100325664,0.16822367325484666
13,800,0.04,w002,0.2,-30216.554129051714,-28723.15202953291,-1493.4020995188039,51860.43755681497,-112136.82949463937,0.26843907330194927,0.7315609266980507,-0.06786490730898319,0,-0.06786490730898319,0.244702185283151,0.1172729243264299,0.18513783163541309
14,850,0.0425,w002,0.2,-29979.049423259916,-29252.83695356446,-726.2124696954561,52627.62718663832,-112461.59966396602,0.26576103394927153,0.7342389660507285,-0.04944245544629866,0,-0.04944245544629866,0.2578506874384908,0.13477145625360473,0.1842139116999034
15,900,0.045,w002,0.2,-29977.666833860014,-29177.557301743305,-800.1095321167086,52553.730124217065,-112405.96846024375,0.2660178735406882,0.7339821264593118,-0.05680105108710812,0,-0.05680105108710812,0.25662842361674426,0.12937531801605592,0.18617636910316404
16,950,0.0475,w002,0.2,-30245.589493536914,-29002.1802391205,-1243.409254416416,52110.43040191736,-112348.85934323279,0.26756360801234585,0.7324363919876542,-0.06683714928149423,0,-0.06683714928149423,0.24074040223884927,0.11999982533447301,0.18683697461596724
17,1000,0.05,w002,0.2,-30472.89457249563,-29197.953904680995,-1274.9406678146333,52078.89898851914,-112553.07140592931,0.26767387995643277,0.7323261200435672,-0.04849322314481219,0,-0.04849322314481219,0.21251901751252641,0.12986069936078376,0.17835392250559595
18,1050,0.0525,w002,0.2,-30966.276759907953,-26754.172416264482,-4212.10434364347,49141.7353126903,-110910.76384035424,0.2781356184417052,0.7218643815582948,-0.06935515601189797,0,-0.06935515601189797,0.1789432219614922,0.12293329360670498,0.19228844961860295
19,1100,0.055,w002,0.2,-31036.675585661054,-24683.988820309663,-6352.686765351391,47001.15289098238,-109444.33066414762,0.28599684202312525,0.7140031579768747,-0.05383153239622934,0,-0.05383153239622934,0.16731823600071205,0.13214232492604197,0.1859738573222713
