replicate,n_frames,positive_proton_transfer_frames,best_window,best_pt_rc_nm,best_ring_opening_rc_nm,distance_to_qm_ts_nm,best_w1,best_w2,best_delta_e_shifted_kj_mol
rep01,660,259,w005,0.046227350370425135,0.1860651082191504,0.027749858218435074,0.2665143306974238,0.7334856693025762,52411.08423319543
rep02,660,248,w007,0.03557325007519288,0.18662749589516348,0.03158819031645084,0.25989191162030467,0.7401080883796953,54335.27219076647
rep03,660,256,w006,0.03127075720896755,0.19808223789487733,0.04376145792819731,0.27879998754408863,0.7212000124559114,48958.70515312109
