frame,step,time_ps,window_id,lambda,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
0,150,0.0075,w004,0.4,-29582.858822000635,-29550.425656098872,-32.43316590176255,53321.40649043201,-112575.64252115545,0.2633612762889546,0.7366387237110454,-0.02667306245441234,0,-0.02667306245441234,0.21707968806888805,0.13163610518104898,0.15830916763546132
1,200,0.01,w004,0.4,-30402.81498212072,-28121.275437479213,-2281.539544641506,51072.30011169227,-111747.61266908448,0.27121690687942995,0.7287830931205701,-0.04637663173649517,0,-0.04637663173649517,0.18913650051869443,0.12527724517566938,0.17165387691216455
2,250,0.0125,w004,0.4,-30348.22098886079,-27325.299935224077,-3022.9210536367136,50330.91860269706,-111153.68867075678,0.2738546413470102,0.7261453586529898,-0.03721371655561684,0,-0.03721371655561684,0.1817940399015257,0.138709612996326,0.17592332955194284
3,300,0.015,w004,0.4,-30115.58755537581,-28122.055987236716,-1993.531568139093,51360.30808819468,-111670.427303002,0.2701986711803958,0.7298013288196041,-0.049665936422977175,0,-0.049665936422977175,0.20464069523024175,0.13708030212486483,0.186746238547842
4,350,0.0175,w004,0.4,-28695.16675686068,-28999.072868041647,303.90611118096786,53657.745767514745,-111935.90551077318,0.262205411309119,0.737794588690881,-0.009845147555597372,0,-0.009845147555597372,0.23358447686368078,0.1543788858147473,0.16422403337034466
5,400,0.02,w004,0.4,-28204.641059628557,-27412.042821338873,-792.5982382896836,52561.2414180441,-110638.45593951715,0.26599175614967074,0.7340082438503293,-0.0649677891864226,0,-0.0649677891864226,0.2563440727777297,0.12664256198130155,0.19161035116772415
6,450,0.0225,w004,0.4,-26500.71940066913,-27939.281104173653,1438.5617035045216,54792.4013598383,-110580.79788048801,0.2583422152535971,0.741657784746403,-0.008747768525750987,0,-0.008747768525750987,0.26818801491198263,0.15387090711305018,0.16261867563880117
7,500,0.025,w004,0.4,-26796.899474904112,-26555.384174843988,-241.515300060124,53112.324356273646,-109635.74051937659,0.2640822832793336,0.7359177167206664,-0.062315826142769495,0,-0.062315826142769495,0.26725289827646803,0.12396973436777665,0.18628556051054615
8,550,0.0275,w004,0.4,-26403.788697446496,-27346.075874235292,942.2871767887955,54296.12683312257,-110116.2184413096,0.2600250371455343,0.7399749628544656,-0.021936431064016187,0,-0.021936431064016187,0.2542150178405183,0.13835004109192578,0.16028647215594197
9,600,0.03,w004,0.4,-27641.582131095052,-26257.126298907555,-1384.4558321874974,51969.383824146265,-109641.57913476723,0.2680572133849699,0.7319427866150301,-0.06724495748249393,0,-0.06724495748249393,0.23176925158860828,0.11524266319964027,0.1824876206821342
10,650,0.0325,w004,0.4,-27706.168149817713,-27225.472703676194,-480.6954461415189,52873.14421019225,-110369.09115382518,0.2649094091787487,0.7350905908212513,-0.013784214390376276,0,-0.013784214390376276,0.2045507876131517,0.14711568404832767,0.16089989843870395
11,700,0.035,w004,0.4,-28976.835988333893,-25782.19934013906,-3194.6366481948317,50159.203008138946,-109657.66591716468,0.2744689981264822,0.7255310018735178,-0.04762613739577448,0,-0.04762613739577448,0.1840286451669576,0.13698092392455108,0.18460706132032556
12,750,0.0375,w004,0.4,-29349.01947447728,-27473.377373087613,-1875.6421013896688,51478.197554944105,-110989.91962378373,0.2697829216068835,0.7302170783931166,-0.03903377133223046,0,-0.03903377133223046,0.1904568971451733,0.12541816060630484,0.1644519319385353
13,800,0.04,w004,0.4,-29853.498390485154,-28309.405456187622,-1544.0929342975323,51809.746722036245,-111736.69482919067,0.26861692225875516,0.7313830777412449,-0.059162515137913346,0,-0.059162515137913346,0.21615445024879457,0.11418367971976784,0.17334619485768119
14,850,0.0425,w004,0.4,-29243.46823127914,-29428.123262649024,184.65503136988264,53538.49468770366,-112396.24857986454,0.26261466852738313,0.7373853314726169,-0.019187822611609562,0,-0.019187822611609562,0.2420199334524893,0.14947430073833676,0.16866212334994632
15,900,0.045,w004,0.4,-28847.973520084208,-29203.09273047835,355.119210394143,53708.95886672792,-112126.50151765996,0.26202984262284035,0.7379701573771597,-0.027319772709686635,0,-0.027319772709686635,0.25991153288062474,0.1506021844023269,0.17792195711201353
16,950,0.0475,w004,0.4,-28639.366102109587,-29146.545826580597,507.17972447101056,53861.01938080478,-112030.14981703668,0.26150921904218394,0.7384907809578161,-0.04416785846313756,0,-0.04416785846313756,0.2657012996092586,0.13064449226333613,0.1748123507264737
17,1000,0.05,w004,0.4,-28558.93035165044,-29210.330230389736,651.3998787392957,54005.239535073066,-112056.25487148846,0.2610163652865493,0.7389836347134506,-0.03851501610094929,0,-0.03851501610094929,0.257792478203384,0.13122646188942705,0.16974147799037634
18,1050,0.0525,w004,0.4,-28981.53971403527,-28738.913674287374,-242.62603974789454,53111.21361658587,-111819.5633476229,0.26408611866541065,0.7359138813345893,-0.03759541786195092,0,-0.03759541786195092,0.23734271459155265,0.14270130000440306,0.18029671786635398
19,1100,0.055,w004,0.4,-29226.345815219916,-28709.217525456515,-517.128289763401,52836.71136657038,-111862.48967758709,0.26503561827148536,0.7349643817285146,-0.016901352926672497,0,-0.016901352926672497,0.2085170035268435,0.1530520876298749,0.1699534405565474
