frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,1100,0.11,p005,-0.14,-38272.298425889836,-3496.94396013426,-34775.354465755576,-34775.354465755576,-38272.298425889836,1.0,0.0,-0.14706577243000624,0,0.10665905949091518,0.25372483192092143
1,1200,0.12,p005,-0.14,-38273.69755094571,-9703.220795894827,-28570.476755050884,-28570.476755050884,-38273.69755094571,1.0,0.0,-0.13708288400370483,0,0.10460882105701975,0.2416917050607246
2,1300,0.13,p005,-0.14,-38192.84555767951,-6997.479689370579,-31195.36586830893,-31195.36586830893,-38192.84555767951,1.0,0.0,-0.15107511122301703,0,0.10711079619922768,0.25818590742224473
3,1400,0.14,p005,-0.14,-38150.75478697533,-7604.815642198751,-30545.93914477658,-30545.93914477658,-38150.75478697533,1.0,0.0,-0.1540945952160604,0,0.10736180675296042,0.2614564019690208
4,1500,0.15,p005,-0.14,-38188.73314686146,-16438.275379730243,-21750.457767131214,-21750.457767131214,-38188.73314686146,1.0,0.0,-0.14309560336617788,0,0.10552247414070527,0.24861807750688314
5,1600,0.16,p005,-0.14,-38207.398960612976,-11606.976313469786,-26600.42264714319,-26600.42264714319,-38207.398960612976,1.0,0.0,-0.14228936658460412,0,0.10550435921661556,0.24779372580121967
6,1700,0.17,p005,-0.14,-38194.4661175574,-3701.8464415095223,-34492.61967604788,-34492.61967604788,-38194.4661175574,1.0,0.0,-0.1582083191737318,0,0.10723059334096509,0.26543891251469687
7,1800,0.18,p005,-0.14,-38264.75116175765,-7865.41471941254,-30399.336442345113,-30399.336442345113,-38264.75116175765,1.0,0.0,-0.14308622317548908,0,0.10591290253151922,0.2489991257070083
8,1900,0.19,p005,-0.14,-38213.71344928935,-11297.363682072464,-26916.34976721689,-26916.34976721689,-38213.71344928935,1.0,0.0,-0.13367893035667835,0,0.10465073081364534,0.2383296611703237
9,2000,0.2,p005,-0.14,-38091.15101853505,-13059.161985861923,-25031.989032673126,-25031.989032673126,-38091.15101853505,1.0,0.0,-0.1547362642286917,0,0.10700328003359745,0.2617395442622891
10,2100,0.21,p005,-0.14,-38158.43182850556,-8892.447156068636,-29265.984672436927,-29265.984672436927,-38158.43182850556,1.0,0.0,-0.14337653772244807,0,0.1064814960747617,0.24985803379720978
11,2200,0.22,p005,-0.14,-38124.07689321489,-13046.695954308234,-25077.38093890666,-25077.38093890666,-38124.07689321489,1.0,0.0,-0.13351609421821609,0,0.10503714373205443,0.23855323795027053
12,2300,0.23,p005,-0.14,-38131.57608011531,-10939.017321783816,-27192.558758331492,-27192.558758331492,-38131.57608011531,1.0,0.0,-0.14674308667349778,0,0.10701681898676874,0.2537599056602665
13,2400,0.24,p005,-0.14,-38099.335697023955,-4943.059633994068,-33156.27606302989,-33156.27606302989,-38099.335697023955,1.0,0.0,-0.15157083227119017,0,0.10722706115980547,0.25879789343099563
14,2500,0.25,p005,-0.14,-38146.973598990444,-11255.822690389614,-26891.15090860083,-26891.15090860083,-38146.973598990444,1.0,0.0,-0.13938001666170918,0,0.10534603337719288,0.24472605003890205
15,2600,0.26,p005,-0.14,-38180.48325974037,-9413.130383375072,-28767.3528763653,-28767.3528763653,-38180.48325974037,1.0,0.0,-0.13942976884314567,0,0.10534805547998316,0.24477782432312883
16,2700,0.27,p005,-0.14,-38122.26892621702,-10624.27990988348,-27497.989016333537,-27497.989016333537,-38122.26892621702,1.0,0.0,-0.15247492912968136,0,0.10775009290959232,0.26022502203927367
17,2800,0.28,p005,-0.14,-38241.22275648531,-16229.878161829489,-22011.34459465582,-22011.34459465582,-38241.22275648531,1.0,0.0,-0.14100102872430487,0,0.10629605040605127,0.24729707913035612
18,2900,0.29,p005,-0.14,-38127.92725596673,-13979.446549467248,-24148.480706499482,-24148.480706499482,-38127.92725596673,1.0,0.0,-0.1380742661492177,0,0.10602549156697894,0.24409975771619663
19,3000,0.3,p005,-0.14,-38084.26615023546,1978.0234752783144,-40062.289625513775,-40062.289625513775,-38084.26615023546,1.0,0.0,-0.1499582511843156,0,0.10696961948257688,0.2569278706668925
